time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
42163730,-0.587,0.144,0.765,9.012,6.702,-4.76
42163740,-0.597,0.194,0.812,12.582,6.3,-7.262
42163750,-0.584,0.214,0.808,8.977,5.355,-10.412
42163760,-0.519,0.22,0.79,1.872,6.475,-13.755
42163770,-0.501,0.245,0.776,-7.157,11.69,-17.762
42163780,-0.532,0.242,0.753,-18.532,17.85,-22.662
42163790,-0.641,0.157,0.711,-27.195,17.622,-26.372
42163800,-0.753,0.08,0.704,-24.412,5.635,-25.27
42163810,-0.854,0.017,0.713,-10.972,-16.957,-20.265
42163820,-0.777,0.07,0.782,8.417,-36.977,-19.477
42163830,-0.654,0.153,0.845,21.14,-47.092,-21.367
42163830,-0.564,0.201,0.862,25.497,-48.597,-19.775
42163850,-0.477,0.213,0.853,24.15,-40.792,-15.54
42163850,-0.462,0.221,0.839,21.507,-29.417,-10.062
42163870,-0.462,0.234,0.841,18.095,-17.937,-5.46
42163870,-0.479,0.218,0.829,13.965,-8.732,-2.257
42163890,-0.533,0.199,0.823,11.795,-3.605,-0.385
42163890,-0.574,0.204,0.833,10.867,-3.99,0.717
42163910,-0.569,0.203,0.836,9.047,-5.95,0.157
42163910,-0.575,0.184,0.814,6.93,-7.98,-0.91
42163920,-0.572,0.163,0.798,7.192,-10.237,-1.47
42163930,-0.573,0.166,0.802,9.817,-12.057,-1.347
42163940,-0.582,0.18,0.817,11.865,-12.67,-2.117
42163950,-0.576,0.175,0.811,12.652,-13.422,-2.782
42163960,-0.562,0.18,0.815,12.792,-13.615,-1.312
42163970,-0.536,0.191,0.819,12.285,-11.427,0.717
42163980,-0.523,0.191,0.821,10.29,-6.65,2.397
42163990,-0.534,0.193,0.813,7.525,-1.645,3.885
42164000,-0.538,0.194,0.81,5.075,1.61,5.74
42164010,-0.527,0.205,0.804,2.572,4.655,5.792
42164020,-0.522,0.209,0.793,-0.595,7.227,4.445
42164030,-0.537,0.223,0.793,-3.447,8.225,3.325
42164040,-0.535,0.232,0.794,-6.86,7.42,1.75
42164050,-0.547,0.24,0.797,-10.78,5.547,-0.56
42164060,-0.568,0.23,0.788,-14.84,2.747,-3.71
42164070,-0.598,0.216,0.789,-17.325,-1.68,-6.562
42164080,-0.613,0.2,0.797,-18.375,-7.297,-8.977
42164090,-0.602,0.174,0.793,-18.252,-12.39,-9.73
42164100,-0.568,0.175,0.8,-17.045,-13.65,-9.73
42164110,-0.532,0.165,0.815,-17.395,-10.29,-9.625
42164120,-0.495,0.156,0.824,-19.11,-3.71,-9.695
42164130,-0.521,0.148,0.816,-23.537,2.642,-9.73
42164140,-0.527,0.118,0.794,-28.647,6.387,-11.2
42164150,-0.526,0.085,0.778,-31.535,7.98,-12.425
42164160,-0.57,0.042,0.759,-31.167,7.017,-13.265
42164170,-0.583,0.004,0.761,-26.985,3.797,-15.207
42164170,-0.604,-0.038,0.767,-19.827,-0.28,-15.89
42164190,-0.654,-0.041,0.789,-9.187,-5.757,-14.787
