time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
48914800,-0.284,-0.04,0.862,23.24,27.982,-6.615
48914820,-0.33,0.073,0.879,30.992,33.932,2.362
48914820,-0.34,0.102,1.011,36.61,42.595,11.427
48914830,-0.204,0.158,0.996,28.017,57.697,4.725
48914840,-0.282,0.183,1.026,11.252,67.357,7.262
48914850,-0.309,0.153,0.997,-7.805,73.535,12.897
48914860,-0.337,0.075,0.973,-19.74,74.375,13.615
48914870,-0.29,0.025,0.917,-22.837,73.465,9.992
48914880,-0.357,0.059,0.953,-21.717,69.3,5.39
48914890,-0.363,0.018,0.908,-14.14,55.3,1.942
48914900,-0.323,0.076,0.887,0.035,44.922,-4.13
48914910,-0.383,0.108,0.873,8.225,29.26,-6.79
48914920,-0.389,0.101,0.876,10.972,13.842,-11.27
48914930,-0.372,0.097,0.856,7.56,-1.942,-19.372
48914940,-0.416,0.132,0.859,-1.4,-16.8,-23.782
48914950,-0.411,0.124,0.84,-12.267,-32.147,-23.695
48914960,-0.372,0.067,0.791,-28.962,-41.982,-23.397
48914970,-0.353,-0.039,0.779,-40.092,-44.362,-20.51
48914980,-0.34,-0.104,0.82,-43.225,-40.232,-16.695
48914990,-0.363,-0.131,0.886,-42.07,-36.925,-10.622
48915000,-0.383,-0.173,0.959,-37.31,-35.402,-5.267
48915010,-0.362,-0.189,1.027,-29.995,-37.66,-2.922
48915020,-0.334,-0.216,1.132,-21.262,-42.07,0.07
48915030,-0.251,-0.266,1.228,-12.897,-48.965,1.4
48915040,-0.095,-0.235,1.305,0.105,-50.155,1.977
48915050,0.007,-0.148,1.408,14.42,-44.047,5.057
48915060,0.118,-0.099,1.467,20.772,-28.542,9.415
48915070,0.215,-0.109,1.501,22.732,-3.167,9.975
48915080,0.16,-0.155,1.529,29.067,25.9,9.957
48915080,0.11,-0.158,1.502,38.465,49.227,4.2
48915100,0.02,-0.18,1.465,56.472,62.475,-5.127
48915100,-0.06,-0.168,1.363,74.76,62.282,-19.967
48915120,-0.114,-0.126,1.252,94.395,53.427,-34.807
48915120,-0.167,-0.09,1.117,110.547,38.062,-48.965
48915140,-0.22,-0.057,1.001,123.725,16.362,-62.562
48915140,-0.232,0.007,0.857,133.875,-9.747,-75.617
48915160,-0.187,0.091,0.726,141.295,-33.477,-88.917
48915160,-0.142,0.174,0.632,140.105,-47.285,-101.57
48915170,-0.125,0.244,0.602,129.36,-52.167,-111.457
48915180,-0.126,0.331,0.619,108.465,-51.117,-119.647
48915190,-0.171,0.381,0.669,77.21,-48.037,-123.567
48915200,-0.19,0.396,0.696,39.637,-43.4,-124.6
48915210,-0.203,0.353,0.681,0.577,-37.467,-121.835
48915220,-0.249,0.31,0.656,-34.982,-27.947,-115.43
48915230,-0.322,0.266,0.641,-63.42,-16.205,-105.14
48915240,-0.425,0.216,0.656,-86.467,-5.495,-92.697
48915250,-0.521,0.197,0.663,-105.612,-0.7,-78.96
48915260,-0.597,0.182,0.696,-123.217,-1.54,-60.602
48915270,-0.611,0.114,0.693,-140.647,-6.965,-41.737
48915280,-0.61,-0.016,0.67,-155.242,-8.837,-25.13
48915290,-0.62,-0.133,0.663,-162.417,-7.77,-16.275
48915300,-0.649,-0.185,0.705,-160.685,-7.525,-14.63
48915310,-0.666,-0.198,0.749,-150.185,-13.842,-17.115
48915320,-0.626,-0.185,0.781,-133.262,-25.882,-21.962
48915330,-0.644,-0.183,0.816,-110.425,-43.522,-16.817
48915340,-0.668,-0.157,0.872,-85.645,-63.14,-8.732
48915350,-0.527,-0.041,0.872,-78.015,-75.687,-21.297
48915360,-0.45,-0.019,0.902,-75.022,-75.6,-24.955
48915370,-0.429,-0.058,0.925,-75.652,-68.565,-16.975
48915380,-0.397,-0.117,0.929,-79.362,-55.37,-10.587
48915390,-0.374,-0.167,0.945,-77.315,-37.835,-8.995
48915400,-0.371,-0.167,0.972,-68.215,-19.285,-7.612
48915410,-0.395,-0.154,1.002,-56.875,-5.442,-4.042
48915420,-0.419,-0.18,1.014,-43.522,1.487,1.995
48915430,-0.439,-0.202,1.016,-26.967,0.56,7.175
48915440,-0.381,-0.128,1.048,-13.37,-3.867,5.25
48915450,-0.355,-0.146,1.012,-10.272,-9.047,7.787
48915460,-0.305,-0.146,1.015,0.787,-14.315,10.167
48915470,-0.244,-0.094,1.006,0,-17.972,8.925
48915480,-0.228,-0.11,0.975,-2.975,-20.387,13.212
48915490,-0.2,-0.13,0.958,-4.077,-21.122,16.642
48915500,-0.169,-0.152,0.917,-8.68,-19.565,21.91
48915510,-0.139,-0.158,0.89,-10.062,-14.91,29.697
48915510,-0.127,-0.195,0.859,-13.247,-6.405,38.465
48915530,-0.143,-0.236,0.832,-17.237,5.547,44.975
48915530,-0.162,-0.239,0.819,-19.425,16.607,50.96
48915550,-0.199,-0.226,0.82,-23.922,26.617,58.397
48915550,-0.29,-0.241,0.811,-32.427,33.267,65.205
48915570,-0.346,-0.256,0.811,-40.39,37.45,69.317
48915570,-0.406,-0.268,0.819,-46.287,37.24,74.13
48915580,-0.478,-0.339,0.825,-46.935,34.16,80.237
48915590,-0.463,-0.392,0.818,-42.35,30.537,79.485
48915600,-0.461,-0.402,0.84,-29.96,26.617,77.577
48915610,-0.47,-0.378,0.862,-10.797,20.23,77.245
48915620,-0.505,-0.33,0.91,7,11.935,70.84
48915630,-0.602,-0.259,0.973,16.835,-2.117,59.885
48915640,-0.652,-0.151,1.017,16.747,-28.682,43.47
48915650,-0.612,-0.103,1.009,10.85,-66.99,29.102
48915660,-0.479,-0.104,0.962,2.065,-101.237,17.92
48915670,-0.322,-0.107,0.897,-7.087,-125.265,7.332
48915680,-0.152,-0.079,0.856,-14.665,-135.467,-1.067
48915690,-0.031,-0.079,0.827,-22.085,-133.42,-2.905
48915700,0.052,-0.075,0.844,-26.617,-121.625,-2.152
48915710,0.143,-0.084,0.856,-30.345,-104.807,1.067
48915720,0.183,-0.135,0.932,-31.15,-82.197,5.827
48915730,0.46,-0.335,1.139,-26.285,-47.792,12.827
48915740,0.605,-0.412,1.245,-13.002,17.657,28.665
48915750,-0.025,-0.374,1.295,0.245,68.285,32.637
48915760,-0.395,-0.326,1.241,5.845,67.812,20.93
48915770,-0.243,-0.275,1.127,18.34,47.162,4.305
48915780,-0.216,-0.382,0.996,28.682,34.737,-0.472
48915790,-0.409,-0.269,1.143,35.07,21.787,-4.427
48915800,-0.337,-0.18,1.086,37.905,1.12,-13.632
48915810,-0.178,-0.25,0.972,42.577,-8.067,-14.63
48915820,-0.18,-0.202,0.961,52.5,-0.665,-9.012
48915830,-0.189,-0.133,0.941,59.01,14.455,3.097
48915830,-0.232,-0.12,0.928,59.745,32.917,12.95
48915850,-0.255,-0.102,0.909,55.86,53.62,23.24
48915850,-0.295,-0.071,0.886,47.075,74.62,34.982
48915870,-0.373,-0.051,0.87,32.987,93.327,44.625
48915870,-0.443,-0.055,0.839,20.685,104.912,53.515
48915890,-0.481,-0.077,0.798,14.192,109.742,60.83
48915890,-0.511,-0.095,0.781,13.16,108.832,65.8
48915910,-0.494,-0.081,0.765,13.58,104.93,67.287
48915910,-0.501,-0.073,0.765,13.125,98.42,67.41
48915920,-0.506,-0.048,0.783,14.07,89.057,65.852
48915930,-0.505,-0.025,0.798,14.42,74.707,68.512
48915940,-0.471,-0.003,0.798,13.947,60.375,71.312
48915950,-0.455,0.01,0.826,12.11,47.67,71.907
48915960,-0.459,0.022,0.87,9.275,34.23,70.875
48915970,-0.445,0.01,0.876,4.41,17.797,68.355
48915980,-0.415,0.012,0.899,-0.28,2.642,64.102
48915990,-0.401,0.002,0.912,-6.667,-14.437,58.24
48916000,-0.33,-0.01,0.897,-10.43,-28.332,53.585
48916010,-0.245,0.001,0.888,-14.717,-35.437,47.32
48916020,-0.226,0.022,0.881,-22.75,-35.455,42.49
48916030,-0.214,-0.017,0.88,-31.552,-30.87,37.572
