time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
38982010,-0.048,-0.984,1.184,-52.097,39.445,-130.585
38982020,-0.172,-0.78,1.095,-61.442,38.36,-130.952
38982030,-0.202,-0.571,1.105,-77.927,37.712,-111.282
38982040,-0.077,-0.49,1.129,-93.432,35.175,-82.582
38982050,0.065,-0.392,1.098,-95.287,36.715,-59.237
38982060,0.098,-0.291,1.017,-91.927,40.11,-42.437
38982070,0.117,-0.218,0.984,-89.985,38.64,-30.555
38982080,0.176,-0.158,0.894,-86.082,31.587,-21.735
38982090,0.199,-0.121,0.825,-81.182,24.99,-11.69
38982100,0.211,-0.067,0.798,-80.5,18.917,-1.96
38982110,0.19,-0.026,0.797,-85.855,11.445,-4.76
38982120,0.122,-0.019,0.786,-92.54,4.095,-16.66
38982130,0.042,0,0.762,-90.492,-2.1,-30.485
38982140,0.013,0.022,0.716,-81.497,-4.847,-46.515
38982150,-0.049,0.053,0.642,-70.245,-3.885,-63.035
38982160,-0.134,0.125,0.531,-64.47,-2.59,-79.607
38982170,-0.17,0.149,0.441,-58.712,-4.06,-94.832
38982180,-0.17,0.149,0.305,-54.442,-5.617,-108.64
38982190,-0.178,0.148,0.108,-49.787,-3.342,-121.94
38982200,-0.322,0.241,-0.02,-53.112,1.627,-132.912
38982210,-0.571,0.318,-0.059,-64.33,-11.707,-141.872
38982220,-0.628,0.425,-0.13,-80.36,-36.102,-142.415
38982230,-0.569,0.737,0.031,-92.312,-41.3,-127.26
38982240,-0.517,1.824,1.118,-116.497,9.205,-91.892
38982250,-1.543,0.76,1.739,-129.675,18.235,-53.06
38982260,1.771,-1.998,0.31,413.927,6.93,6.335
38982260,-0.634,-0.193,0.843,540.417,3.08,-62.86
38982280,-0.086,0.983,1.071,373.485,8.347,-86.905
38982280,0.883,0.398,1.39,322.875,16.485,18.515
38982300,0.299,0.606,1.372,334.932,1.855,34.912
38982300,0.075,0.962,1.505,230.09,40.967,62.247
38982320,-0.513,1.033,1.374,138.005,63.63,65.625
38982320,-0.885,0.939,1.181,56.332,42.35,50.82
38982330,-0.768,0.581,1.127,-13.107,-0.525,29.155
38982340,-0.507,0.304,1.037,-52.167,-37.24,1.225
38982350,-0.103,-0.004,1.021,-68.775,-57.627,-12.425
38982360,0.178,-0.09,1.037,-66.657,-58.73,-14.437
38982370,0.299,0.039,1.037,-58.835,-41.265,-5.897
38982380,0.304,0.054,1.065,-61.232,-19.862,7.595
38982390,0.109,0.008,1.051,-69.265,-1.05,15.172
38982400,0.022,-0.035,1.071,-76.317,8.365,15.19
38982410,0.098,0.008,1.095,-85.54,15.872,14.665
38982420,0.104,0.06,1.116,-98.962,20.002,19.582
38982430,0.159,0.016,1.141,-123.06,20.685,33.897
38982440,0.123,0.038,1.142,-149.275,21.385,53.9
38982450,0.089,0.065,1.148,-170.642,17.937,73.255
38982460,-0.114,0.134,1.133,-190.417,15.417,88.217
38982470,-0.374,0.07,1.1,-208.495,2.957,93.397
38982480,-0.28,-0.031,1.167,-237.387,-4.567,93.135
38982490,-0.314,-0.253,1.264,-257.67,-7.56,90.93
38982500,-0.178,-0.695,1.381,-264.722,-10.027,71.155
38982510,-0.349,-0.944,1.058,-217.822,-24.955,67.095
38982520,-0.005,-1.07,0.951,-112.525,-31.342,65.292
38982530,-0.116,-0.677,0.537,-46.69,6.177,49.91
38982540,-0.111,-0.602,0.6,-34.23,55.807,41.965
38982550,0.087,-0.528,0.502,-6.177,75.145,11.095
38982560,0.461,-0.371,0.357,17.85,105.647,-18.06
38982570,0.444,0.139,-0.055,41.405,101.325,-77.525
38982580,0.161,0.789,-0.248,50.61,56.997,-178.5
38982580,-0.646,1.183,-0.262,23.485,-4.445,-247.52
38982600,-0.489,1.658,-0.381,-6.247,-22.172,-245.612
38982600,-0.54,1.672,-0.234,-8.19,-4.882,-209.965
38982620,-1.015,-0.301,1.383,-27.545,19.53,-195.597
38982620,-0.14,-1.998,1.196,-0.262,-88.375,-303.485
38982640,-0.89,0.124,1.421,360.167,-68.565,-335.597
38982640,1.533,1.976,-0.522,503.212,-22.47,-105.262
38982660,1.673,-0.057,0.863,347.672,19.635,-58.537
38982660,0.09,-1.048,1.553,281.977,30.275,-38.78
38982670,0.868,0.111,1.017,413.927,36.522,99.26
38982680,0.13,0.839,1.29,383.285,63.017,136.955
38982690,-0.971,0.724,1.688,286.527,106.172,131.862
38982700,-1.201,1.575,1.28,219.205,87.622,84.945
38982710,-0.814,1.622,0.941,106.33,20.877,23.782
38982720,-0.369,0.91,1.076,-18.97,-31.307,-7.122
38982730,-0.218,0.282,1.094,-78.522,-50.47,-19.67
38982740,-0.066,-0.043,1.054,-96.845,-53.602,-27.755
38982750,0.135,-0.049,1.086,-94.797,-47.617,-26.967
38982760,0.25,0.041,1.067,-90.842,-33.582,-21.647
38982770,0.331,0.015,1.091,-91.525,-11.112,-11.725
38982780,0.131,0.058,1.152,-95.042,11.392,-3.15
38982790,0.144,0.164,1.185,-108.22,24.85,14.385
38982800,-0.047,0.185,1.212,-136.885,18.62,34.895
38982810,0.156,0.073,1.202,-187.11,0.087,62.72
38982820,-0.009,0.214,1.167,-230.545,6.317,88.777
38982830,-0.315,0.04,1.057,-254.275,-2.765,98.945
38982840,-0.164,-0.144,1.178,-288.61,-14.297,102.305
38982850,-0.04,-0.011,1.092,-314.562,-7.262,99.19
38982860,-0.129,-0.2,1.195,-315.367,-2.87,83.212
38982870,-0.29,-0.651,1.412,-313.95,-2.695,62.177
38982880,-0.447,-0.874,1.082,-256.567,-15.767,67.13
38982890,0.198,-1.443,1.147,-103.547,-24.132,70.577
38982900,-0.435,-0.835,0.717,-34.107,18.252,42.77
38982910,-1.138,-0.58,1.019,0.42,75.792,37.555
38982920,-0.186,-0.721,0.555,72.257,91.42,61.81
38982930,0.52,-0.137,-0.281,147.385,130.62,92.855
38982940,0.293,0.612,-0.685,181.055,115.745,48.58
38982950,0.503,0.227,-0.173,93.747,70.77,-15.557
38982960,0.607,0.131,0.113,1.627,41.177,-98.017
38982970,-0.068,0.408,-0.146,14.735,17.535,-182.927
38982980,-0.653,0.559,-0.491,39.655,-4.06,-208.81
38982990,-0.889,0.701,-0.545,8.452,-7.35,-194.792
38983000,-0.878,0.489,-0.265,-30.8,-2.327,-164.727
38983010,-1.571,-0.604,1.982,-97.702,-75.53,-155.767
38983010,1.061,-1.998,0.892,73.78,-236.232,-226.152
38983020,-0.998,0.367,1.166,501.147,-112.087,-202.265
38983030,1.721,1.97,0.335,480.917,-53.865,-78.68
38983040,1.331,0.325,0.967,349.37,-16.695,-13.79
38983050,0.515,-0.879,1.601,326.637,-17.447,-8.662
38983060,1.013,0.603,1.392,361.76,44.275,94.5
38983070,-0.258,1.068,1.473,307.125,99.732,95.27
38983080,-1.388,1.303,1.387,173.302,95.515,60.847
38983090,-1.015,1.512,1.051,76.405,31.342,25.095
38983100,-0.385,1.098,1.256,-48.177,-26.88,-15.995
38983110,-0.006,0.621,1.216,-130.41,-43.172,-42.402
38983120,-0.051,-0.039,1.016,-162.82,-36.942,-60.095
38983130,0.111,-0.489,0.889,-151.147,-30.275,-58.8
38983140,0.14,-0.597,0.84,-107.642,-17.937,-46.322
38983150,0.145,-0.41,0.882,-75.897,-7.997,-28.892
38983160,0.204,-0.132,0.989,-53.427,0.472,-6.982
38983170,0.173,0.027,1.129,-50.312,7.735,10.517
38983180,0.058,0.146,1.216,-75.897,13.335,30.275
38983190,-0.019,0.225,1.215,-111.842,14.56,49.665
38983200,-0.104,0.326,1.258,-156.135,12.6,65.817
38983210,-0.177,0.308,1.239,-200.445,5.022,73.64
38983220,-0.331,0.186,1.166,-240.117,-7.542,74.707
38983230,-0.138,0.034,1.232,-281.435,-16.17,74.375
38983240,-0.19,-0.03,1.151,-312.34,-16.817,65.975
38983250,-0.229,-0.312,1.215,-332.71,-22.662,46.165
38983260,-0.496,-0.418,1.419,-352.765,-5.145,35
38983270,-0.124,-1.065,1.641,-282.275,-11.06,34.125
38983280,-0.01,-1.594,1.169,-187.162,-30.397,-0.752
38983290,-0.499,-1.162,0.856,-106.137,15.225,-9.24
38983300,-0.941,-0.956,0.783,-29.015,71.557,-1.767
38983310,-1.027,-0.71,1.37,-1.4,73.762,33.442
38983320,0.303,-0.463,0.584,98.735,63.472,87.797
38983330,0.658,0.66,-0.562,222.95,96.495,128.555
38983330,0.227,1.718,-1.02,239.89,96.915,126.297
38983350,0.421,1.478,-0.54,146.16,48.545,105.437
38983350,0.99,0.999,0.034,31.99,5.687,71.837
38983370,0.9,0.893,0.085,-9.782,4.287,30.537
38983370,0.208,0.815,-0.297,18.865,-8.89,-35.49
38983390,-0.445,0.455,-0.476,21.227,-45.832,-71.295
38983390,-0.548,-0.196,-0.312,-35.297,-75.425,-60.427
38983410,-0.698,-0.749,0.01,-63.472,-94.36,-52.727
38983410,-1.829,-1.842,1.429,-137.042,-218.435,-134.312
38983420,-0.397,-0.955,0.992,178.062,-217.122,-277.882
38983430,0.221,1.997,0.237,558.145,-72.485,-46.847
38983440,1.949,1.979,0.109,447.527,-53.025,-6.842
38983450,0.948,-0.667,1.505,230.79,-0.84,-65.502
38983460,0.025,-1.312,1.768,254.642,17.885,-47.775
38983470,1.117,0.991,1.028,361.305,52.57,77.892
38983480,-0.444,0.963,1.363,261.485,91.105,62.807
38983490,-1.368,0.916,1.565,123.777,77.315,22.4
38983500,-0.932,1.377,1.208,48.895,19.6,2.992
38983510,-0.494,0.636,1.163,-57.155,-29.715,-29.96
38983520,-0.054,-0.054,1.089,-112.105,-51.537,-64.295
38983530,0.077,-0.213,0.859,-92.575,-34.02,-81.095
38983540,0.062,-0.422,0.845,-67.55,-20.037,-84.175
38983550,0.231,-0.444,0.891,-35.98,-14.752,-63.105
38983560,0.275,-0.267,0.906,-7.105,-11.567,-36.137
38983570,0.224,-0.105,0.997,7.227,-4.112,-8.89
38983580,0.077,0.088,1.083,9.975,6.72,7.91
38983590,-0.071,0.21,1.165,-5.67,14.612,10.167
38983600,-0.031,0.307,1.237,-37.817,16.415,7.875
38983610,-0.001,0.365,1.278,-78.05,19.005,5.495
38983620,-0.022,0.332,1.264,-123.305,22.592,2.957
38983630,-0.037,0.24,1.234,-166.95,25.077,0.332
38983640,-0.021,0.15,1.194,-201.775,27.965,-0.21
38983650,0.038,0.022,1.163,-224.56,30.747,0.752
38983660,0.074,-0.132,1.139,-240.765,35.665,2.38
38983670,0.11,-0.243,1.185,-252.227,44.31,3.167
38983680,0.205,-0.322,1.245,-256.34,63.49,6.387
38983690,0.265,-0.642,1.283,-246.767,100.835,9.975
38983690,0.046,-0.902,1.11,-194.967,120.697,14.927
38983710,-0.112,-1.145,0.855,-84.542,88.007,18.952
38983710,-0.089,-1.276,0.392,-36.75,65.327,-3.447
38983730,0.907,-1.817,0.678,-47.145,82.057,-3.29
38983730,0.899,-1.339,0.853,-33.04,84.472,-36.662
38983750,-0.017,-0.525,0.34,36.505,93.047,-111.912
38983750,-0.591,0.083,0.022,78.82,90.65,-119.665
38983760,-0.614,0.437,-0.122,51.257,62.527,-83.422
38983770,-0.417,0.583,-0.198,26.897,22.767,-47.372
38983780,-0.167,0.772,-0.32,25.655,-7.735,-25.2
38983790,-0.011,1.062,-0.428,21.262,-18.672,-11.987
38983800,0.028,1.251,-0.537,13.072,-26.197,1.522
38983810,0.09,1.284,-0.911,8.785,-43.575,14.122
38983820,-1.117,0.462,1.553,-41.86,-72.205,13.72
38983830,-1.483,-1.998,0.906,-165.987,-365.26,-137.182
38983840,1.529,-0.808,1.294,320.477,-79.87,1.347
38983850,-1.207,1.76,-0.994,552.422,-85.067,123.48
38983860,1.029,1.653,0.216,506.572,-143.15,-50.522
38983870,1.146,-1.169,1.899,276.902,-71.435,-31.29
38983880,0.155,-0.284,1.891,361.917,-85.19,-36.452
38983890,1.75,1.85,1.437,366.117,-3.43,75.582
38983900,-0.482,1.803,1.529,176.802,85.225,55.02
38983910,-1.215,1.568,1.032,41.23,63.07,68.232
38983920,-0.971,0.393,1.063,-68.46,-3.832,39.567
38983930,-0.516,-0.26,0.988,-107.747,-48.16,-11.06
38983940,0.049,-0.373,0.947,-92.697,-67.48,-34.895
38983950,0.454,-0.233,0.932,-63.56,-59.657,-29.26
38983960,0.481,-0.21,0.881,-33.897,-32.97,-7.962
38983970,0.19,-0.216,0.938,-9.747,-6.877,15.452
38983980,-0.03,-0.08,0.994,13.685,7.035,26.337
38983990,-0.081,0.049,1.013,19.67,9.712,24.447
38984000,-0.024,0.109,1.056,12.757,9.905,17.815
38984010,0.029,0.252,1.097,1.977,12.39,11.532
38984020,0.067,0.274,1.147,-17.902,16.607,8.19
38984030,0.079,0.287,1.229,-43.102,22.26,5.915
38984040,0.061,0.273,1.231,-71.522,29.592,1.627
38984050,0.013,0.193,1.191,-104.772,37.432,0.612
38984060,-0.171,0.134,1.086,-136.902,40.18,-0.087
38984070,-0.16,0.084,1.027,-164.517,37.292,-4.41
38984080,-0.183,0.076,1.042,-178.185,34.632,-7.49
38984080,-0.118,-0.004,1.113,-184.362,30.555,-13.527
38984100,-0.087,-0.089,1.196,-194.915,31.342,-14.63
38984100,0.133,-0.424,1.149,-207.077,49.28,-13.545
38984120,0.285,-0.647,1.04,-205.502,83.142,5.25
38984120,0.044,-0.823,1.01,-171.762,90.107,26.442
38984140,-0.287,-1.113,1.21,-131.53,69.317,35.017
38984140,-0.503,-1.746,1.723,-71.435,32.707,42.402
38984160,0.181,-1.865,1.17,34.685,14.98,43.697
38984160,0.653,-1.261,0.422,159.442,36.137,46.777
38984170,0.462,-0.853,-0.065,181.247,28.752,-13.72
38984180,0.428,-0.858,-0.408,140.297,13.195,-84.437
38984190,0.294,-0.628,-0.594,98.122,-7.472,-166.32
38984200,-0.321,-0.24,-0.349,36.347,-36.662,-231.875
38984210,-0.731,0.009,0.001,-81.2,-66.99,-287.07
38984220,-1.043,-0.023,0.128,-176.05,-74.742,-273.332
38984230,-1.073,0.113,0.075,-173.022,-62.807,-216.352
38984240,-0.999,0.472,-0.01,-123.357,-62.65,-153.125
38984250,-0.074,1.383,0.611,-110.127,-45.027,-76.282
38984260,-1.641,1.608,1.291,-222.057,-27.282,47.757
38984270,1.604,-1.396,0.707,242.375,-63,98.087
38984280,0.014,-1.816,1.423,427.332,25.445,33.407
38984290,-1.393,0.637,0.839,349.475,4.69,-78.19
38984300,0.691,0.884,0.779,411.652,-8.837,34.93
38984310,0.137,0.576,1.376,310.45,-27.982,19.162
38984320,0.16,0.406,1.645,229.967,-16.922,23.012
38984330,0.16,1.244,1.461,189.227,16.205,56.227
38984340,-0.49,1.172,1.356,86.992,28.245,39.655
38984350,-0.633,0.796,1.29,-25.672,16.03,22.505
38984360,-0.547,0.376,1.148,-83.545,-6.93,-11.235
38984370,-0.198,0.151,1.072,-119.052,-21.787,-43.26
38984380,-0.053,0.036,1.059,-125.58,-14.927,-64.26
38984390,0.069,-0.006,1.08,-132.055,-5.652,-64.627
38984400,0.103,0.025,1.053,-146.51,-1.557,-46.445
38984410,0.105,-0.044,1.013,-160.51,-1.435,-25.077
38984420,0.029,-0.131,0.973,-172.847,-1.522,-7.857
38984420,0.006,-0.229,0.957,-176.96,-1.89,7.262
38984440,-0.013,-0.252,0.963,-178.202,0.227,17.657
38984440,0.011,-0.251,0.968,-178.01,4.34,23.485
38984460,0.07,-0.299,0.974,-174.79,12.617,28.367
38984460,0.154,-0.333,0.982,-168.822,23.275,30.275
38984480,0.165,-0.373,1.006,-162.12,37.205,32.9
38984480,0.127,-0.528,1.041,-152.705,46.182,35.087
38984500,0.037,-0.273,1.113,-121.59,55.335,41.16
38984500,-0.014,-0.39,1.138,-89.407,51.047,26.687
38984510,-0.036,-0.441,1.282,-126.175,57.522,25.322
38984520,-0.05,-0.752,1.371,-130.9,55.212,23.607
38984530,-0.076,-0.901,1.309,-82.337,31.937,14.315
38984540,-0.158,-0.78,0.997,-30.642,16.012,5.057
38984550,0.021,-0.731,1.129,10.657,43.75,9.31
38984560,-0.126,-1.105,1.021,70.14,44.38,5.25
38984570,0.399,-0.819,0.297,171.535,47.372,4.672
38984580,0.068,0.072,-0.895,256.882,63.49,10.325
38984590,-0.509,0.907,-1.3,264.792,47.687,5.425
38984600,-0.677,0.829,-0.911,160.387,-26.302,3.99
38984610,-0.153,0.255,-0.265,-13.597,-71.067,14.892
38984620,0.094,0.025,0.022,-119.42,-47.67,31.937
38984630,-0.198,-0.005,-0.161,-66.99,-39.112,11.462
38984640,-0.547,0.428,0.071,18.095,-77.49,-7.122
38984650,-1.805,-0.086,1.738,-111.142,-231.56,2.275
38984660,0.965,-1.998,1.124,11.375,-203.752,-60.305
38984670,-0.747,-0.113,1.008,451.097,-1.487,56.42
38984680,0.795,1.997,-0.009,488.407,-60.935,53.655
38984690,1.215,0.716,0.701,313.372,-42.017,57.05
38984700,-0.039,-1.302,1.998,159.477,-32.48,-24.92
38984710,0.058,0.747,1.491,274.75,-16.345,16.24
38984720,0.515,1.582,1.18,213.255,12.792,65.292
38984730,-0.487,0.889,1.579,22.732,30.835,41.405
38984740,-0.486,0.742,1.276,-37.362,18.795,36.015
38984750,-0.74,0.225,0.971,-89.232,2.275,2.17
38984760,-0.62,-0.301,0.8,-118.107,-16.047,-39.55
38984770,-0.274,-0.448,0.707,-75.092,-25.585,-71.872
38984780,0.188,-0.613,0.814,-27.002,-27.93,-86.205
38984790,0.497,-0.485,0.923,9.695,-21.07,-68.547
38984800,0.628,-0.179,0.969,39.987,-10.657,-26.215
38984810,0.376,-0.004,1.056,48.772,10.325,16.572
38984820,-0.012,0.083,1.132,45.482,26.232,31.955
38984830,-0.163,0.207,1.178,28.822,35.402,28.962
38984830,-0.155,0.401,1.275,4.357,41.65,11.69
38984850,-0.071,0.474,1.363,-35.612,51.695,-7.122
38984850,-0.006,0.454,1.394,-89.792,68.827,-21.332
38984870,0.057,0.32,1.325,-142.345,84.087,-26.705
38984870,0.033,0.178,1.231,-188.825,96.11,-31.027
38984890,-0.101,0.086,1.208,-219.31,98.822,-36.82
38984890,-0.168,-0.008,1.241,-240.292,96.197,-42.332
38984910,-0.174,0.001,1.312,-260.645,97.597,-42.962
38984910,-0.071,-0.212,1.389,-279.317,115.36,-45.885
38984920,-0.13,-0.818,1.774,-291.48,103.915,-58.59
38984930,-0.677,-1.26,1.69,-224.892,53.392,-52.202
38984940,-0.637,-1.388,1.465,-80.062,13.422,-40.915
38984950,0.485,-1.48,1.492,2.625,19.722,-12.53
38984960,0.307,-1.085,0.12,136.815,53.095,-22.645
38984970,-0.62,-0.049,-0.434,221.305,48.807,-48.527
38984980,-0.592,0.144,-0.5,154.28,-5.442,-25.777
38984990,-0.06,-0.257,-0.47,51.747,-52.255,19.495
38985000,0.387,-0.452,-0.449,2.135,-77.945,26.11
38985010,0.375,-0.452,-0.319,-17.43,-80.832,-6.23
38985020,0.194,-0.411,-0.157,-45.43,-78.715,-43.33
38985030,0.022,-0.343,-0.109,-69.562,-90.072,-64.575
38985040,-0.034,-0.286,-0.099,-76.72,-116.357,-71.19
38985050,-0.087,-0.2,-0.207,-77.647,-143.57,-63.56
38985060,-0.165,-0.013,-0.429,-81.497,-172.532,-47.442
38985070,-0.142,0.292,-0.633,-99.75,-198.345,-19.967
38985080,-0.095,0.87,-0.976,-134.242,-200.042,26.075
38985090,-0.932,1.714,1.739,-283.167,-89.775,73.71
38985100,-1.691,-1.998,0.811,-349.492,-28.63,71.627
38985110,1.131,-1.6,0.898,451.22,-45.99,127.575
38985120,0.574,1.853,-1.181,555.782,-55.002,51.73
38985130,0.981,1.368,0.148,415.082,33.46,24.307
38985140,-0.067,-1.828,1.955,209.352,78.925,23.222
38985150,-0.705,0.093,1.589,373.187,25.252,5.04
38985160,0.201,1.814,1.156,448.822,-10.027,61.862
38985170,-0.4,1.245,1.624,182.332,17.885,56
38985170,-0.5,0.951,1.617,45.08,26.862,49.455
38985190,-0.54,0.859,1.157,14.42,0.367,10.745
38985190,-0.39,0.247,1.145,-84.84,-15.085,-26.967
38985210,-0.032,-0.003,1.083,-107.922,-24.272,-53.97
38985210,0.108,0.043,0.979,-91.035,-13.947,-65.852
38985230,0.156,-0.101,1.036,-99.12,-1.12,-62.562
38985230,0.108,-0.133,1.04,-99.557,8.4,-49.315
38985250,0.152,-0.135,1.017,-94.062,14.14,-33.582
38985250,0.079,-0.123,1.027,-100.31,24.167,-23.117
38985260,0.041,-0.111,1.068,-105.927,32.165,-16.205
38985270,0.104,-0.08,1.105,-117.687,43.872,-8.382
38985280,0.139,-0.073,1.139,-134.522,59.587,-0.857
38985290,0.167,-0.108,1.172,-153.107,77.595,6.895
38985300,0.108,-0.153,1.163,-170.012,93.222,13.982
38985310,0.015,-0.186,1.136,-182.542,102.532,20.02
38985320,-0.073,-0.148,1.117,-194.95,98.56,23.712
