time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
60819770,0.105,0.053,1.404,-85.697,22.645,56.507
60819780,-0.255,0.325,1.273,-42.84,17.36,50.54
60819790,0.791,0.982,0.647,46.83,-24.57,44.537
60819800,0.614,0.998,0.717,52.57,3.027,48.965
60819810,0.243,0.439,0.557,45.395,-13.807,33.355
60819820,0.447,0.272,0.803,60.637,-30.73,7.472
60819830,0.29,0.25,0.869,86.362,-37.887,-16.345
60819840,0.04,0.192,0.854,102.672,-40.022,-36.207
60819850,-0.041,0.144,0.884,108.99,-39.147,-44.012
60819860,-0.118,-0.043,0.912,109.13,-33.705,-46.777
60819870,-0.162,-0.14,0.884,114.03,-24.727,-44.38
60819880,-0.144,-0.203,0.879,113.417,-12.81,-36.295
60819890,-0.05,-0.348,0.901,103.775,2.31,-24.202
60819900,-0.054,-0.505,0.825,95.095,17.307,-11.69
60819910,-0.119,-0.52,0.64,85.645,20.772,-2.03
60819920,-0.117,-0.498,0.395,60.847,13.282,7.892
60819930,-0.012,-0.509,0.188,20.475,7.682,24.202
60819940,0.123,-0.582,0.179,-29.872,20.65,44.135
60819950,-0.172,-1.104,0.202,-73.587,44.327,62.86
60819960,0.288,-1.688,1.823,-136.937,-88.602,78.767
60819970,1.841,-1.998,1.22,-129.08,7.892,91.49
60819980,-0.996,-0.993,0.545,83.755,30.082,-58.345
60819990,-0.499,1.311,1.418,124.53,54.792,-102.305
60820000,-0.56,1.077,0.741,31.202,-14.262,-18.725
60820010,0.761,0.276,0.838,-5.775,-11.812,40.897
60820020,0.718,-0.569,1.022,-8.925,-0.105,35.595
60820030,0.271,-0.4,1.027,13.195,4.375,-2.257
60820040,-0.017,0.046,0.984,25.427,4.567,-18.41
60820050,0.26,-0.082,0.967,9.642,1.75,-4.97
60820060,0.46,-0.267,0.957,2.66,6.947,0.822
60820070,0.298,-0.168,0.952,6.107,14.227,-2.03
60820080,0.202,-0.158,0.97,6.247,19.757,-0.245
60820080,0.237,-0.145,0.962,8.68,18.252,0.98
60820100,0.168,-0.138,0.97,9.135,18.34,1.015
60820100,0.108,-0.166,0.995,8.942,12.827,0.105
60820120,0.108,-0.168,0.988,9.66,6.265,-1.61
60820120,0.117,-0.144,0.977,9.397,-2.8,-4.707
60820140,0.139,-0.105,0.966,8.452,-8.12,-6.475
60820140,0.155,-0.088,0.966,7.455,-13.492,-6.212
60820150,0.158,-0.106,0.972,6.23,-15.872,-5.337
60820160,0.167,-0.111,0.977,5.11,-19.915,-4.76
60820170,0.19,-0.104,0.981,3.955,-21.367,-3.342
60820180,0.227,-0.107,0.979,2.782,-23.695,-2.502
60820190,0.231,-0.087,0.964,0.017,-23.625,-1.995
60820200,0.256,-0.175,0.977,-2.117,-24.097,-0.822
60820210,0.297,-0.102,0.936,0.875,-23.1,-3.447
60820220,0.32,-0.112,0.927,1.19,-19.197,-2.327
60820230,0.377,-0.137,0.922,1.417,-11.322,0.805
60820240,0.356,-0.122,0.88,3.167,-2.747,1.89
60820250,0.347,-0.013,0.895,2.327,6.965,1.82
60820260,0.412,-0.063,0.887,-2.537,16.572,4.34
60820270,0.315,-0.135,0.942,-5.127,26.67,4.795
60820280,0.236,-0.143,0.962,-4.707,31.5,3.307
60820290,0.252,-0.212,0.968,-4.707,32.55,4.287
60820300,0.182,-0.201,0.987,-1.067,32.742,3.675
60820310,0.139,-0.139,0.991,2.362,29.277,3.115
60820320,0.053,-0.128,0.997,2.555,23.905,2.625
60820330,0.044,-0.125,0.999,2.835,13.475,0.595
60820340,0.132,-0.124,0.98,1.995,5.547,-0.542
60820350,0.177,-0.105,0.975,1.575,0.7,-1.452
60820360,0.197,-0.1,0.974,0.647,0.245,-1.47
60820370,0.193,-0.096,0.975,-0.647,-1.067,-1.085
60820380,0.208,-0.099,0.974,-2.625,-0.542,-0.035
60820390,0.217,-0.092,0.971,-3.937,-1.33,0.315
60820400,0.218,-0.098,0.973,-6.562,0.857,1.785
60820410,0.196,-0.1,0.976,-8.347,0.525,2.065
60820420,0.158,-0.123,0.983,-9.817,0.385,2.152
60820420,0.147,-0.161,0.983,-8.82,-4.9,1.225
60820440,0.172,-0.165,0.982,-6.02,-8.312,0.437
60820440,0.21,-0.156,0.973,-3.132,-12.6,-1.312
60820460,0.238,-0.162,0.971,-1.785,-11.935,-1.4
60820460,0.242,-0.153,0.965,0.245,-12.11,-1.435
60820480,0.225,-0.13,0.966,1.015,-9.397,-0.875
60820480,0.226,-0.103,0.961,0.612,-8.977,-0.875
60820500,0.224,-0.121,0.964,-1.907,-6.317,-0.577
60820500,0.225,-0.142,0.963,-2.677,-6.142,-0.332
60820510,0.212,-0.125,0.966,-2.275,-4.147,0
60820520,0.209,-0.131,0.967,-2.45,-4.83,0.035
60820530,0.21,-0.128,0.966,-2.8,-4.06,-0.07
60820540,0.21,-0.133,0.965,-2.922,-5.302,-0.945
60820550,0.224,-0.126,0.964,-2.992,-4.62,-1.627
60820560,0.226,-0.111,0.967,-3.395,-4.83,-2.467
60820570,0.232,-0.102,0.965,-4.882,-3.395,-2.502
60820580,0.211,-0.103,0.966,-6.352,-3.552,-2.59
60820590,0.225,-0.105,0.963,-7.35,-3.097,-2.275
60820600,0.217,-0.108,0.964,-8.382,-3.22,-2.082
60820610,0.231,-0.101,0.966,-9.38,-2.292,-1.05
60820620,0.195,-0.12,0.979,-11.235,-1.837,0.612
60820630,0.228,-0.079,0.978,-12.687,-1.925,3.132
60820640,0.258,-0.096,0.981,-16.73,-0.455,6.387
60820650,0.298,-0.093,0.996,-21.35,2.677,8.977
60820660,0.351,-0.057,1.037,-30.485,9.817,12.617
60820670,0.379,-0.045,1.12,-47.355,21.192,18.445
60820680,0.347,0.001,1.302,-76.475,38.255,25.217
60820690,0.224,0.048,1.435,-120.89,51.817,30.8
60820700,0.158,0.192,1.55,-164.22,46.532,24.132
60820710,0.32,0.191,1.378,-225.417,37.292,30.065
60820720,0.325,-0.142,1.502,-290.85,48.195,20.195
60820730,0.779,-0.219,1.345,-314.72,91.892,15.295
60820740,0.728,-0.614,1.703,-341.285,198.17,21.822
60820750,0.536,-1.32,1.448,-323.645,280.857,17.43
60820760,0.125,-1.506,1.165,-262.465,358.225,0.105
60820770,-0.214,-1.618,0.954,-195.212,360.062,-51.607
60820780,-0.832,-1.895,-0.069,-115.15,317.292,-73.272
60820790,-1.772,-1.187,-0.08,-27.16,230.247,-67.13
60820800,-0.99,-0.714,0.287,-32.462,117.197,-16.31
60820810,-0.199,-0.76,0.16,-25.112,12.74,61.267
60820820,0.433,-0.596,-0.112,-0.927,-39.637,92.522
60820830,0.426,-0.544,-0.144,-4.427,-46.777,100.94
60820830,0.364,-0.438,-0.161,-19.652,-60.025,83.422
60820840,0.426,-0.238,-0.243,-23.292,-88.322,57.295
60820850,0.536,-0.057,-0.295,-32.27,-106.785,34.107
60820860,0.521,0.07,-0.272,-51.52,-116.585,15.295
60820870,0.397,0.044,-0.144,-68.897,-115.395,9.712
60820880,0.487,-0.004,-0.067,-75.582,-111.195,3.885
60820890,0.422,0.023,-0.009,-67.987,-101.64,4.287
60820900,0.409,0,-0.09,-61.355,-93.817,3.01
60820910,0.303,-0.021,-0.054,-64.085,-82.6,11.777
60820920,0.2,-0.133,-0.081,-72.38,-93.87,15.557
60820930,0.151,-0.304,-0.097,-86.275,-116.602,14.717
60820940,0.014,-0.784,0.888,-105.227,-162.522,-17.622
60820950,-1.951,-1.471,1.998,52.517,-209.195,35.052
60820960,-0.293,-1.562,1.998,208.88,-194.25,71.505
60820970,1.335,-1.853,1.315,325.272,-80.132,126.822
60820980,-1.54,-0.997,-0.348,352.502,-118.16,87.255
60820990,-0.297,0.969,1.625,310.607,-5.337,-21.017
60821000,-0.523,0.304,0.817,301.245,-50.47,-45.71
60821010,-0.916,-0.581,1.036,257.722,-80.412,-99.4
60821020,-0.613,0.084,0.995,268.8,-97.632,-168.56
60821030,0.438,0.349,1.267,255.5,-110.46,-206.972
60821040,1.027,-0.051,1.436,185.5,-119.7,-172.112
60821050,1.42,0.242,1.17,133.122,-108.885,-101.412
60821060,1.235,0.243,1.21,79.012,-54.582,-3.762
60821070,0.626,0.257,1.237,23.957,-0.927,68.477
60821080,0.218,0.139,1.058,-26.407,22.96,102.305
60821090,-0.031,-0.267,0.799,-40.827,22.75,87.115
60821100,-0.302,-0.824,0.698,-18.235,13.58,39.112
60821110,-0.216,-0.562,0.799,26.127,-5.127,-14.63
60821120,0.081,-0.334,0.92,51.747,-22.505,-46.83
60821130,0.372,-0.123,1.026,55.825,-30.38,-53.795
60821140,0.541,0.053,1.024,44.38,-20.492,-43.277
60821150,0.419,-0.146,0.964,25.987,-4.147,-21.647
60821160,0.213,-0.133,0.998,19.197,9.292,-6.44
60821170,0.132,-0.065,1.048,14.752,8.872,-5.302
60821170,0.19,-0.03,1.053,3.395,6.562,-10.15
60821190,0.238,-0.113,1.006,-9.607,5.635,-10.92
60821190,0.271,-0.25,0.965,-15.557,8.4,-4.567
60821210,0.235,-0.192,0.995,-14.35,9.03,4.83
60821210,0.214,-0.097,1.039,-18.392,12.652,12.845
60821230,0.199,-0.074,1.103,-31.08,14.805,16.362
60821230,0.263,-0.04,1.162,-53.042,19.88,18.182
60821250,0.299,0.004,1.259,-87.395,25.147,22.645
60821250,0.316,0.05,1.375,-132.842,32.427,29.067
60821260,0.274,0.069,1.454,-185.85,36.05,30.695
60821270,0.303,0.121,1.396,-242.987,40.617,25.007
60821280,0.739,-0.369,1.282,-298.725,68.6,19.32
60821290,1.198,0.249,1.276,-331.38,151.27,-8.68
60821300,0.971,-0.659,1.852,-370.335,255.43,33.285
60821310,0.661,-1.871,1.429,-388.43,387.852,71.487
60821320,0.639,-1.998,1.142,-318.43,381.657,30.712
60821330,1.51,-1.998,-0.489,-240.205,318.045,-60.2
60821340,0.281,-1.796,0.711,-162.155,283.92,-139.107
60821350,-0.854,-1.477,0.861,-133.682,176.592,-215.285
60821360,-1.476,-0.498,0.737,-44.66,63,-235.795
60821370,-1.597,0.493,0.623,-0.98,-23.467,-215.337
60821380,-1.321,0.769,0.486,-12.547,-46.62,-133.787
60821390,-1.067,0.782,0.215,-19.722,-33.915,-42.927
60821400,-1.049,0.662,0.143,-23.835,-27.912,21.525
60821410,-0.72,0.338,0.12,-30.537,-33.39,77.49
60821420,-0.358,0.03,-0.018,-15.977,-46.707,112.052
60821430,-0.08,-0.07,-0.191,9.835,-55.195,123.935
60821440,0.085,-0.186,-0.324,19.81,-49.997,126.612
60821450,0.185,-0.288,-0.353,24.185,-38.045,126.035
60821460,0.124,-0.246,-0.278,21.14,-30.502,117.53
60821470,0.058,-0.332,-0.247,2.59,-31.78,111.545
60821480,0.173,-0.402,-0.189,-7.14,-26.145,111.632
60821490,0.175,-0.412,-0.166,-7.717,-16.257,105.105
60821500,0.132,-0.336,-0.179,-10.43,-2.03,98.42
60821510,0.112,-0.28,-0.188,-20.79,8.47,97.16
60821520,0.148,-0.355,-0.165,-35.822,15.137,100.24
60821530,0.479,-0.628,-0.523,-61.32,3.902,67.55
60821530,-0.842,-1.276,0.439,27.982,-47.267,43.277
60821550,-1.251,-1.998,1.128,80.675,-273.805,74.567
60821550,-0.645,-1.998,1.998,115.937,-291.9,82.215
60821570,1.444,-1.883,0.066,389.812,-158.34,59.395
60821570,0.107,1.214,0.449,435.925,-134.715,27.055
60821580,-1.575,1.045,1.17,302.837,-82.845,-42.367
60821590,-0.88,-1.065,0.699,297.692,-83.877,-33.267
60821600,-1.035,0.327,0.941,338.712,-182.997,-110.617
60821610,-1.456,0.961,0.909,337.19,-256.41,-218.12
60821620,0.008,-0.521,1.554,259.595,-300.16,-281.977
60821630,1.541,-0.065,1.522,213.237,-275.065,-267.032
60821640,1.998,1.194,1.181,136.762,-196.437,-196.525
60821650,1.724,0.328,1.054,34.352,-81.445,-74.235
60821660,0.944,0.099,0.878,-6.895,7.315,25.847
60821670,0.113,-0.522,0.806,-15.557,50.26,71.155
60821680,-0.41,-0.607,0.821,11.655,41.545,54.04
60821690,-0.341,-0.313,0.986,39.55,12.635,8.172
60821700,-0.032,-0.014,1.109,42.227,-15.697,-32.392
60821710,0.331,-0.042,1.047,23.432,-29.75,-50.365
60821720,0.595,-0.153,0.907,9.065,-25.06,-47.477
60821730,0.468,-0.224,0.9,6.597,-6.72,-28.28
60821740,0.21,-0.142,0.995,9.257,7.105,-12.827
60821750,0.102,0.011,1.081,4.042,7.192,-12.39
60821760,0.325,0.042,1.061,-9.555,4.55,-23.502
60821770,0.332,-0.065,1.013,-25.41,11.882,-29.592
60821780,0.255,-0.219,0.959,-36.61,21.98,-26.285
60821790,0.21,-0.24,0.972,-38.01,23.345,-18.777
60821800,0.186,-0.163,1.023,-42,22.662,-8.155
60821810,0.155,-0.135,1.065,-51.817,19.512,0.752
60821820,0.106,-0.098,1.19,-68.32,19.302,8.785
60821830,0.108,0.041,1.329,-96.792,12.495,13.737
60821840,0.031,0.075,1.423,-142.047,9.135,16.905
60821850,0.048,-0.156,1.405,-194.617,9.887,14.455
60821860,0.388,0.152,1.334,-231.42,26.985,-17.22
60821870,0.319,0.348,1.096,-275.782,82.862,-9.835
60821880,0.731,-0.407,1.419,-373.432,165.095,-17.255
60821890,0.776,-1.604,1.911,-391.002,279.562,-12.617
60821900,1.014,-1.998,1.558,-356.107,414.82,9.082
