time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
50886120,-0.594,0.31,0.769,-3.15,-6.037,-4.042
50886130,-0.594,0.294,0.76,-6.16,-8.365,-4.357
50886140,-0.587,0.284,0.766,-6.667,-9.957,-5.11
50886150,-0.567,0.269,0.742,-3.867,-9.747,-3.08
50886160,-0.569,0.28,0.782,-2.922,-10.552,1.382
50886170,-0.576,0.305,0.81,-5.862,-9.835,2.187
50886180,-0.568,0.301,0.775,-9.922,-8.592,-1.032
50886190,-0.549,0.243,0.741,-7.455,-8.05,-1.872
50886200,-0.529,0.269,0.774,-4.392,-7.542,-0.035
50886210,-0.563,0.275,0.756,-5.897,-6.107,3.045
50886220,-0.543,0.279,0.757,-2.187,-4.742,-0.367
50886230,-0.547,0.285,0.785,-0.997,-3.377,-1.382
50886240,-0.584,0.287,0.804,-3.29,-3.745,0.805
50886250,-0.583,0.294,0.786,-4.812,-4.55,-1.347
50886260,-0.555,0.272,0.768,-3.43,-5.95,-4.917
50886270,-0.542,0.273,0.776,-2.38,-6.79,-5.127
50886280,-0.551,0.278,0.775,-3.027,-7.332,-3.29
50886290,-0.559,0.289,0.808,-2.205,-7.42,-3.465
50886300,-0.569,0.275,0.789,-3.99,-8.085,-3.692
50886310,-0.563,0.263,0.791,-3.867,-9.38,-2.345
50886320,-0.553,0.277,0.795,-4.462,-9.677,-1.207
50886330,-0.535,0.278,0.771,-4.69,-8.242,-2.117
50886340,-0.527,0.272,0.778,-3.885,-5.88,-3.71
50886350,-0.532,0.262,0.765,-4.69,-3.447,-3.272
50886360,-0.551,0.261,0.776,-3.657,-1.872,-2.66
50886370,-0.567,0.269,0.798,-2.59,-1.365,-2.835
50886380,-0.575,0.271,0.792,-4.165,-2.047,-2.642
50886390,-0.555,0.259,0.769,-4.725,-3.99,-2.38
50886400,-0.548,0.257,0.78,-3.342,-4.987,0.472
50886410,-0.545,0.272,0.774,-4.322,-4.445,2.345
50886420,-0.542,0.273,0.772,-3.517,-2.362,1.872
50886420,-0.548,0.273,0.782,-3.325,-0.927,1.575
50886430,-0.562,0.277,0.784,-4.742,0.175,1.435
50886440,-0.574,0.279,0.777,-5.792,-0.297,0.245
50886450,-0.576,0.264,0.762,-5.74,-1.592,-0.892
50886460,-0.584,0.262,0.771,-5.495,-3.99,-1.12
50886470,-0.584,0.262,0.772,-5.057,-5.6,-1.382
50886480,-0.579,0.269,0.791,-4.217,-7.245,-2.467
50886490,-0.576,0.275,0.799,-4.585,-7.945,-3.447
50886500,-0.564,0.271,0.789,-5.617,-8.837,-3.482
50886510,-0.541,0.269,0.788,-6.02,-8.417,-2.695
50886520,-0.536,0.272,0.786,-6.597,-6.965,-2.187
50886530,-0.539,0.265,0.787,-7.175,-4.987,-2.222
50886540,-0.546,0.249,0.784,-7.402,-4.322,-1.522
50886550,-0.555,0.251,0.798,-7.035,-3.605,-0.437
50886560,-0.558,0.259,0.795,-6.615,-3.36,-0.77
50886570,-0.548,0.259,0.794,-6.37,-3.43,-1.627
50886580,-0.546,0.253,0.785,-6.982,-4.165,-1.417
50886590,-0.546,0.257,0.787,-7.717,-4.147,-1.452
50886600,-0.548,0.258,0.792,-8.015,-4.112,-2.205
50886610,-0.554,0.252,0.788,-8.505,-4.235,-2.467
50886620,-0.556,0.251,0.79,-9.555,-4.795,-2.327
50886630,-0.555,0.253,0.794,-10.517,-5.127,-2.45
50886640,-0.56,0.249,0.79,-10.99,-5.495,-2.817
50886650,-0.56,0.243,0.792,-11.462,-5.845,-2.835
50886660,-0.557,0.239,0.791,-12.162,-6.317,-2.625
50886670,-0.558,0.236,0.793,-12.057,-6.422,-2.52
50886680,-0.557,0.233,0.795,-11.095,-5.792,-2.572
50886690,-0.556,0.233,0.792,-9.975,-5.127,-2.152
50886700,-0.552,0.237,0.798,-9.065,-4.41,-1.89
50886710,-0.549,0.239,0.799,-8.592,-3.395,-2.03
50886720,-0.549,0.236,0.796,-8.522,-2.257,-2.187
