time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
51588890,-0.623,0.565,0.673,35.262,78.26,-95.76
51588890,-0.623,0.604,0.681,33.705,73.587,-99.277
51588910,-0.641,0.6,0.673,29.085,71.452,-105
51588910,-0.646,0.618,0.661,24.167,71.312,-113.05
51588920,-0.654,0.578,0.65,19.32,71.522,-117.897
51588930,-0.611,0.585,0.602,11.165,70.507,-122.552
51588940,-0.651,0.484,0.579,11.532,66.115,-118.702
51588950,-0.678,0.486,0.584,13.09,58.485,-113.347
51588960,-0.676,0.458,0.557,13.667,47.687,-106.785
51588970,-0.672,0.462,0.553,16.345,37.135,-99.837
51588980,-0.707,0.475,0.561,14.665,29.487,-93.782
51588990,-0.727,0.484,0.583,11.55,24.955,-91.56
51589000,-0.74,0.477,0.593,6.737,22.26,-94.045
51589010,-0.726,0.485,0.615,0.7,23.205,-99.365
51589020,-0.727,0.47,0.609,-7.962,25.392,-105.472
51589030,-0.755,0.417,0.586,-15.4,26.145,-107.992
51589040,-0.756,0.398,0.589,-17.535,22.855,-108.885
51589050,-0.771,0.377,0.562,-19.6,14.297,-106.89
51589060,-0.799,0.358,0.544,-20.125,0.35,-102.585
51589070,-0.787,0.384,0.556,-17.237,-15.75,-95.55
51589080,-0.904,0.303,0.578,-14.28,-35.682,-70.857
51589090,-0.806,0.379,0.568,-16.467,-54.95,-63.035
51589100,-0.778,0.421,0.608,-14.49,-65.747,-68.617
51589110,-0.77,0.427,0.613,-21.647,-68.792,-74.462
51589120,-0.716,0.421,0.619,-26.092,-68.6,-81.9
51589130,-0.697,0.374,0.616,-29.785,-66.325,-78.855
51589140,-0.652,0.357,0.601,-33.845,-62.405,-78.68
51589150,-0.655,0.33,0.588,-36.417,-55.842,-75.46
51589160,-0.684,0.277,0.555,-36.47,-48.737,-69.562
51589170,-0.686,0.254,0.57,-33.11,-41.16,-63.577
51589180,-0.712,0.234,0.579,-32.655,-35.087,-59.167
51589190,-0.741,0.215,0.565,-32.217,-30.117,-57.365
51589200,-0.787,0.182,0.566,-26.6,-28.56,-56.577
51589210,-0.817,0.167,0.582,-20.632,-29.102,-55.265
51589220,-0.827,0.169,0.607,-18.06,-31.325,-55.02
51589230,-0.8,0.2,0.607,-19.477,-32.602,-57.837
51589240,-0.807,0.191,0.628,-18.62,-33.372,-56.63
51589250,-0.81,0.202,0.638,-22.05,-34.09,-55.492
51589260,-0.801,0.213,0.634,-28.63,-35.875,-56.017
51589260,-0.786,0.202,0.632,-33.302,-37.922,-56.542
51589280,-0.761,0.188,0.624,-36.855,-40.11,-56.752
51589280,-0.734,0.181,0.618,-40.25,-41.02,-55.282
51589300,-0.683,0.181,0.644,-42.017,-40.442,-53.462
51589300,-0.708,0.143,0.62,-44.31,-39.76,-43.68
51589320,-0.715,0.089,0.643,-36.697,-39.83,-32.69
51589320,-0.709,0.068,0.668,-28.875,-41.387,-25.585
51589330,-0.731,0.094,0.7,-27.545,-44.257,-24.307
51589340,-0.702,0.087,0.712,-27.265,-44.537,-26.215
51589350,-0.665,0.094,0.723,-23.817,-42.21,-28.98
51589360,-0.653,0.113,0.717,-23.292,-38.867,-31.027
51589370,-0.658,0.114,0.719,-23.047,-34.807,-31.99
51589380,-0.657,0.117,0.708,-25.06,-31.745,-32.252
51589390,-0.646,0.114,0.706,-26.757,-29.627,-30.817
51589400,-0.633,0.117,0.711,-30.905,-26.617,-29.365
51589410,-0.62,0.115,0.702,-38.92,-22.382,-30.87
51589420,-0.618,0.078,0.68,-43.382,-18.305,-32.392
51589430,-0.611,0.057,0.665,-46.305,-13.405,-32.847
51589440,-0.624,0.036,0.655,-47.495,-9.677,-31.867
51589450,-0.624,0.011,0.653,-44.94,-7.105,-29.942
51589460,-0.634,-0.016,0.644,-43.767,-5.057,-28.822
51589470,-0.663,-0.049,0.645,-41.23,-3.097,-31.535
51589480,-0.672,-0.07,0.652,-36.68,-2.975,-36.96
51589490,-0.662,-0.084,0.663,-31.325,-4.322,-41.142
51589500,-0.643,-0.085,0.659,-25.322,-6.405,-45.377
51589510,-0.624,-0.059,0.682,-20.422,-6.93,-50.137
51589520,-0.61,-0.055,0.682,-20.982,-6.632,-52.99
51589530,-0.601,-0.098,0.674,-18.462,-5.53,-55.387
51589540,-0.561,-0.121,0.704,-12.25,-2.66,-57.662
51589550,-0.562,-0.132,0.709,-12.04,1.54,-55.195
51589560,-0.622,-0.177,0.729,-9.082,3.22,-49.7
51589570,-0.678,-0.215,0.779,-1.925,1.12,-42.577
51589580,-0.685,-0.22,0.833,-0.017,-3.99,-37.485
51589580,-0.672,-0.224,0.811,-4.287,-6.107,-34.615
51589600,-0.666,-0.233,0.812,-2.362,-4.165,-32.392
51589600,-0.68,-0.233,0.802,-2.135,0.105,-30.432
51589620,-0.67,-0.23,0.788,-2.73,4.882,-32.287
51589620,-0.636,-0.212,0.78,-6.037,12.775,-34.282
51589640,-0.61,-0.213,0.751,-10.867,21.332,-35.472
51589640,-0.614,-0.222,0.747,-13.93,29.365,-35.787
51589660,-0.638,-0.221,0.75,-14.455,34.527,-34.352
51589660,-0.758,-0.321,0.743,-12.757,31.937,-25.812
51589670,-0.741,-0.279,0.775,-8.96,22.977,-27.895
51589680,-0.767,-0.266,0.784,-9.607,11.97,-30.45
51589690,-0.786,-0.347,0.745,-9.45,-1.732,-24.465
51589700,-0.595,-0.396,0.723,2.572,-0.91,-18.252
51589710,-0.658,-0.375,0.778,22.33,12.565,-12.145
51589720,-0.752,-0.32,0.836,31.185,15.82,-10.675
51589730,-0.757,-0.267,0.847,33.495,10.692,-8.61
51589740,-0.724,-0.157,0.923,39.847,9.905,-4.62
51589750,-0.815,-0.087,0.93,29.802,6.772,-4.795
51589760,-0.887,-0.108,0.854,11.27,-13.632,-18.2
51589770,-0.481,-0.147,0.788,-5.705,-22.907,-22.96
51589780,-0.475,-0.183,0.785,-7.577,4.882,-16.012
51589790,-0.585,-0.132,0.842,-10.57,37.8,-22.697
51589800,-0.72,-0.137,0.87,-21.822,56.332,-31.097
51589810,-0.778,-0.163,0.838,-34.842,57.75,-40.46
51589820,-0.811,-0.203,0.782,-39.795,44.87,-43.085
51589830,-0.774,-0.208,0.755,-33.477,26.127,-39.112
51589840,-0.705,-0.208,0.707,-23.695,11.55,-33.39
51589850,-0.746,-0.222,0.699,-16.992,3.167,-28.857
51589860,-0.779,-0.245,0.688,-11.655,-7.7,-26.897
51589870,-0.744,-0.248,0.681,-7.315,-17.395,-24.027
51589880,-0.738,-0.254,0.683,-8.837,-26.652,-20.825
