time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
50776190,-0.927,0.357,0.329,22.085,13.09,-0.787
50776210,-0.916,0.372,0.33,14.717,8.172,-7.49
50776210,-0.944,0.333,0.305,8.872,4.112,-5.092
50776230,-0.909,0.356,0.328,8.767,0.542,-4.357
50776230,-0.888,0.377,0.341,3.675,-0.962,-5.11
50776250,-0.898,0.35,0.332,-1.155,-1.767,-2.817
50776250,-0.903,0.338,0.338,-2.94,-1.417,-0.735
50776260,-0.897,0.343,0.343,-3.482,-1.05,0.21
50776270,-0.888,0.334,0.354,-3.622,0.087,1.382
50776280,-0.876,0.318,0.336,-4.147,0.402,3.237
50776290,-0.858,0.328,0.367,-1.89,0.647,4.707
50776300,-0.923,0.338,0.386,-1.137,-0.385,4.847
50776310,-0.88,0.331,0.379,-0.787,-1.785,3.027
50776320,-0.846,0.317,0.361,0.507,-3.535,4.76
50776330,-0.836,0.325,0.355,1.067,-1.767,6.16
50776340,-0.857,0.343,0.374,2.765,0.332,5.495
50776350,-0.867,0.342,0.365,0.507,2.94,2.765
50776360,-0.863,0.33,0.353,-0.962,4.917,0.735
50776370,-0.867,0.329,0.339,-1.925,8.05,0.07
50776380,-0.877,0.345,0.352,-1.89,9.747,-0.087
50776390,-0.914,0.323,0.331,-3.622,9.38,2.31
50776400,-0.903,0.344,0.34,-2.17,7.35,1.925
50776410,-0.908,0.341,0.333,-4.357,5.215,1.382
50776420,-0.903,0.335,0.329,-4.795,2.852,0.822
50776430,-0.904,0.334,0.332,-4.392,0.857,1.085
50776440,-0.9,0.344,0.336,-4.41,-1.05,0.542
50776450,-0.9,0.34,0.335,-4.637,-2.24,0.07
50776460,-0.887,0.336,0.336,-4.637,-2.765,-0.56
50776470,-0.882,0.341,0.344,-4.445,-2.52,-0.262
50776480,-0.879,0.342,0.347,-4.497,-1.82,0.052
50776490,-0.886,0.334,0.346,-4.9,-0.7,0.052
50776500,-0.893,0.323,0.344,-4.672,0.21,0.017
50776510,-0.892,0.321,0.342,-3.465,0.542,0.577
50776510,-0.886,0.325,0.345,-2.152,0.577,1.26
50776530,-0.884,0.333,0.348,-1.557,0.157,1.697
50776530,-0.882,0.337,0.35,-1.68,0.017,1.82
50776550,-0.879,0.336,0.349,-2.152,-0.14,1.68
50776550,-0.879,0.335,0.343,-2.817,0.297,1.417
50776570,-0.881,0.334,0.341,-3.342,0.77,0.875
50776570,-0.883,0.332,0.34,-4.095,1.067,0.472
50776580,-0.888,0.332,0.339,-4.602,0.7,0.087
50776590,-0.893,0.335,0.34,-5.057,0.49,-0.315
50776600,-0.886,0.335,0.336,-5.652,-0.315,-0.945
50776610,-0.883,0.331,0.331,-6.037,-0.49,-1.347
50776620,-0.885,0.333,0.331,-5.827,-0.63,-2.117
50776630,-0.898,0.329,0.334,-5.792,-0.227,-2.065
50776640,-0.912,0.323,0.334,-5.985,-0.787,-1.365
