time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
51710630,-0.755,-0.082,0.733,2.537,-10.587,9.345
51710640,-0.738,-0.094,0.713,0.297,-10.692,8.872
51710650,-0.742,-0.233,0.642,6.667,-6.055,8.295
51710660,-0.647,0,0.755,25.042,3.43,-1.015
51710670,-0.711,-0.04,0.679,7.717,13.965,0.857
51710680,-0.825,-0.119,0.675,4.445,21.437,3.237
51710690,-0.825,-0.132,0.66,3.395,18.077,2.467
51710700,-0.76,-0.084,0.661,3.552,14.892,-0.56
51710710,-0.792,-0.125,0.675,2.87,16.695,-3.29
51710720,-0.844,-0.144,0.706,0.525,17.342,-1.645
51710730,-0.875,-0.145,0.723,-5.687,12.6,1.977
51710740,-0.868,-0.127,0.774,-9.747,8.662,-2.152
51710750,-0.803,-0.064,0.785,-19.46,9.345,-12.635
51710760,-0.876,-0.238,0.786,-24.325,13.807,-14.735
51710770,-0.865,-0.256,0.795,-23.992,18.235,-12.267
51710780,-0.859,-0.241,0.805,-20.737,25.252,-8.347
51710790,-0.862,-0.252,0.808,-17.762,32.742,-5.932
51710800,-0.879,-0.264,0.795,-16.082,38.115,-1.995
51710810,-0.869,-0.285,0.745,-12.005,41.055,1.575
51710820,-0.816,-0.289,0.681,0.857,46.725,3.307
51710830,-0.768,-0.245,0.658,20.685,55.545,6.65
51710830,-0.745,-0.158,0.64,32.532,66.447,13.842
51710850,-0.762,-0.078,0.608,31.832,76.212,27.615
51710850,-0.828,-0.1,0.542,33.442,79.537,46.707
51710870,-0.849,-0.103,0.503,45.692,74.847,57.085
51710870,-0.876,-0.067,0.483,55.247,64.802,58.642
51710890,-0.871,-0.002,0.46,58.782,51.397,49.315
51710890,-0.868,0.029,0.439,59.482,37.59,37.66
51710910,-0.887,0.031,0.419,58.397,21.525,29.067
51710910,-0.896,0.033,0.391,57.4,3.955,21.21
51710920,-0.914,0.039,0.383,58.887,-15.575,12.092
51710930,-0.915,0.054,0.386,59.5,-35.262,1.942
51710940,-0.874,0.075,0.381,58.432,-52.745,-6.51
51710950,-0.824,0.088,0.38,56.665,-66.552,-12.057
51710960,-0.78,0.107,0.394,53.847,-75.285,-16.24
51710970,-0.749,0.12,0.419,49.402,-79.572,-19.582
51710980,-0.755,0.111,0.432,42.402,-82.145,-22.172
51710990,-0.749,0.096,0.446,36.645,-83.58,-26.565
51711000,-0.731,0.092,0.475,32.987,-82.88,-30.345
51711010,-0.725,0.103,0.509,26.897,-81.235,-32.305
51711020,-0.76,0.083,0.536,20.772,-80.78,-34.825
51711030,-0.8,0.055,0.58,15.347,-83.72,-38.342
51711040,-0.805,0.034,0.566,9.117,-90.09,-41.527
51711050,-0.744,-0.002,0.597,13.51,-94.552,-42.227
51711060,-0.688,0.009,0.629,15.82,-93.975,-36.872
51711070,-0.688,0.004,0.641,12.582,-90.562,-32.987
51711080,-0.679,-0.016,0.665,11.13,-83.895,-34.527
51711090,-0.662,-0.042,0.677,9.73,-76.142,-35.542
51711100,-0.664,-0.071,0.684,9.817,-66.815,-34.387
51711110,-0.658,-0.072,0.692,10.832,-56.595,-33.652
51711120,-0.662,-0.055,0.701,9.047,-45.955,-33.267
51711130,-0.669,-0.056,0.701,6.842,-35.98,-32.462
51711140,-0.639,-0.058,0.708,5.565,-24.832,-31.167
51711150,-0.615,-0.044,0.716,1.4,-12.6,-28.175
51711160,-0.645,-0.046,0.72,-5.565,1.487,-25.602
51711170,-0.687,-0.042,0.727,-13.23,14.262,-25.515
51711170,-0.733,-0.052,0.71,-24.657,22.715,-25.305
51711190,-0.775,-0.075,0.689,-34.002,24.832,-25.305
51711190,-0.821,-0.107,0.682,-39.76,22.067,-23.642
51711210,-0.856,-0.152,0.65,-41.807,14,-19.705
51711210,-0.863,-0.18,0.636,-38.36,3.535,-14.437
51711230,-0.867,-0.186,0.616,-33.88,-8.19,-9.345
51711230,-0.847,-0.207,0.628,-21.367,-17.657,-9.117
51711250,-0.808,-0.146,0.657,-10.745,-24.85,-9.975
51711250,-0.808,-0.135,0.673,-3.657,-31.307,-10.675
51711260,-0.764,-0.094,0.685,5.53,-36.015,-14.157
51711270,-0.734,-0.087,0.691,11.147,-40.337,-15.172
51711280,-0.689,-0.081,0.706,17.85,-42.56,-16.345
51711290,-0.663,-0.071,0.705,24.237,-42.262,-14.805
51711300,-0.625,-0.024,0.724,29.68,-38.867,-14.315
51711310,-0.582,0.021,0.74,29.4,-31.797,-13.947
51711320,-0.579,0.013,0.742,26.932,-22.225,-9.38
51711330,-0.584,0,0.727,23.082,-11.112,-5.355
51711340,-0.604,0,0.737,21.927,0.245,-1.54
51711350,-0.624,0.007,0.739,19.565,10.517,0.227
51711360,-0.661,-0.008,0.712,19.337,18.847,4.165
51711370,-0.706,-0.037,0.729,23.45,23.94,10.202
51711380,-0.76,-0.02,0.724,22.452,25.847,15.61
51711390,-0.768,-0.016,0.706,20.825,25.06,12.04
51711400,-0.782,-0.041,0.707,23.677,23.782,8.61
51711410,-0.802,-0.049,0.702,24.815,20.405,8.82
51711420,-0.806,-0.05,0.688,25.165,15.365,9.887
51711430,-0.803,-0.049,0.671,26.057,9.765,10.43
51711440,-0.785,-0.051,0.657,27.002,5.267,10.08
51711450,-0.751,-0.044,0.656,29.12,2.607,10.29
51711460,-0.725,-0.022,0.652,29.102,2.695,11.865
51711470,-0.71,0.004,0.653,27.037,4.322,12.967
51711480,-0.706,0.021,0.653,22.82,7.315,14.14
51711490,-0.709,0.026,0.66,17.797,9.975,14.315
51711500,-0.712,0.021,0.663,13.282,12.582,13.755
51711510,-0.719,0.018,0.671,9.135,13.825,13.475
51711520,-0.734,0.013,0.685,4.287,13.825,14.665
51711530,-0.748,0.002,0.691,-0.122,11.655,15.75
51711540,-0.753,-0.013,0.691,-2.555,8.435,15.872
51711550,-0.755,-0.019,0.694,-2.8,4.48,15.242
51711560,-0.755,-0.014,0.704,-1.68,1.382,14.437
51711570,-0.745,-0.006,0.708,-0.245,-1.715,13.737
51711580,-0.726,0.002,0.712,0.91,-3.22,12.95
51711580,-0.716,0.009,0.709,1.435,-3.622,12.162
51711600,-0.707,0.014,0.703,2.152,-2.73,11.462
51711600,-0.697,0.017,0.699,3.22,-1.505,11.042
51711620,-0.687,0.021,0.697,4.952,0.91,11.462
51711620,-0.684,0.031,0.698,6.912,4.235,12.442
51711640,-0.692,0.04,0.701,7.367,8.12,13.3
51711640,-0.703,0.042,0.694,6.982,11.742,13.335
