#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
51377640,-0.933,0.478,0.318,6.002,-24.675,35.175,
51377650,-0.93,0.425,0.308,2.152,-29.925,44.45,
51377660,-0.943,0.378,0.374,6.702,-36.417,51.922,
51377670,-0.992,0.415,0.399,13.492,-49.262,57.172,
51377680,-0.796,0.48,0.39,19.88,-64.925,59.902,
51377690,-0.759,0.447,0.401,21.472,-70.525,60.707,
51377700,-0.92,0.453,0.374,16.817,-73.465,56.175,
51377710,-0.867,0.486,0.362,19.145,-80.535,52.395,
51377720,-0.682,0.513,0.371,25.147,-80.08,49,
51377730,-0.658,0.539,0.38,21.28,-70.472,38.15,
51377740,-0.701,0.568,0.349,10.15,-60.077,23.59,
51377750,-0.685,0.577,0.334,2.607,-54.285,16.66,
51377760,-0.778,0.545,0.319,-7.805,-54.145,16.31,
51377770,-0.944,0.548,0.328,-16.817,-61.407,18.585,
51377780,-0.98,0.568,0.331,-19.197,-76.44,20.912,
51377790,-0.786,0.546,0.314,-16.992,-88.602,24.132,
51377800,-0.595,0.517,0.31,-12.95,-83.772,26.81,
51377810,-0.569,0.502,0.338,-9.607,-65.345,25.602,
51377820,-0.65,0.513,0.394,-4.69,-46.147,23.8,
51377830,-0.722,0.556,0.454,0.577,-36.505,25.27,
51377830,-0.811,0.592,0.517,1.907,-36.855,29.207,
51377850,-0.87,0.612,0.539,-2.782,-44.975,29.995,
51377850,-0.858,0.578,0.544,-6.965,-61.145,28.857,
51377870,-0.883,0.557,0.535,-11.007,-84.052,30.66,
51377870,-0.833,0.536,0.546,-11.707,-110.127,33.67,
51377890,-0.823,0.513,0.533,-14.455,-136.99,36.33,
51377890,-0.727,0.551,0.527,-15.295,-152.215,38.22,
51377910,-0.632,0.565,0.509,-16.975,-153.317,33.53,
51377910,-0.59,0.528,0.481,-23.782,-146.947,27.842,
51377920,-0.497,0.563,0.524,-23.625,-131.162,24.745,
51377930,-0.504,0.614,0.628,-27.037,-106.732,14.822,
51377940,-0.658,0.569,0.673,-41.352,-91.735,0.717,
51377950,-0.855,0.525,0.723,-50.61,-104.527,-3.465,
51377960,-1.034,0.552,0.726,-56.035,-143.692,1.33,
51377970,-1.039,0.525,0.627,-63.63,-201.005,7.577,
51377980,-0.778,0.503,0.505,-64.767,-251.597,13.492,
51377990,-0.476,0.494,0.423,-62.737,-272.86,17.08,
51378000,-0.183,0.467,0.394,-58.992,-258.842,15.487,
51378010,-0.007,0.494,0.454,-50.872,-219.765,11.41,
51378020,0.015,0.502,0.549,-45.517,-172.882,7.77,
51378030,-0.008,0.455,0.661,-38.22,-129.115,6.895,
51378040,-0.124,0.492,0.83,-25.48,-90.895,8.435,
51378050,-0.385,0.567,0.927,-20.912,-71.732,8.207,
51378060,-0.479,0.57,0.879,-21.42,-73.937,7.56,
51378070,-0.349,0.552,0.836,-15.522,-81.742,8.662,
51378080,-0.239,0.528,0.809,-10.657,-83.737,9.607,
51378090,-0.178,0.506,0.767,-10.535,-79.87,8.592,
51378100,-0.144,0.467,0.75,-8.872,-69.02,6.86,
51378110,-0.119,0.454,0.733,-5.355,-55.335,5.32,
51378120,-0.174,0.482,0.742,-2.695,-39.025,6.002,
51378130,-0.245,0.475,0.749,-5.355,-26.092,4.322,
51378140,-0.244,0.434,0.755,-6.282,-19.88,1.995,
51378150,-0.374,0.408,0.82,-4.2,-23.782,4.602,
51378160,-0.237,0.483,0.731,-2.52,-41.055,10.027,
51378170,-0.092,0.47,0.759,3.395,-28.122,15.855,
51378180,-0.283,0.475,0.818,0.962,-15.592,7.63,
51378190,-0.319,0.463,0.822,-3.412,-18.602,9.677,
51378200,-0.215,0.488,0.881,4.077,-26.057,15.295,
51378210,-0.134,0.461,0.883,3.185,-27.825,17.097,
51378220,-0.053,0.474,0.89,0.875,-19.162,8.26,
51378230,-0.082,0.442,0.857,0.175,-8.067,3.465,
51378240,-0.088,0.443,0.815,2.012,2.537,3.115,
51378250,-0.217,0.479,0.834,5.162,11.007,3.71,
51378260,-0.334,0.55,0.836,4.69,13.002,3.727,
51378260,-0.468,0.526,0.929,1.907,4.095,2.782,
51378280,-0.372,0.568,0.76,-0.892,-24.955,5.04,
51378280,-0.212,0.588,0.752,4.322,-22.26,9.555,
51378300,-0.295,0.597,0.81,-3.29,-16.887,-2.782,
51378300,-0.205,0.525,0.792,-13.772,-16.572,-8.995,
51378320,-0.15,0.517,0.86,-10.5,-17.062,-10.045,
51378320,-0.1,0.494,0.879,-13.93,-15.855,-11.847,
51378330,-0.065,0.467,0.903,-17.185,-9.012,-23.485,
51378340,-0.028,0.377,0.881,-14.822,-2.152,-35.595,
51378350,-0.045,0.294,0.817,-8.102,-7.122,-30.607,
51378360,-0.086,0.374,0.816,9.467,-6.265,-7.052,
51378370,-0.115,0.593,0.964,22.575,13.615,3.552,
51378380,-0.252,0.621,0.954,12.617,39.97,-1.82,
51378390,-0.407,0.573,0.886,3.517,53.357,-13.545,
51378400,-0.45,0.538,0.804,-2.485,44.45,-14.717,
51378410,-0.382,0.519,0.716,-3.675,24.587,-17.36,
51378420,-0.311,0.489,0.685,-5.145,6.527,-24.885,
51378430,-0.31,0.446,0.665,-6.947,-13.597,-25.515,
51378440,-0.36,0.478,0.672,-1.837,-30.275,-18.147,
51378450,-0.388,0.58,0.636,2.765,-42.332,-15.295,
51378460,-0.532,0.59,0.754,-4.742,-53.97,-16.835,
51378470,-0.491,0.546,0.757,-13.055,-76.072,-20.895,
51378480,-0.442,0.574,0.799,-12.67,-99.435,-15.505,
51378490,-0.233,0.559,0.795,-16.362,-106.837,-10.465,
51378500,-0.12,0.488,0.79,-20.3,-90.982,-14.805,
51378510,-0.134,0.459,0.805,-21.647,-67.637,-18.725,
51378520,-0.19,0.499,0.842,-18.672,-50.067,-13.195,
51378530,-0.226,0.49,0.855,-20.982,-40.74,-6.842,
51378540,-0.212,0.45,0.849,-26.372,-37.642,-4.987,
51378550,-0.208,0.501,0.87,-23.24,-36.942,-0.647,
51378560,-0.263,0.467,0.848,-26.057,-38.062,3.325,
51378570,-0.239,0.381,0.828,-29.12,-44.222,4.13,
51378580,-0.205,0.353,0.864,-22.592,-54.705,6.737,
51378580,-0.121,0.363,0.913,-13.352,-62.23,10.955,
51378600,-0.038,0.37,0.967,-6.072,-61.932,14.035,
51378600,-0.003,0.416,1.005,2.537,-53.2,13.142,
51378620,-0.027,0.418,0.984,4.095,-44.397,13.23,
51378620,-0.028,0.39,0.946,1.225,-40.18,12.81,
51378640,-0.04,0.387,0.917,1.295,-40.215,7.7,
51378640,-0.026,0.385,0.88,-0.367,-48.002,-0.14,
51378660,0.065,0.388,0.842,-1.785,-53.007,-5.582,
51378660,0.103,0.388,0.849,-0.122,-47.582,-10.517,
51378670,0.121,0.403,0.853,-2.187,-34.317,-16.327,
51378680,0.09,0.392,0.87,-5.215,-15.47,-22.172,
51378690,-0.001,0.403,0.915,-2.187,1.872,-26.302,
51378700,0.007,0.402,0.911,0.07,13.72,-27.002,
51378710,0.092,0.389,0.89,2.572,27.93,-26.477,
51378720,0.161,0.378,0.904,8.19,54.81,-27.142,
51378730,0.147,0.408,0.947,15.032,91.577,-31.955,
51378740,-0.004,0.409,0.94,16.187,121.8,-38.43,
51378750,-0.107,0.404,0.897,15.417,134.347,-43.015,
51378760,-0.186,0.416,0.892,17.867,134.242,-42.262,
51378770,-0.252,0.418,0.883,19.11,125.667,-39.672,
51378780,-0.279,0.428,0.872,20.177,113.907,-39.567,
51378790,-0.258,0.466,0.875,19.687,101.01,-41.667,
51378800,-0.251,0.46,0.853,16.467,92.365,-41.212,
