#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
47109300,-0.761,0.299,0.58,0.787,-4.077,1.662,
47109300,-0.762,0.303,0.583,0.175,-4.34,2.327,
47109320,-0.755,0.302,0.581,-0.35,-5.162,2.712,
47109320,-0.757,0.306,0.585,-0.962,-5.232,3.307,
47109330,-0.762,0.306,0.587,-1.33,-6.002,3.64,
47109340,-0.756,0.309,0.588,-1.225,-6.37,4.095,
47109350,-0.747,0.317,0.591,-1.12,-6.737,4.41,
47109360,-0.744,0.317,0.591,-1.557,-6.09,4.305,
47109370,-0.739,0.315,0.591,-1.925,-6.002,3.867,
47109380,-0.742,0.312,0.585,-1.942,-5.355,3.535,
47109390,-0.747,0.309,0.584,-1.592,-5.355,3.202,
47109400,-0.756,0.313,0.586,-1.172,-4.865,3.15,
47109410,-0.753,0.315,0.585,-1.067,-5.005,2.817,
47109420,-0.757,0.311,0.588,-1.557,-4.83,2.537,
47109430,-0.752,0.309,0.586,-1.907,-5.74,2.327,
47109440,-0.747,0.307,0.587,-2.012,-6.142,2.222,
47109450,-0.74,0.309,0.586,-2.082,-6.632,2.03,
47109460,-0.735,0.308,0.59,-2.24,-5.67,2.012,
47109470,-0.739,0.306,0.594,-2.607,-5.057,2.135,
47109480,-0.743,0.306,0.597,-3.045,-4.515,2.222,
47109490,-0.739,0.306,0.597,-3.115,-4.9,1.907,
47109500,-0.734,0.313,0.598,-2.887,-4.742,1.505,
47109510,-0.733,0.317,0.598,-2.852,-4.217,0.857,
47109520,-0.734,0.312,0.599,-2.94,-2.975,0.245,
47109530,-0.731,0.31,0.598,-2.625,-1.907,-0.105,
47109540,-0.729,0.309,0.597,-2.205,-0.682,-0.315,
47109550,-0.734,0.306,0.599,-1.907,0.437,-0.437,
47109560,-0.736,0.301,0.596,-1.242,1.33,-0.315,
47109570,-0.74,0.301,0.597,-0.35,2.467,0.035,
47109580,-0.738,0.3,0.597,0.157,3.71,0.595,
47109580,-0.742,0.299,0.593,0.332,4.847,1.225,
47109600,-0.739,0.299,0.589,0.56,5.617,1.855,
47109600,-0.745,0.302,0.589,0.577,6.667,2.625,
47109620,-0.755,0.304,0.587,0.297,7.157,3.115,
47109620,-0.761,0.303,0.585,0.105,7.245,3.552,
47109640,-0.769,0.31,0.584,0.175,6.405,3.99,
47109640,-0.77,0.311,0.581,-0.07,5.372,4.007,
47109660,-0.773,0.314,0.579,-0.385,3.57,3.745,
47109660,-0.768,0.314,0.576,-0.822,2.24,3.535,
47109670,-0.761,0.316,0.577,-1.4,0.507,3.36,
47109680,-0.758,0.32,0.577,-2.012,-0.192,3.395,
47109690,-0.761,0.321,0.577,-2.8,-0.822,3.027,
47109700,-0.766,0.317,0.579,-3.43,-1.067,2.765,
47109710,-0.764,0.314,0.58,-3.342,-2.205,2.467,
47109720,-0.758,0.316,0.582,-2.992,-2.45,2.345,
47109730,-0.749,0.317,0.581,-2.345,-2.695,2.1,
47109740,-0.741,0.316,0.58,-2.012,-1.732,1.732,
47109750,-0.737,0.314,0.581,-1.925,-1.19,1.295,
47109760,-0.741,0.313,0.582,-1.61,0.227,1.312,
47109770,-0.759,0.309,0.584,-1.417,0.28,1.067,
47109780,-0.76,0.303,0.58,-1.295,0.07,0.647,
47109790,-0.76,0.302,0.58,-0.577,-0.91,0.542,
47109800,-0.764,0.303,0.577,-0.28,-1.33,0.752,
47109810,-0.759,0.305,0.574,-0.332,-2.45,0.892,
47109820,-0.755,0.308,0.575,-0.927,-3.027,1.102,
47109830,-0.757,0.31,0.576,-1.715,-4.13,0.98,
47109840,-0.76,0.312,0.578,-2.17,-4.725,0.805,
47109850,-0.759,0.314,0.581,-2.31,-5.512,0.525,
47109860,-0.75,0.317,0.587,-2.327,-5.477,0.227,
47109870,-0.746,0.318,0.587,-2.327,-5.215,-0.14,
47109880,-0.745,0.317,0.585,-2.397,-4.322,-0.577,
47109890,-0.744,0.318,0.588,-2.275,-3.71,-1.137,
47109900,-0.742,0.315,0.59,-2.222,-2.712,-1.557,
47109910,-0.742,0.313,0.588,-2.047,-1.47,-1.767,
47109920,-0.741,0.309,0.587,-1.662,0.017,-1.907,
47109930,-0.742,0.303,0.584,-1.172,1.435,-1.82,
47109940,-0.754,0.299,0.579,-0.437,2.607,-1.645,
47109950,-0.76,0.297,0.58,0.787,3.465,-1.697,
47109960,-0.757,0.292,0.585,2.415,4.462,-1.575,
47109970,-0.746,0.289,0.585,3.762,5.897,-0.962,
47109980,-0.751,0.292,0.583,5.04,7.402,0.14,
47109990,-0.749,0.297,0.578,5.915,8.89,0.892,
47110000,-0.751,0.308,0.57,6.177,9.292,1.417,
47110010,-0.778,0.315,0.56,5.372,9.152,1.732,
47110010,-0.795,0.318,0.552,4.287,6.772,1.47,
47110030,-0.802,0.327,0.548,3.412,3.342,1.26,
47110030,-0.801,0.338,0.551,1.82,-1.015,0.805,
47110050,-0.786,0.334,0.554,-0.612,-4.497,0.105,
47110050,-0.77,0.326,0.561,-2.73,-7.315,-0.612,
47110070,-0.762,0.32,0.567,-4.34,-8.382,-0.612,
47110070,-0.752,0.317,0.573,-5.512,-9.152,-0.297,
47110080,-0.755,0.314,0.574,-6.737,-8.785,0.21,
47110090,-0.763,0.307,0.573,-7.525,-9.152,0.262,
47110100,-0.758,0.303,0.576,-7.385,-9.152,0.07,
47110110,-0.754,0.307,0.582,-6.545,-9.45,-0.49,
47110120,-0.75,0.304,0.584,-6.247,-8.452,-0.945,
47110130,-0.755,0.297,0.585,-5.617,-8.19,-1.54,
47110140,-0.759,0.3,0.581,-4.55,-7.91,-1.802,
47110150,-0.766,0.302,0.58,-3.762,-8.645,-2.275,
47110160,-0.785,0.302,0.576,-3.605,-9.852,-2.695,
47110170,-0.807,0.301,0.567,-3.325,-13.667,-3.885,
47110180,-0.805,0.309,0.566,-2.38,-18.795,-5.792,
47110190,-0.797,0.321,0.569,-1.627,-24.885,-7.455,
47110200,-0.809,0.315,0.562,-2.117,-30.817,-8.89,
47110210,-0.76,0.314,0.581,-2.047,-35.857,-10.097,
