#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
54888160,-0.662,0.435,0.223,-8.855,252.105,24.587,
54888170,-1.005,0.577,0.279,-14.542,210.805,15.627,
54888180,-0.902,0.604,0.238,-27.107,164.797,8.592,
54888190,-0.732,0.507,0.187,-41.352,138.967,5.372,
54888200,-0.755,0.466,0.109,-45.377,133.297,-3.115,
54888210,-0.784,0.501,0.081,-47.967,136.885,-14.875,
54888220,-0.819,0.498,0.046,-52.762,143.937,-27.335,
54888230,-0.94,0.492,0.02,-54.425,150.955,-39.27,
54888240,-1.067,0.532,0.026,-55.3,148.767,-50.242,
54888250,-1.138,0.595,0.039,-61.232,136.745,-58.012,
54888260,-1.204,0.606,0.064,-73.937,117.267,-60.55,
54888260,-1.252,0.624,0.007,-88.69,96.495,-60.007,
54888280,-1.388,0.64,-0.002,-100.94,75.302,-59.64,
54888280,-1.289,0.57,-0.035,-110.95,52.15,-62.44,
54888300,-1.292,0.582,0.07,-110.127,28.332,-65.117,
54888300,-1.143,0.495,0.073,-112.332,10.045,-55.895,
54888320,-1.082,0.436,0.081,-110.092,1.522,-41.65,
54888320,-1.009,0.394,0.155,-85.977,-5.95,-25.165,
54888330,-0.898,0.361,0.212,-64.557,-11.515,-19.495,
54888340,-0.827,0.274,0.239,-49.385,-6.125,-18.217,
54888350,-0.836,0.259,0.257,-33.32,-0.035,-17.272,
54888360,-0.858,0.296,0.272,-16.625,1.102,-18.55,
54888370,-0.853,0.319,0.265,-8.225,-2.537,-21.21,
54888380,-0.874,0.317,0.253,-9.782,-8.837,-23.695,
54888390,-0.807,0.351,0.154,-13.895,-12.932,-24.465,
54888400,-0.82,0.343,0.164,-7.455,0.91,-19.565,
54888410,-0.992,0.308,0.144,5.215,16.52,-11.742,
54888420,-1.088,0.383,0.11,11.847,27.562,-3.255,
54888430,-1.156,0.475,0.135,10.99,29.942,-0.63,
54888440,-1.137,0.382,0.069,8.015,21.507,-4.375,
54888450,-1.003,0.253,0.006,12.197,11.97,-6.615,
54888460,-0.943,0.281,-0.023,22.277,10.815,-6.615,
54888470,-0.92,0.374,-0.016,31.027,9.205,-10.675,
54888480,-0.914,0.39,-0.014,28.525,8.207,-12.67,
54888490,-0.998,0.419,0.015,20.807,2.187,-16.135,
54888500,-1.078,0.436,0.06,13.09,-12.827,-17.762,
54888510,-1.128,0.395,0.103,8.557,-33.302,-13.65,
54888520,-1.191,0.347,0.163,13.527,-57.645,-3.587,
54888530,-1.121,0.35,0.169,25.06,-82.81,8.75,
54888540,-1.007,0.313,0.166,36.872,-99.487,20.212,
54888550,-0.822,0.322,0.105,48.93,-102.112,26.407,
54888560,-0.812,0.329,0.107,51.187,-81.847,30.012,
54888570,-0.971,0.473,0.179,36.47,-72.625,36.33,
54888580,-0.821,0.528,0.154,5.687,-74.812,21.56,
54888580,-0.79,0.311,0.198,-7.122,-68.792,16.24,
54888600,-0.777,0.245,0.257,3.045,-55.16,17.885,
54888600,-0.848,0.376,0.314,20.265,-47.53,20.23,
54888620,-0.902,0.434,0.36,19.862,-43.33,21.175,
54888620,-0.813,0.356,0.291,12.442,-44.852,15.907,
54888640,-0.889,0.402,0.37,9.8,-38.517,8.732,
54888640,-0.941,0.346,0.347,8.802,-46.917,8.75,
54888660,-0.866,0.358,0.348,14.735,-55.702,11.515,
54888660,-0.788,0.41,0.346,20.212,-54.162,12.232,
54888670,-0.798,0.432,0.342,20.247,-45.71,8.417,
54888680,-0.812,0.438,0.355,18.602,-35.332,2.59,
54888690,-0.828,0.438,0.343,15.925,-27.16,-0.717,
54888700,-0.842,0.441,0.349,12.932,-21.717,-1.33,
54888710,-0.83,0.443,0.312,8.47,-20.09,-1.89,
54888720,-0.824,0.431,0.309,3.237,-20.247,-2.31,
54888730,-0.762,0.389,0.312,5.285,-10.92,-2.52,
54888740,-0.902,0.448,0.329,16.135,-2.887,-3.692,
54888750,-0.916,0.459,0.389,16.012,-2.975,-4.41,
54888760,-0.825,0.423,0.204,13.265,-11.375,-7.91,
54888770,-0.771,0.418,0.22,20.037,-7.332,-6.352,
54888780,-0.826,0.462,0.189,23.485,-0.052,-5.687,
54888790,-0.864,0.537,0.193,23.52,6.142,-8.19,
54888800,-0.925,0.525,0.193,15.925,6.475,-9.642,
54888810,-0.936,0.486,0.205,7.945,0.525,-10.815,
54888820,-0.906,0.451,0.228,2.502,-7.437,-10.937,
54888830,-0.846,0.406,0.277,-0.822,-11.06,-10.255,
54888840,-0.812,0.352,0.324,-0.682,-3.972,-9.87,
54888850,-0.855,0.35,0.365,3.64,4.27,-9.73,
54888860,-0.812,0.318,0.368,5.075,8.382,-9.555,
54888870,-0.849,0.302,0.339,7.892,12.25,-10.237,
54888880,-0.857,0.322,0.308,12.652,14.28,-11.707,
54888890,-0.893,0.34,0.268,16.572,15.505,-13.51,
54888900,-0.921,0.364,0.23,20.755,16.187,-15.295,
54888910,-0.954,0.385,0.211,23.17,15.4,-16.082,
54888920,-0.964,0.399,0.18,23.362,11.795,-15.627,
54888930,-0.98,0.433,0.175,20.79,7.227,-13.002,
54888940,-1.026,0.457,0.178,13.86,0.752,-7.63,
54888950,-1.041,0.445,0.194,4.532,-9.45,-1.015,
54888960,-0.991,0.4,0.22,-2.905,-20.09,5.46,
54888970,-0.915,0.365,0.232,-4.847,-26.862,9.292,
54888980,-0.873,0.362,0.249,-2.887,-29.102,10.482,
54888990,-0.886,0.378,0.27,-1.05,-29.47,10.535,
54889000,-0.894,0.391,0.286,-0.14,-28.507,9.922,
54889010,-0.907,0.414,0.311,-1.592,-27.352,10.465,
54889010,-0.912,0.416,0.311,-6.947,-28.49,13.44,
54889030,-0.887,0.387,0.306,-12.005,-29.855,17.605,
54889030,-0.863,0.368,0.31,-13.65,-29.032,20.265,
54889050,-0.803,0.368,0.287,-12.967,-25.095,20.352,
54889050,-0.707,0.432,0.263,-14.315,-9.625,16.555,
