#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
50539420,-0.807,-0.011,0.665,-2.24,-14.997,-11.042,
50539430,-0.805,-0.014,0.671,-3.132,-19.477,-14.052,
50539440,-0.666,-0.035,0.652,-4.655,-19.267,-15.907,
50539450,-0.724,-0.01,0.682,-5.6,-12.757,-12.985,
50539460,-0.703,-0.027,0.673,-5.617,-5.057,-11.095,
50539470,-0.788,-0.022,0.685,-8.925,-2.38,-7.402,
50539480,-0.777,-0.037,0.672,-9.205,-3.64,-7.507,
50539490,-0.778,-0.038,0.677,-7.647,-6.335,-8.312,
50539500,-0.784,-0.03,0.68,-7.77,-7.332,-9.485,
50539510,-0.79,-0.033,0.678,-7.822,-9.59,-11.847,
50539520,-0.772,-0.029,0.678,-7.665,-11.515,-12.88,
50539530,-0.744,-0.026,0.672,-7.157,-12.792,-12.915,
50539540,-0.726,-0.024,0.68,-6.877,-12.267,-13.562,
50539550,-0.748,-0.049,0.692,-6.475,-10.99,-10.36,
50539560,-0.765,-0.046,0.683,-8.977,-11.305,-5.582,
50539570,-0.746,-0.058,0.678,-9.17,-13.615,-6.02,
50539580,-0.728,-0.059,0.684,-7.28,-13.807,-7.315,
50539590,-0.731,-0.049,0.692,-7.07,-13.37,-9.275,
50539600,-0.731,-0.057,0.685,-7.542,-13.965,-9.712,
50539610,-0.709,-0.05,0.678,-6.23,-14.997,-8.732,
50539620,-0.731,-0.055,0.705,-6.02,-14.42,-7.227,
50539630,-0.735,-0.081,0.689,-7.052,-15.05,-7.822,
50539640,-0.728,-0.078,0.693,-4.83,-16.152,-7.91,
50539650,-0.713,-0.056,0.698,-4.55,-16.957,-6.02,
50539660,-0.705,-0.057,0.7,-6.93,-16.45,-4.987,
50539670,-0.71,-0.069,0.698,-8.715,-15.452,-5.197,
50539680,-0.714,-0.072,0.699,-9.31,-14.822,-5.407,
50539690,-0.698,-0.067,0.697,-10.15,-14.84,-5.6,
50539700,-0.684,-0.076,0.693,-9.38,-13.93,-4.655,
50539710,-0.678,-0.076,0.702,-8.225,-13.195,-2.817,
50539720,-0.66,-0.081,0.716,-7.665,-12.215,-0.21,
50539730,-0.622,-0.084,0.726,-7.752,-10.15,4.042,
50539740,-0.591,-0.088,0.744,-7.927,-5.215,11.217,
50539750,-0.596,-0.106,0.75,-9.38,1.82,19.477,
50539760,-0.612,-0.147,0.754,-11.025,12.005,26.442,
50539760,-0.705,-0.158,0.77,-13.597,21.525,28.542,
50539770,-0.78,-0.176,0.767,-15.12,25.235,22.452,
50539780,-0.841,-0.189,0.753,-12.915,21.49,13.982,
50539790,-0.821,-0.188,0.729,-7.577,11.025,8.365,
50539800,-0.767,-0.19,0.735,3.15,0.28,6.685,
50539810,-0.717,-0.18,0.724,15.347,-9.135,6.44,
50539820,-0.68,-0.139,0.738,25.585,-13.79,4.9,
50539830,-0.635,-0.117,0.722,31.22,-15.26,3.535,
50539840,-0.596,-0.1,0.705,34.877,-10.955,4.165,
50539850,-0.592,-0.066,0.698,36.767,-2.415,6.65,
50539860,-0.622,-0.032,0.682,35.175,7.595,10.22,
50539870,-0.663,0.005,0.675,31.255,16.625,11.515,
50539880,-0.697,0.029,0.648,23.975,24.202,10.99,
50539890,-0.722,0.064,0.641,17.377,30.292,8.277,
50539900,-0.788,0.08,0.613,9.432,33.022,8.942,
50539910,-0.811,0.108,0.6,5.705,31.045,8.96,
50539920,-0.834,0.175,0.59,-3.027,27.335,7.087,
50539930,-0.862,0.183,0.575,-15.802,21.332,2.73,
50539940,-0.876,0.152,0.565,-28.262,13.352,-4.445,
50539950,-0.867,0.105,0.557,-38.255,5.372,-13.265,
50539960,-0.812,0.063,0.578,-44.415,-1.277,-21.927,
50539970,-0.703,0.011,0.58,-44.835,-1.662,-22.26,
50539980,-0.821,-0.129,0.579,-31.692,-2.152,-10.727,
50539990,-0.832,-0.032,0.683,-16.047,-5.845,-10.675,
50540000,-0.826,-0.044,0.686,-25.322,-10.955,-12.67,
50540010,-0.723,-0.167,0.649,-29.592,-13.195,-17.78,
50540020,-0.76,-0.206,0.715,-18.567,-4.917,-14.84,
50540030,-0.929,-0.179,0.749,-9.607,-4.182,-12.39,
50540040,-0.882,-0.171,0.738,-12.582,-13.982,-16.922,
50540050,-0.813,-0.174,0.723,-12.092,-23.292,-20.615,
50540060,-0.742,-0.153,0.709,-7.647,-28.297,-16.222,
50540070,-0.659,-0.092,0.715,-4.41,-28.822,-12.687,
50540080,-0.621,-0.092,0.705,-4.707,-24.01,-10.132,
50540080,-0.642,-0.094,0.691,-5.127,-18.13,-8.19,
50540100,-0.659,-0.088,0.687,-3.307,-13.912,-7.542,
50540100,-0.657,-0.091,0.68,-1.26,-11.392,-4.97,
50540120,-0.674,-0.078,0.69,0.455,-8.365,-2.782,
50540120,-0.67,-0.064,0.69,-0.157,-6.37,-4.112,
50540140,-0.684,-0.082,0.691,-2.327,-2.817,-5.005,
50540140,-0.765,-0.095,0.69,-3.097,-4.042,-6.93,
50540160,-0.695,-0.107,0.685,0.367,-8.05,-9.257,
50540160,-0.665,-0.118,0.699,3.797,-7.805,-6.09,
50540170,-0.733,-0.125,0.708,4.532,-5.582,-2.66,
50540180,-0.699,-0.126,0.708,5.985,-6.107,-1.82,
50540190,-0.635,-0.125,0.703,7.437,-2.782,1.75,
50540200,-0.737,-0.101,0.71,4.357,1.505,6.002,
50540210,-0.661,-0.085,0.703,2.59,2.135,4.235,
50540220,-0.63,-0.105,0.694,-0.14,6.877,6.37,
50540230,-0.671,-0.095,0.698,-4.462,13.807,8.89,
50540240,-0.735,-0.137,0.683,-3.605,15.96,14.472,
50540250,-0.706,-0.109,0.69,0.227,13.755,15.575,
50540260,-0.693,-0.092,0.696,0.017,14.262,15.365,
50540270,-0.717,-0.107,0.692,0.052,15.872,14.787,
50540280,-0.743,-0.118,0.691,1.645,16.135,15.225,
50540290,-0.753,-0.111,0.694,3.185,14.84,17.01,
50540300,-0.757,-0.105,0.679,2.87,13.44,18.007,
50540310,-0.762,-0.105,0.663,4.165,11.165,17.237,
50540320,-0.75,-0.09,0.657,7.367,9.537,16.747,
50540330,-0.765,-0.074,0.658,9.642,8.312,16.012,
50540340,-0.733,-0.07,0.66,9.397,7.857,13.125,
50540350,-0.71,-0.097,0.654,10.395,11.375,12.722,
50540360,-0.721,-0.068,0.667,11.847,18.322,14.822,
50540370,-0.78,-0.064,0.679,11.97,22.925,22.347,
50540380,-0.77,-0.067,0.67,9.712,26.232,26.11,
50540390,-0.774,-0.091,0.658,10.815,31.08,27.177,
50540400,-0.84,-0.068,0.663,13.912,35.262,28.297,
50540410,-0.882,-0.045,0.661,14.507,33.757,27.247,
50540420,-0.878,-0.043,0.641,14.192,27.387,24.185,
50540430,-0.848,-0.029,0.624,15.925,19.74,20.247,
50540440,-0.838,0.001,0.62,18.165,12.792,16.082,
50540440,-0.837,0.024,0.608,18.392,3.972,11.707,
50540460,-0.815,0.043,0.599,18.27,-5.67,6.002,
50540460,-0.797,0.061,0.586,16.555,-14.805,-0.735,
50540480,-0.792,0.066,0.587,14.822,-22.68,-8.505,
50540480,-0.778,0.071,0.589,11.672,-30.45,-16.012,
50540500,-0.762,0.065,0.594,6.912,-36.19,-22.732,
50540500,-0.739,0.058,0.604,0.77,-39.112,-31.535,
50540510,-0.747,0.045,0.619,-7.35,-39.497,-37.59,
50540520,-0.775,-0.013,0.613,-11.375,-42.087,-37.135,
50540530,-0.769,-0.007,0.64,-11.147,-45.132,-39.305,
50540540,-0.764,-0.028,0.667,-13.44,-46.882,-41.072,
50540550,-0.56,-0.094,0.66,-15.172,-38.762,-39.322,
50540560,-0.574,-0.148,0.718,-9.345,-14.28,-26.407,
50540570,-0.87,-0.154,0.75,-0.997,9.292,-13.177,
50540580,-1.051,-0.094,0.782,2.695,3.255,-9.992,
50540590,-0.712,-0.13,0.712,-6.387,-12.617,-5.092,
50540600,-0.733,-0.13,0.645,-6.58,-7.91,0.245,
50540610,-0.796,-0.054,0.68,7.612,-4.515,-0.63,
50540620,-0.727,0.008,0.683,5.127,-8.977,0.402,
50540630,-0.687,-0.009,0.663,-2.905,-11.567,1.925,
50540640,-0.67,-0.045,0.646,-6.037,-10.605,1.452,
50540650,-0.644,-0.05,0.657,-2.73,-7.595,-1.54,
50540660,-0.705,-0.043,0.688,-0.612,-2.765,-0.192,
50540670,-0.745,-0.049,0.676,-3.307,-2.677,1.26,
50540680,-0.762,-0.073,0.677,-2.625,-4.865,-0.297,
50540690,-0.744,-0.07,0.706,-2.712,-5.6,-2.887,
50540700,-0.769,-0.108,0.694,-6.335,-1.505,-2.905,
50540710,-0.832,-0.091,0.677,-6.002,-2.572,-3.675,
50540720,-0.804,-0.062,0.679,-1.872,-7.297,-6.09,
50540730,-0.779,-0.034,0.674,-4.357,-11.585,-9.257,
50540740,-0.766,-0.054,0.662,-6.177,-14.84,-10.92,
50540750,-0.733,-0.063,0.665,-4.497,-17.78,-11.375,
50540760,-0.695,-0.056,0.68,-3.64,-17.587,-10.272,
50540770,-0.702,-0.075,0.686,-5.582,-14.297,-8.295,
50540780,-0.716,-0.089,0.687,-7.822,-11.217,-7.052,
50540790,-0.71,-0.083,0.686,-8.452,-9.59,-6.282,
50540800,-0.707,-0.079,0.692,-9.275,-7.735,-5.25,
50540810,-0.718,-0.071,0.691,-10.027,-6.44,-4.917,
50540820,-0.718,-0.078,0.684,-9.87,-6.475,-6.912,
50540830,-0.724,-0.093,0.689,-7.945,-6.947,-9.187,
50540830,-0.773,-0.097,0.695,-7.245,-8.557,-9.8,
50540850,-0.815,-0.107,0.699,-7.507,-13.737,-10.727,
50540850,-0.825,-0.119,0.698,-8.225,-20.737,-12.407,
50540870,-0.798,-0.107,0.695,-8.172,-27.02,-12.775,
50540870,-0.725,-0.083,0.722,-7.49,-29.977,-9.362,
50540890,-0.677,-0.117,0.727,-8.277,-26.057,-3.57,
50540890,-0.666,-0.129,0.752,-9.275,-20.16,0.542,
50540910,-0.635,-0.132,0.764,-7.77,-14.875,0.787,
50540910,-0.623,-0.134,0.766,-7,-9.8,-2.345,
50540920,-0.642,-0.147,0.74,-6.772,-6.282,-4.987,
50540930,-0.649,-0.132,0.758,-4.252,-3.64,-6.405,
50540940,-0.665,-0.128,0.795,-2.957,-1.172,-7.682,
50540950,-0.691,-0.137,0.791,-5.547,0.437,-10.097,
50540960,-0.693,-0.119,0.754,-8.47,0.245,-13.072,
50540970,-0.676,-0.068,0.684,-8.19,-1.627,-12.162,
50540980,-0.702,-0.008,0.676,-5.057,-2.747,-6.772,
50540990,-0.779,-0.013,0.693,-7.332,-2.992,-3.85,
50541000,-0.854,-0.073,0.684,-12.145,-4.165,-7.245,
50541010,-0.887,-0.086,0.69,-13.632,-10.045,-10.955,
50541020,-0.901,-0.074,0.705,-15.68,-18.007,-11.48,
50541030,-0.876,-0.086,0.712,-18.2,-26.74,-12.67,
50541040,-0.841,-0.107,0.696,-18.9,-33.25,-14.577,
50541050,-0.806,-0.097,0.701,-17.867,-37.065,-16.485,
50541060,-0.771,-0.09,0.711,-17.815,-39.83,-17.85,
50541070,-0.706,-0.116,0.695,-18.27,-43.155,-17.762,
50541080,-0.671,-0.115,0.724,-17.447,-43.365,-14.665,
50541090,-0.642,-0.06,0.735,-22.872,-41.212,-13.755,
50541100,-0.619,-0.133,0.76,-26.215,-36.75,-18.865,
50541110,-0.671,-0.185,0.744,-32.305,-33.722,-23.555,
50541120,-0.651,-0.205,0.707,-30.887,-35.385,-24.99,
50541130,-0.6,-0.148,0.74,-22.662,-36.732,-23.17,
50541140,-0.61,-0.166,0.782,-23.8,-33.88,-20.702,
50541150,-0.597,-0.201,0.744,-31.762,-32.077,-22.19,
50541160,-0.57,-0.207,0.766,-30.397,-29.19,-22.435,
50541170,-0.536,-0.191,0.769,-30.31,-26.162,-22.837,
50541170,-0.54,-0.205,0.757,-29.68,-21.805,-23.135,
50541190,-0.6,-0.224,0.76,-28.297,-19.495,-22.032,
50541190,-0.636,-0.245,0.773,-25.165,-23.117,-21.332,
50541210,-0.629,-0.282,0.76,-22.225,-24.815,-16.87,
50541210,-0.696,-0.222,0.762,-18.602,-28.07,-11.532,
50541230,-0.633,-0.192,0.777,-16.345,-32.987,-8.102,
50541230,-0.587,-0.179,0.795,-18.515,-33.95,-5.285,
50541250,-0.586,-0.193,0.805,-22.505,-31.99,-5.302,
50541250,-0.564,-0.19,0.819,-26.53,-29.662,-7.035,
50541260,-0.551,-0.189,0.838,-31.08,-26.722,-9.187,
50541270,-0.528,-0.194,0.839,-35.052,-23.922,-11.637,
50541280,-0.514,-0.206,0.826,-40.6,-19.81,-14.052,
50541290,-0.571,-0.223,0.835,-45.605,-14.017,-16.555,
50541300,-0.647,-0.254,0.794,-51.73,-12.565,-21.91,
50541310,-0.709,-0.265,0.773,-54.512,-15.225,-28.84,
50541320,-0.744,-0.241,0.744,-58.765,-20.737,-35.175,
50541330,-0.784,-0.266,0.69,-63.525,-28.035,-39.375,
50541340,-0.748,-0.28,0.689,-63.91,-35.262,-42,
50541350,-0.771,-0.279,0.681,-63.245,-43.435,-41.352,
50541360,-0.658,-0.329,0.686,-58.957,-53.095,-38.325,
50541370,-0.598,-0.347,0.721,-51.152,-57.872,-32.917,
50541380,-0.557,-0.32,0.727,-45.657,-61.232,-28.717,
50541390,-0.486,-0.326,0.729,-43.12,-63.297,-24.447,
50541400,-0.449,-0.339,0.748,-42.402,-61.092,-22.82,
50541410,-0.442,-0.341,0.784,-44.835,-58.03,-23.03,
50541420,-0.408,-0.38,0.78,-48.737,-56,-24.78,
50541430,-0.387,-0.362,0.76,-51.625,-52.307,-27.16,
50541440,-0.264,-0.25,0.504,-53.707,-42.945,-24.955,
50541450,-0.505,0.294,0.65,-45.132,-48.317,-16.222,
50541460,-0.463,-0.251,0.986,-76.545,-39.235,-15.645,
50541470,-0.375,-1.032,0.935,-124.092,-42.192,-31.832,
50541480,-0.484,-1.211,0.787,-94.045,-43.75,-31.587,
50541490,-0.302,-0.879,0.836,-37.887,-58.012,-22.645,
50541500,0.034,-0.462,0.822,-12.67,-60.007,-21.42,
50541510,0.065,-0.271,0.753,-21.175,-45.377,-12.057,
50541520,0.11,-0.367,0.762,-32.987,-25.042,-1.557,
50541530,0.106,-0.506,0.823,-38.307,-1.347,4.2,
50541540,0.007,-0.567,0.851,-43.032,18.602,13.912,
50541550,-0.043,-0.612,0.834,-43.347,31.325,24.797,
50541560,-0.1,-0.645,0.8,-34.247,41.317,31.78,
50541570,-0.158,-0.603,0.759,-20.597,48.772,34.825,
50541580,-0.198,-0.53,0.708,-10.622,55.527,34.667,
50541580,-0.285,-0.488,0.654,-6.475,61.722,32.637,
50541600,-0.358,-0.48,0.59,-5.547,65.397,29.995,
50541600,-0.492,-0.518,0.597,-6.877,65.765,25.637,
50541620,-0.466,-0.569,0.513,-9.03,67.777,20.93,
50541620,-0.918,-0.563,0.579,-0.892,61.547,25.322,
50541640,-0.819,-0.578,0.596,9.03,35.42,20.422,
50541640,-0.646,-0.532,0.533,21,19.197,16.975,
50541660,-0.654,-0.343,0.556,30.292,27.072,23.765,
50541660,-0.909,-0.282,0.666,28.962,28.14,32.532,
50541670,-0.698,-0.338,0.666,21.507,22.732,29.417,
50541680,-0.691,-0.411,0.675,17.062,23.45,33.425,
50541690,-0.724,-0.421,0.757,10.622,22.312,30.765,
50541700,-0.667,-0.567,0.743,9.1,16.397,25.235,
50541710,-0.433,-0.552,0.708,17.902,9.695,23.257,
50541720,-0.358,-0.499,0.713,30.73,15.137,36.855,
50541730,-0.266,-0.354,0.725,35.7,26.565,43.102,
50541740,-0.217,-0.374,0.675,33.74,42.192,51.432,
50541750,-0.078,-0.352,0.641,35.402,63.875,62.195,
50541760,-0.181,-0.356,0.657,37.047,90.352,82.355,
50541770,-0.479,-0.409,0.679,35.84,105.105,89.932,
50541780,-0.564,-0.453,0.623,35.245,108.185,89.022,
50541790,-0.638,-0.445,0.566,43.347,104.737,91.525,
50541800,-0.701,-0.311,0.554,48.562,104.107,90.895,
50541810,-0.736,-0.259,0.532,44.572,106.697,85.4,
50541820,-0.742,-0.242,0.529,42.14,109.69,79.52,
50541830,-0.767,-0.237,0.563,38.955,113.085,73.692,
50541840,-0.906,-0.244,0.569,32.182,114.45,74.637,
50541850,-0.954,-0.269,0.611,31.815,108.202,74.637,
50541860,-1.105,-0.201,0.652,31.71,101.657,62.667,
50541870,-1.204,-0.172,0.628,27.457,83.09,50.802,
50541880,-1.153,-0.158,0.581,28.875,59.185,49.385,
50541890,-1.126,-0.103,0.561,28.507,40.197,52.15,
50541900,-1.092,-0.093,0.536,22.365,29.172,44.835,
50541910,-1.074,-0.14,0.574,16.187,22.925,31.797,
50541920,-1.003,-0.164,0.585,6.737,17.272,21.7,
50541920,-0.923,-0.196,0.599,5.67,12.81,13.3,
50541940,-0.838,-0.193,0.601,4.76,10.255,9.87,
50541940,-0.791,-0.214,0.575,3.727,9.275,7.402,
50541960,-0.741,-0.236,0.585,3.29,8.417,6.16,
50541960,-0.685,-0.268,0.584,4.515,9.082,8.575,
50541980,-0.62,-0.259,0.558,8.015,11.987,15.47,
50541980,-0.505,-0.256,0.546,13.615,19.53,24.657,
50542000,-0.515,-0.27,0.545,16.467,34.79,35.577,
50542000,-0.554,-0.227,0.571,19.39,49.577,44.782,
50542010,-0.678,-0.183,0.556,21.21,62.615,52.062,
50542020,-0.825,-0.127,0.535,19.915,69.387,53.007,
50542030,-0.847,-0.093,0.496,19.022,69.58,54.337,
50542040,-0.897,-0.086,0.524,20.265,70.35,54.862,
50542050,-0.955,-0.033,0.446,14.437,65.502,54.547,
50542060,-0.915,-0.029,0.431,17.132,62.702,41.037,
50542070,-0.893,-0.114,0.546,4.935,63.787,40.722,
50542080,-1.054,-0.283,0.494,-8.925,57.82,53.777,
50542090,-1.094,-0.201,0.481,10.29,47.25,53.165,
50542100,-0.867,0.013,0.481,17.482,41.597,50.995,
