#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
51170300,-0.36,-0.046,0.987,-14.192,-24.867,9.537,
51170310,-0.328,0.054,1.094,-13.177,-20.055,2.1,
51170320,-0.397,0.071,1.06,-18.025,-16.852,-5.722,
51170330,-0.396,0.056,0.996,-19.215,-16.817,-15.575,
51170340,-0.387,0.037,0.91,-15.82,-18.97,-20.492,
51170350,-0.406,0.027,0.889,-10.447,-19.302,-18.497,
51170360,-0.526,0.037,0.953,-6.842,-20.562,-17.01,
51170370,-0.521,0.023,0.946,-7.192,-24.132,-19.372,
51170380,-0.534,-0.011,0.875,-9.852,-27.877,-17.605,
51170390,-0.48,-0.001,0.87,-10.062,-33.267,-11.55,
51170400,-0.385,0,0.892,-8.627,-33.372,-4.742,
51170410,-0.309,0.017,0.892,-8.925,-31.115,-3.92,
51170420,-0.233,-0.008,0.902,-9.52,-24.29,-3.937,
51170430,-0.243,-0.044,0.913,-11.06,-14.962,-3.587,
51170440,-0.308,-0.099,0.955,-10.85,-5.67,-5.757,
51170450,-0.412,-0.063,0.935,-6.895,-3.78,-5.425,
51170460,-0.555,0.036,0.787,-6.615,-11.165,-1.137,
51170470,-0.394,-0.074,0.958,-6.457,-19.53,1.12,
51170480,-0.534,-0.137,0.974,3.027,-17.115,6.65,
51170490,-0.516,-0.035,0.978,6.09,-23.765,10.535,
51170500,-0.303,0.009,1.002,6.282,-27.475,9.87,
51170510,-0.212,-0.001,1.011,4.27,-20.807,7.542,
51170520,-0.086,0,1.015,1.942,-6.3,4.322,
51170530,0.001,0.015,1.016,-0.997,12.722,2.502,
51170540,0.026,-0.007,1.024,-5.127,33.53,4.077,
51170550,0.036,-0.036,1.036,-11.532,56.367,4.69,
51170560,0.09,-0.061,0.981,-18.655,82.197,2.047,
51170570,0.126,-0.102,0.883,-19.722,112.157,0.647,
51170580,0.162,-0.098,0.811,-13.457,145.74,1.26,
51170580,0.175,-0.094,0.725,-7.087,182.017,3.78,
51170600,0.091,-0.108,0.687,1.575,218.277,5.32,
51170600,-0.184,-0.154,0.602,10.622,241.045,4.847,
51170610,-0.334,-0.189,0.467,21.087,247.537,5.617,
51170620,-0.553,-0.228,0.402,45.15,240.555,38.01,
51170630,-1.088,-0.306,0.492,85.715,207.812,109.13,
51170640,-1.205,0.044,0.701,101.377,176.75,91.665,
51170650,-1.607,0.01,0.91,95.2,152.442,90.702,
51170660,-1.923,-0.132,1.051,85.995,108.657,63.805,
51170670,-1.528,-0.304,1.025,100.03,58.625,35.49,
51170680,-0.746,-0.165,0.983,134.33,54.757,31.185,
51170690,-0.493,0.043,0.852,167.387,116.76,49.77,
51170700,-0.608,0.234,0.709,201.145,198.31,72.537,
