#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
40004930,-0.688,0.176,0.194,105.56,-110.127,-67.97,
40004940,-0.706,0.087,0.178,101.99,-102.865,-47.547,
40004950,-0.677,0.046,0.149,105.98,-93.047,-30.17,
40004960,-0.586,0.04,0.12,117.32,-75.652,-7.332,
40004970,-0.452,0.024,0.138,123.9,-52.955,10.062,
40004980,-0.486,0.021,0.172,126.07,-34.195,18.445,
40004990,-0.523,-0.106,0.123,130.392,-25.585,23.397,
40005000,-0.35,-0.19,0.062,135.782,-18.392,33.897,
40005010,-0.187,-0.183,0.114,131.127,-6.492,42.805,
40005020,-0.299,-0.281,0.231,117.95,5.74,38.745,
40005030,-0.312,-0.445,0.296,99.837,21.787,36.977,
40005040,-0.138,-0.632,0.43,87.745,46.025,56.402,
40005050,0.208,-0.932,0.515,80.535,78.645,69.877,
40005060,0.472,-1.141,0.674,74.987,118.387,58.502,
40005070,0.485,-1.33,0.778,65.555,149.222,38.71,
40005080,0.46,-1.379,1.047,54.162,166.582,6.702,
40005090,0.315,-1.452,1.318,28.07,171.237,-32.375,
40005100,0.219,-1.711,1.483,3.482,168.052,-47.687,
40005110,0.246,-1.878,1.628,11.567,155.697,-35.647,
40005120,0.324,-1.785,1.75,3.552,140.945,-24.64,
40005130,0.153,-1.916,1.893,9.59,118.807,9.555,
40005140,0.012,-1.789,1.985,20.58,77.7,18.112,
40005150,0.032,-1.724,1.972,7.752,33.127,18.935,
40005160,0.162,-1.861,1.854,12.39,2.1,24.71,
40005170,0.231,-1.871,1.711,30.817,-3.885,25.637,
40005170,0.098,-1.887,1.55,37.677,4.497,17.132,
40005190,-0.001,-1.968,1.369,34.107,12.057,11.462,
40005190,0.211,-1.998,1.253,25.707,21.35,9.905,
40005210,0.392,-1.998,1.18,18.147,39.532,9.782,
40005210,0.406,-1.998,1.111,7.332,56.315,6.492,
40005220,0.435,-1.998,1.097,-4.865,63.77,5.267,
40005230,0.528,-1.998,1.075,-21.77,58.695,5.302,
40005240,0.649,-1.998,1.04,-42.14,45.71,2.782,
40005250,0.717,-1.998,1.018,-57.942,27.282,-6.16,
40005260,0.67,-1.998,0.966,-71.54,4.69,-22.907,
40005270,0.561,-1.963,0.859,-83.947,-22.225,-38.622,
40005280,0.516,-1.76,0.72,-94.36,-48.58,-49.927,
40005290,0.422,-1.413,0.572,-102.042,-74.97,-64.19,
40005300,0.326,-1.132,0.487,-117.372,-97.737,-69.44,
40005310,0.247,-0.862,0.438,-132.685,-122.867,-78.33,
40005320,0.107,-0.613,0.382,-140.7,-149.467,-81.27,
40005330,-0.007,-0.381,0.293,-142.835,-175.997,-81.865,
40005340,-0.127,-0.181,0.185,-139.702,-194.932,-79.065,
40005350,-0.307,0.009,0.056,-134.715,-206.64,-70.84,
40005360,-0.495,0.189,-0.084,-133.105,-213.377,-57.54,
40005370,-0.603,0.34,-0.222,-135.922,-217.262,-39.165,
40005380,-0.602,0.462,-0.337,-142.257,-215.442,-16.782,
40005390,-0.54,0.586,-0.357,-150.167,-205.642,6.195,
40005400,-0.441,0.678,-0.295,-155.802,-185.85,26.32,
40005410,-0.359,0.717,-0.151,-156.625,-160.492,40.215,
40005420,-0.282,0.717,-0.038,-151.112,-135.065,47.67,
40005430,-0.211,0.715,0.054,-137.497,-116.34,52.237,
40005440,-0.22,0.693,0.103,-120.557,-113.61,51.1,
40005450,-0.252,0.646,0.069,-104.265,-132.702,41.37,
40005460,-0.177,0.636,-0.011,-89.407,-164.622,28.297,
40005470,-0.034,0.596,-0.035,-80.71,-180.477,19.39,
40005480,-0.034,0.506,0.009,-76.895,-173.46,16.642,
40005490,-0.085,0.405,0.049,-71.26,-148.732,19.617,
40005500,-0.079,0.296,0.145,-59.605,-111.142,35.787,
40005510,-0.097,0.117,0.277,-45.955,-74.27,53.287,
40005510,-0.094,-0.084,0.396,-28.997,-44.8,63.612,
40005530,-0.052,-0.2,0.363,-5.845,-21.21,70.997,
40005530,0.038,-0.26,0.246,15.942,-2.467,76.93,
40005550,0.185,-0.363,0.146,28.017,15.68,77.927,
40005550,0.304,-0.505,0.087,33.46,29.032,68.302,
40005570,0.362,-0.613,0.12,34.965,38.99,50.75,
40005570,0.303,-0.699,0.23,26.897,45.22,31.185,
40005580,0.087,-0.829,0.336,13.177,44.73,10.377,
40005590,-0.007,-1.005,0.444,2.905,42.297,-6.107,
40005600,0.254,-0.784,0.755,-5.915,54.652,-16.887,
40005610,-0.206,-0.735,0.739,-83.51,67.06,11.935,
40005620,0.006,-1.685,0.903,-22.837,53.847,20.405,
40005630,0.465,-1.435,1.03,-1.015,45.762,-39.41,
40005640,0.135,-1.675,1.263,-8.662,56.857,-27.912,
40005650,-0.084,-1.984,1.473,37.94,58.257,-31.745,
40005660,-0.111,-1.99,1.597,78.435,67.042,-46.865,
40005670,-0.17,-1.998,1.536,89.18,95.9,-49.28,
40005680,-0.091,-1.998,1.337,97.65,137.585,-53.235,
40005690,0.08,-1.998,1.301,107.117,181.895,-53.865,
40005700,0.157,-1.998,1.305,98.315,221.865,-55.895,
40005710,0.251,-1.998,1.241,92.12,245.28,-46.06,
40005720,0.554,-1.998,1.153,96.845,248.517,-24.92,
40005730,0.867,-1.998,1.113,101.465,242.97,-6.457,
40005740,1.067,-1.998,1.098,102.935,233.397,5.635,
40005750,1.223,-1.995,1.097,101.535,214.655,12.442,
40005760,1.294,-1.969,1.019,98.525,185.867,8.225,
40005770,1.373,-1.905,0.843,98.07,152.197,5.232,
40005780,1.531,-1.787,0.697,101.08,120.085,3.675,
40005790,1.505,-1.684,0.551,96.407,89.845,-8.382,
40005800,1.473,-1.516,0.341,84.175,58.835,-26.32,
40005810,1.303,-1.261,0.071,80.08,23.642,-34.685,
40005820,1.481,-0.81,-0.128,78.592,-8.12,-36.592,
40005830,1.461,-0.765,-0.041,52.167,-20.107,-7.647,
40005840,1.117,-0.874,0.005,17.167,-46.357,42.997,
40005850,1.151,-1.063,-0.152,16.782,-104.002,51.817,
40005860,1.067,-1.019,-0.323,31.657,-155.732,7.717,
40005870,0.491,-0.742,-0.488,28.122,-182.612,-48.177,
40005880,-0.07,-0.565,-0.586,13.667,-195.23,-85.697,
40005890,-0.368,-0.522,-0.559,-3.657,-200.2,-102.357,
40005890,-0.466,-0.492,-0.478,-20.632,-193.97,-96.285,
40005910,-0.6,-0.389,-0.32,-41.527,-178.22,-79.52,
40005910,-0.758,-0.404,-0.261,-66.885,-161.542,-68.372,
40005920,-0.563,-0.447,-0.172,-84.122,-123.69,-58.52,
40005930,-0.439,-0.472,-0.019,-83.895,-60.725,-49.087,
40005940,-0.634,-0.397,-0.003,-70.227,-12.81,-53.165,
40005950,-0.699,-0.276,-0.009,-58.905,5.04,-63.472,
40005960,-0.581,-0.293,0.049,-54.74,14.962,-68.687,
40005970,-0.662,-0.327,0.138,-53.847,24.412,-71.487,
40005980,-0.78,-0.338,0.21,-53.287,34.965,-71.33,
40005990,-0.822,-0.374,0.268,-52.5,46.812,-57.487,
40006000,-0.823,-0.476,0.352,-53.55,57.137,-34.055,
40006010,-0.749,-0.721,0.476,-60.34,70.21,-6.702,
40006020,-0.656,-1.001,0.515,-65.712,86.905,26.827,
40006030,-0.532,-1.268,0.495,-67.847,99.137,62.982,
40006040,-0.369,-1.6,0.429,-77.35,106.942,95.882,
40006050,-0.182,-1.769,0.408,-90.58,104.86,115.692,
40006060,-0.101,-1.804,0.537,-109.427,93.765,115.762,
40006070,-0.133,-1.901,0.66,-139.527,81.392,100.94,
40006080,-0.178,-1.827,0.694,-162.242,69.107,79.257,
40006090,-0.183,-1.674,0.817,-174.142,70.77,62.09,
40006100,-0.258,-1.509,0.958,-181.142,88.567,56.28,
40006110,-0.3,-1.345,0.856,-172.847,107.905,63.052,
40006120,0.155,-1.091,0.722,-157.797,136.027,81.935,
40006130,0.807,-0.863,1.226,-156.642,191.31,98.752,
40006140,0.464,-1.111,1.829,-178.937,237.755,90.912,
40006150,0.164,-1.204,1.665,-167.055,215.827,63.822,
40006160,0.956,-0.946,1.235,-110.46,186.76,62.37,
40006170,1.293,-0.813,0.995,-74.9,194.372,68.215,
40006180,0.996,-0.96,1.106,-75.897,196.472,53.427,
40006190,0.853,-0.835,1.075,-75.635,168.927,41.615,
40006200,1.067,-1.308,0.979,-12.582,130.462,35.77,
40006210,1.102,-1.039,0.64,-23.625,117.11,41.475,
40006220,0.818,-1.236,0.474,-50.715,113.015,43.61,
40006230,0.729,-1.462,0.474,-16.292,101.062,39.935,
40006240,0.854,-1.474,0.423,13.37,91.262,37.922,
40006250,0.909,-1.345,0.327,37.03,87.955,40.005,
40006260,1.134,-1.295,0.244,44.24,91.507,31.447,
40006260,1.478,-1.357,0.175,49.91,100.082,29.89,
40006280,1.926,-1.377,0.286,48.79,108.972,31.622,
40006280,1.884,-1.416,0.602,33.46,95.2,15.435,
40006300,1.582,-1.424,0.613,25.252,40.442,-26.582,
40006300,1.568,-1.191,0.421,43.4,-5.862,-62.16,
40006320,1.278,-0.798,0.205,57.925,-33.372,-87.552,
40006320,0.901,-0.579,0.107,54.127,-53.235,-105.227,
40006330,0.75,-0.602,0.121,44.292,-71.295,-109.375,
40006340,0.587,-0.624,0.142,42.192,-83.247,-106.855,
40006350,0.399,-0.49,0.107,46.672,-94.43,-99.05,
40006360,0.366,-0.395,0.159,49.63,-102.935,-85.592,
40006370,0.363,-0.419,0.199,51.502,-106.715,-72.38,
40006380,0.24,-0.378,0.154,66.097,-113.102,-64.925,
40006390,0.109,-0.222,0.125,82.075,-124.04,-63.595,
40006400,-0.026,-0.097,0.089,74.182,-130.952,-58.957,
40006410,-0.114,-0.158,0.046,67.34,-134.19,-51.292,
40006420,-0.154,-0.151,0.002,57.995,-134.47,-41.58,
40006430,-0.123,-0.124,0.003,38.815,-132.947,-40.88,
40006440,-0.105,-0.261,0.076,34.282,-130.34,-48.44,
40006450,-0.171,-0.331,0.142,46.742,-129.342,-58.747,
40006460,-0.342,-0.283,0.151,67.672,-133.577,-63.98,
40006470,-0.406,-0.249,0.152,80.71,-139.142,-61.6,
40006480,-0.457,-0.264,0.213,80.57,-140.07,-53.427,
40006490,-0.652,-0.292,0.279,78.312,-137.882,-38.885,
40006500,-0.738,-0.299,0.324,74.655,-130.83,-16.38,
40006510,-0.701,-0.356,0.424,62.125,-117.88,12.827,
40006520,-0.633,-0.496,0.541,43.855,-98.7,36.382,
40006530,-0.569,-0.602,0.698,27.37,-73.57,50.085,
40006540,-0.507,-0.706,0.876,11.025,-45.5,52.447,
40006550,-0.457,-0.883,1.017,-1.312,-19.145,43.592,
40006560,-0.445,-1.057,1.083,-5.547,3.465,25.9,
40006570,-0.463,-1.155,1.045,-3.885,21.49,5.39,
40006580,-0.433,-1.144,1.049,4.357,37.362,-6.93,
40006580,-0.497,-1.069,1.212,14.14,51.73,-4.952,
40006600,-0.718,-1.112,1.406,22.26,58.957,12.705,
40006600,-0.732,-1.384,1.527,31.867,62.247,45.15,
40006620,-0.427,-1.645,1.484,48.09,68.775,78.645,
40006620,-0.138,-1.679,1.411,64.435,83.3,90.055,
40006640,-0.003,-1.702,1.242,75.092,96.897,74.182,
40006640,0.145,-1.708,1.008,89.722,108.237,52.185,
40006660,0.273,-1.627,0.822,105.175,116.06,34.142,
40006660,0.311,-1.651,0.645,111.422,122.955,23.397,
40006670,0.331,-1.728,0.467,116.427,127.05,28.77,
40006680,0.402,-1.624,0.402,129.78,126.385,43.382,
40006690,0.419,-1.632,0.066,96.372,133.175,82.162,
40006700,0.711,-1.998,0.149,100.922,127.715,121.012,
40006710,1.183,-1.884,0,44.117,113.295,84.962,
40006720,0.995,-1.998,0.095,15.855,109.375,91.997,
40006730,0.949,-1.998,0.111,46.69,81.445,64.067,
40006740,0.752,-1.849,-0.032,64.662,51.817,53.217,
40006750,0.59,-1.72,-0.1,60.357,29.96,50.382,
40006760,0.464,-1.418,-0.115,34.02,12.337,53.252,
40006770,0.307,-1.166,-0.12,9.625,-0.49,66.692,
40006780,0.229,-0.965,-0.151,3.517,-8.487,89.267,
40006790,0.196,-0.724,-0.206,3.535,-16.082,112.087,
40006800,0.199,-0.531,-0.244,-0.455,-23.432,127.925,
40006810,0.256,-0.422,-0.196,-9.117,-29.417,136.955,
40006820,0.313,-0.338,-0.095,-9.73,-33.442,136.657,
40006830,0.364,-0.215,0.019,-1.907,-38.85,126.227,
40006840,0.45,-0.139,0.2,3.167,-40.81,109.165,
40006850,0.514,-0.122,0.396,6.457,-38.972,86.17,
40006860,0.482,-0.086,0.528,16.38,-35.507,58.625,
40006870,0.339,-0.062,0.537,30.94,-31.972,32.182,
40006880,0.139,-0.043,0.441,47.967,-34.51,13.002,
40006890,0.049,0.02,0.387,59.64,-43.05,1.47,
40006900,-0.007,0.03,0.364,61.705,-49.997,-5.285,
40006910,-0.124,0.061,0.393,62.632,-52.587,-7.997,
40006920,-0.296,0.088,0.473,66.08,-55.562,-3.867,
40006930,-0.454,0.136,0.509,62.545,-59.762,13.055,
40006940,-0.56,0.029,0.539,63.56,-61.792,47.792,
40006950,-0.512,0.015,0.493,69.982,-64.172,75.827,
40006960,-0.474,-0.062,0.42,68.967,-62.737,108.22,
40006970,-0.341,-0.208,0.382,71.452,-60.655,136.412,
40006980,-0.185,-0.294,0.353,73.552,-60.462,148.067,
40006990,-0.064,-0.324,0.356,68.652,-57.522,138.897,
40007000,-0.142,-0.388,0.397,62.772,-55.545,118.212,
40007010,-0.209,-0.487,0.444,59.57,-51.887,106.277,
40007010,-0.346,-0.529,0.439,56.945,-48.422,93.537,
40007030,-0.593,-0.695,0.427,45.85,-40.495,87.71,
40007030,-0.614,-1.014,0.312,29.855,-22.995,95.06,
40007050,-0.411,-1.279,0.322,16.012,0.805,101.92,
40007050,-0.184,-1.599,0.337,-2.327,24.815,93.922,
40007070,-0.089,-1.772,0.437,-16.625,43.837,59.465,
40007070,-0.102,-1.804,0.671,-38.745,63.385,5.81,
40007080,-0.373,-1.983,0.729,-61.88,80.325,-50.522,
40007090,-0.714,-1.998,0.9,-74.882,79.257,-96.967,
40007100,-0.695,-1.998,1.184,-87.412,72.887,-119.192,
40007110,-0.597,-1.998,1.348,-88.095,74.812,-115.342,
40007120,-0.552,-1.977,1.518,-89.652,86.555,-95.025,
40007130,-0.414,-1.847,1.75,-104.107,96.32,-68.617,
40007140,0.24,-1.395,1.989,-121.94,104.912,-64.085,
40007150,1.899,-1.512,1.998,-126.927,128.187,-116.567,
40007160,1.155,-1.998,1.728,-81.182,60.077,-201.862,
40007170,-1.381,-1.539,1.354,-45.832,-59.605,-230.352,
