#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
43282000,0.108,-0.307,0.943,2.59,5.652,-0.42,
43282010,0.129,-0.28,0.95,2.8,6.23,-0.052,
43282020,0.053,-0.289,0.923,2.45,7.542,0.175,
43282030,0.099,-0.271,0.936,2.362,6.422,1.4,
43282040,0.079,-0.279,0.933,1.82,5.267,1.33,
43282050,0.073,-0.275,0.937,1.417,3.57,1.26,
43282060,0.081,-0.278,0.934,0.735,1.68,0.752,
43282070,0.101,-0.283,0.938,0.367,0.402,0.542,
43282080,0.124,-0.3,0.935,0.21,0.385,0.28,
43282080,0.131,-0.305,0.932,0.805,1.417,0.297,
43282100,0.125,-0.277,0.929,1.715,2.817,0.647,
43282100,0.104,-0.281,0.93,1.33,3.955,0.7,
43282120,0.096,-0.292,0.93,1.295,4.217,0.665,
43282120,0.094,-0.291,0.935,2.03,3.867,1.015,
43282140,0.087,-0.291,0.941,2.642,3.552,1.085,
43282140,0.082,-0.276,0.939,2.747,3.395,0.91,
43282160,0.078,-0.274,0.942,2.152,2.957,-0.157,
43282160,0.076,-0.303,0.945,1.347,2.607,-0.665,
43282170,0.069,-0.298,0.938,1.627,1.907,-0.647,
43282180,0.067,-0.278,0.942,2.415,0.7,-0.472,
43282190,0.058,-0.285,0.945,2.03,-0.42,-0.612,
43282200,0.06,-0.291,0.94,1.487,-1.627,-1.207,
43282210,0.08,-0.286,0.944,1.557,-2.852,-1.085,
43282220,0.089,-0.308,0.949,1.155,-2.782,-1.015,
43282230,0.074,-0.295,0.947,1.365,-2.747,-0.98,
43282240,0.081,-0.298,0.948,1.61,-2.975,-1.12,
43282250,0.081,-0.297,0.941,1.872,-3.255,-0.945,
43282260,0.073,-0.276,0.933,2.17,-4.217,-0.455,
43282270,0.067,-0.259,0.924,1.872,-6.23,-0.297,
43282280,0.06,-0.261,0.92,1.312,-9.117,-1.12,
43282290,0.045,-0.259,0.933,1.277,-13.177,-1.365,
43282300,0,-0.266,0.954,0.262,-17.045,-2.082,
43282310,0.044,-0.278,0.956,-1.575,-19.88,-2.625,
43282320,0.088,-0.29,0.951,-3.465,-20.825,-2.38,
43282330,0.143,-0.328,0.956,-4.585,-19.25,-1.942,
43282340,0.162,-0.293,0.946,-3.92,-15.61,-0.875,
43282350,0.115,-0.32,0.948,-4.672,-12.11,-0.752,
43282360,0.085,-0.293,0.944,-4.147,-11.13,-0.367,
43282370,0.053,-0.261,0.942,-4.847,-12.425,-0.402,
43282380,0.055,-0.245,0.949,-7.367,-15.54,-0.455,
43282390,0.085,-0.256,0.955,-10.885,-18.532,-0.315,
43282400,0.047,-0.247,0.959,-14.192,-21.175,-0.105,
43282410,0.1,-0.279,0.971,-17.85,-24.517,-0.63,
43282420,0.217,-0.302,0.947,-19.39,-24.255,-0.227,
43282420,0.148,-0.313,0.946,-20.527,-20.755,1.487,
43282440,0.084,-0.311,0.951,-21.087,-19.81,3.08,
43282440,0.058,-0.274,0.962,-22.365,-21.402,3.71,
43282460,0.054,-0.269,0.968,-26.11,-25.06,3.71,
43282460,0.119,-0.276,0.961,-30.082,-29.557,4.025,
43282480,0.164,-0.337,0.923,-32.952,-31.377,5.897,
43282480,0.211,-0.435,0.868,-31.972,-30.345,7.997,
43282500,0.241,-0.485,0.826,-24.43,-26.127,8.89,
43282500,0.278,-0.508,0.805,-12.32,-19.302,9.397,
43282510,0.315,-0.474,0.822,1.557,-10.202,9.782,
43282520,0.284,-0.454,0.884,11.06,-0.245,10.902,
43282530,0.178,-0.294,0.949,17.71,3.552,16.205,
43282540,0.094,-0.288,0.973,16.502,3.202,16.957,
43282550,0.09,-0.288,0.973,12.075,0.105,16.03,
43282560,0.126,-0.329,0.948,8.172,-2.957,15.032,
43282570,0.119,-0.27,0.962,5.932,-4.515,13.667,
43282580,0.144,-0.369,0.948,0.157,-3.902,10.675,
43282590,0.141,-0.273,0.975,-2.047,-5.547,10.675,
43282600,0.131,-0.327,0.962,-7.612,-6.125,8.802,
43282610,0.136,-0.331,0.972,-12.215,-7.245,6.79,
43282620,0.145,-0.29,0.993,-17.815,-7.892,5.057,
43282630,0.145,-0.292,1.029,-26.897,-8.505,3.062,
43282640,0.183,-0.276,1.07,-39.83,-9.905,1.995,
43282650,0.272,-0.278,1.131,-57.05,-9.887,2.17,
43282660,0.322,-0.225,1.22,-79.415,-6.422,4.567,
43282670,0.394,-0.224,1.316,-108.5,5.617,8.207,
43282680,0.547,-0.347,1.251,-139.895,16.327,16.24,
43282690,0.63,-0.438,1.255,-159.722,40.425,32.007,
43282700,0.546,-0.594,1.357,-173.792,53.357,56.7,
43282710,0.667,-0.911,1.275,-181.405,66.797,87.745,
43282720,0.09,-0.815,1.101,-173.985,53.322,118.247,
43282730,-0.044,-1.452,0.641,-151.112,13.405,99.242,
43282740,-0.186,-1.882,0.706,-143.15,-14.822,103.355,
43282750,-0.193,-1.998,0.48,-137.305,-15.207,90.965,
43282760,1.353,-1.998,-0.181,-59.43,-18.34,51.852,
43282770,1.042,-1.216,-0.202,13.23,-16.45,40.092,
43282780,0.096,-0.395,-0.216,-35.682,-13.02,-13.755,
43282790,0.135,-0.407,-0.143,-77.665,-23.87,-52.64,
43282800,0.117,0.052,0.093,-84.105,-33.127,-63.087,
43282810,-0.46,0.383,0.372,-89.915,-22.312,-47.495,
43282820,-0.62,0.381,0.223,-94.482,-18.042,-19.635,
43282830,-0.518,0.523,0.003,-57.452,-31.92,18.567,
43282830,-0.398,0.728,-0.068,-29.26,-56.367,38.797,
43282850,-0.092,0.596,-0.142,-32.602,-62.947,37.292,
43282850,-0.036,0.376,-0.213,-41.282,-50.102,18.742,
43282870,-0.32,0.285,-0.392,-49.367,-37.835,-23.87,
43282870,-0.767,0.301,-0.567,-66.517,-39.2,-76.825,
43282890,-0.803,0.247,-0.709,-85.767,-37.87,-120.89,
43282890,-1.58,-0.666,1.234,-111.23,-7.052,-132.177,
43282910,-1.201,-1.998,1.139,-26.005,79.572,-125.23,
43282910,1.488,-0.705,0.082,433.072,42.577,-164.517,
43282920,0.621,1.728,1.097,383.022,-28.927,-236.705,
43282930,1.816,-1.465,0.923,309.4,68.792,-159.617,
43282940,0.764,0.021,1.207,362.705,82.25,-90.947,
43282950,1.753,0.4,1.581,339.622,106.627,-12.757,
43282960,-0.238,-0.109,1.587,240.012,161.962,31.01,
43282970,-0.653,0.703,1.84,186.917,119.245,25.2,
43282980,-0.393,0.52,1.525,84.507,63.315,21.63,
43282990,-0.577,0.22,1.27,11.585,14.857,28.42,
43283000,-0.113,-0.212,1.09,-32.935,-19.845,22.662,
43283010,0.069,-0.396,0.946,-52.99,-34.807,19.39,
43283020,0.138,-0.5,0.864,-56.875,-36.802,16.292,
43283030,0.2,-0.55,0.842,-53.112,-32.672,11.55,
43283040,0.156,-0.445,0.872,-46.48,-27.44,8.365,
43283050,0.169,-0.448,0.886,-42.682,-23.135,3.937,
43283060,0.199,-0.432,0.92,-41.405,-19.005,-1.242,
43283070,0.265,-0.393,0.96,-43.75,-14.857,-4.777,
43283080,0.282,-0.367,1.006,-50.522,-9.887,-4.41,
43283090,0.153,-0.308,1.091,-62.685,-7.192,-0.507,
43283100,0.343,-0.266,1.165,-83.195,-10.167,5.162,
43283110,0.167,-0.264,1.222,-111.16,-5.74,9.485,
43283120,0.243,-0.237,1.252,-139.755,-4.06,14.507,
43283130,0.326,-0.294,1.219,-167.142,1.19,22.977,
43283140,0.446,-0.403,1.166,-191.205,7.035,36.277,
43283150,0.603,-0.527,1.172,-205.59,10.587,53.025,
43283160,0.637,-0.702,1.219,-214.777,17.64,71.295,
43283170,0.55,-1.1,1.262,-212.1,34.825,104.195,
43283170,0.119,-1.222,1.112,-184.835,39.917,134.662,
43283190,-0.187,-1.025,0.902,-143.15,16.52,128.047,
43283190,-0.356,-1.594,0.427,-118.177,-38.412,92.96,
43283210,0.347,-1.728,0.694,-107.502,-50.47,91.385,
43283210,0.403,-1.003,0.749,-41.93,-81.672,120.155,
43283230,1.079,-0.497,0.1,28.91,-108.395,82.285,
43283230,1.043,0.606,-0.065,56.787,-101.797,44.695,
43283250,0.325,0.768,0.112,6.125,-75.005,-2.52,
43283250,0.044,0.046,0.125,-50.242,-50.47,-45.167,
43283260,0.104,-0.137,-0.058,-33.81,-19.127,-68.022,
43283270,-0.544,0.066,-0.299,-4.48,15.645,-94.622,
43283280,-1.009,-0.271,-0.58,-28.175,47.932,-130.55,
43283290,-1.151,-0.722,-0.888,-51.222,63.105,-164.64,
43283300,-1.529,-0.582,-1.002,-57.47,60.602,-198.45,
43283310,-1.877,-0.566,-0.952,-90.667,57.96,-216.632,
43283320,-1.997,-0.718,-0.862,-123.602,59.885,-200.9,
43283330,-1.996,-0.48,-0.517,-118.527,56.227,-149.765,
43283340,-0.843,-1.279,1.984,-109.672,14.752,-138.687,
43283350,1.998,-1.682,-0.104,86.695,58.887,-223.667,
43283360,1.792,-1.323,0.559,373.047,76.685,-317.555,
43283370,-0.984,-1.624,0.87,209.527,221.882,-239.155,
43283380,1.575,1.12,0.505,390.425,76.982,-132.475,
43283390,1.995,-0.853,0.549,406.42,110.302,-30.695,
43283400,0.066,0.731,1.652,378.35,180.67,64.855,
43283410,0.213,0.019,1.505,286.737,174.055,37.432,
43283420,0.362,0.024,1.6,231.157,154.577,-5.005,
43283430,-0.915,0.674,1.855,164.552,114.677,41.632,
43283440,-1.267,0.922,1.635,55.44,40.495,42.56,
43283450,-0.36,0.008,1.32,-32.392,-23.187,20.842,
43283460,0.03,-0.279,1.098,-82.53,-54.285,16.572,
43283470,0.058,-0.377,0.97,-101.185,-67.13,14.787,
43283480,0.307,-0.616,0.84,-107.345,-69.212,10.08,
43283490,0.22,-0.653,0.774,-98.42,-66.762,10.29,
43283500,0.493,-0.604,0.746,-83.807,-68.232,13.405,
43283510,0.266,-0.527,0.877,-76.475,-58.905,12.775,
43283520,0.272,-0.311,1.013,-81.567,-52.15,6.125,
43283530,0.336,-0.268,1.121,-104.405,-41.65,-0.122,
43283540,0.304,-0.167,1.229,-134.452,-32.445,-3.517,
43283550,0.424,-0.16,1.269,-171.185,-27.125,-2.432,
43283560,0.438,-0.171,1.293,-210.315,-23.03,8.715,
43283570,0.38,-0.291,1.257,-246.61,-19.302,24.535,
43283580,0.213,-0.315,1.177,-277.497,-21.315,40.897,
43283580,0.029,-0.127,1.212,-308.542,-30.887,56.49,
43283600,-0.182,-0.486,1.481,-335.947,-51.625,58.17,
43283600,0.01,-1.301,1.715,-335.195,-73.342,36.75,
43283620,0.358,-1.771,1.965,-272.982,-56,15.067,
43283620,-0.072,-0.99,0.87,-181.597,-11.497,-28.787,
43283630,-0.384,-0.389,1.573,-119.157,16.87,-89.757,
43283640,-1.157,-1.165,1.89,-112.035,67.305,-57.207,
43283650,-1.874,0.084,0.848,61.827,-70.595,-21.84,
43283660,-0.121,1.446,1.112,267.557,-158.06,53.077,
43283670,0.51,0.909,0.956,280,-109.672,151.847,
43283680,-0.226,0.401,0.601,257.775,-61.6,174.02,
43283690,-0.692,0.441,-0.025,298.252,-74.48,199.482,
43283700,-0.317,0.595,-0.68,312.882,-105.647,222.705,
43283710,0.243,0.317,-0.644,233.992,-134.522,222.022,
43283720,0.271,-0.495,-0.543,104.492,-142.467,195.282,
43283730,0.029,-1.158,-0.527,30.292,-152.407,137.392,
43283740,-0.248,-0.718,-0.87,56.577,-141.12,73.57,
43283750,-0.476,-0.083,-0.818,72.572,-104.387,6.545,
43283760,-1.427,-0.68,-0.965,-16.117,-41.492,-0.472,
43283770,0.214,-1.922,-0.006,-71.977,28.612,-73.937,
43283780,-0.11,-1.998,-0.884,-33.915,288.925,-352.362,
43283790,-1.317,0.415,0.868,352.222,42.927,-407.312,
43283800,1.998,1.997,1.83,405.772,-34.335,-174.405,
43283810,1.861,-0.942,0.444,235.305,131.582,-91.35,
43283820,0.692,-1.32,0.954,211.452,198.712,0.157,
43283830,1.439,1.08,1.338,300.037,175.927,113.452,
43283840,-1.378,-0.402,1.618,216.352,196.49,132.37,
43283850,-1.739,1.47,1.805,153.86,104.912,70.787,
43283860,-0.653,-0.044,1.404,38.202,32.777,-1.837,
43283870,0.114,0.06,1.237,-22.645,-14.945,-15.47,
43283880,0.272,-0.331,1.051,-55.16,-32.34,-0.717,
43283890,0.193,-0.378,0.93,-70.192,-35.157,14.017,
43283900,0.217,-0.604,0.787,-68.25,-33.862,17.325,
43283910,0.298,-0.527,0.817,-52.237,-33.32,27.09,
43283920,0.086,-0.476,0.844,-41.965,-26.775,25.06,
43283920,0.012,-0.468,0.875,-38.237,-21.682,13.772,
43283940,0.113,-0.397,0.951,-36.54,-19.215,1.155,
43283940,0.152,-0.312,1.034,-43.89,-19.162,-4.69,
43283960,0.216,-0.306,1.07,-59.15,-20.632,-7.595,
43283960,0.254,-0.281,1.106,-78.452,-20.51,-8.295,
43283980,0.231,-0.264,1.166,-102.025,-19.302,-6.877,
43283980,0.273,-0.221,1.223,-129.57,-16.257,-4.077,
43284000,0.323,-0.232,1.245,-160.195,-9.152,1.05,
43284000,0.321,-0.204,1.195,-189.612,0.822,9.187,
43284010,0.297,-0.33,1.08,-215.18,6.387,14.875,
43284020,0.179,-0.387,0.975,-239.015,1.61,23.695,
43284030,0.214,-0.46,0.978,-258.825,-7.787,32.077,
43284040,0.152,-0.604,1.103,-267.872,-23.59,39.742,
43284050,0.1,-1.013,1.099,-263.06,-44.73,39.357,
43284060,0.371,-1.488,1.233,-221.567,-44.45,28.402,
43284070,0.556,-1.532,1.129,-158.83,-0.035,14.735,
43284080,0.321,-0.928,0.332,-97.055,64.697,-7.157,
43284090,-0.009,-0.678,0.766,-64.032,97.177,-42.332,
43284100,-0.686,-1.194,0.858,-58.765,105.017,-35,
43284110,-0.465,-0.749,0.545,37.205,22.767,-26.46,
43284120,-0.031,0.505,0.305,154.455,-54.092,-4.917,
43284130,0.21,0.611,0.359,182.28,-63.297,37.257,
43284140,-0.158,0.305,-0.052,163.87,-50.347,82.565,
43284150,-0.485,0.456,-0.536,184.887,-75.932,104.247,
43284160,-0.294,0.427,-0.705,175.332,-94.64,126.385,
43284170,-0.147,-0.19,-0.798,105.63,-82.302,140.245,
43284180,-0.467,-0.495,-0.882,48.65,-81.357,137.935,
43284190,-0.311,-0.482,-0.823,35.525,-111.702,70.367,
43284200,-0.41,-1.07,-0.921,13.212,-103.512,3.237,
43284210,0.405,-1.998,0.262,3.937,-34.072,-78.102,
43284220,-1.558,-1.998,1.851,55.23,97.825,-145.81,
43284230,-1.776,-1.702,-0.432,203.385,-11.9,-264.932,
43284240,1.744,1.756,1.325,397.18,-147.227,-252.752,
43284250,1.767,0.394,0.779,344.067,40.67,-118.422,
43284260,0.728,-1.554,1.184,280.945,155.347,-95.007,
43284270,1.955,0.762,1.271,333.095,154.612,8.295,
43284280,-0.63,-0.433,1.81,248.71,221.795,86.38,
43284290,-1.652,1.838,1.942,182.035,125.23,60.147,
43284300,-0.662,0.122,1.324,24.395,27.597,15.977,
43284300,0.054,-0.257,1.064,-33.827,-22.435,5.687,
43284320,0.11,-0.433,0.923,-46.287,-34.86,9.432,
43284320,0.335,-0.501,0.875,-43.61,-35.437,11.55,
43284330,0.46,-0.544,0.82,-36.767,-25.55,18.987,
43284340,0.127,-0.402,0.889,-23.852,-15.032,28.49,
43284350,0.113,-0.429,0.874,-18.795,-9.782,23.835,
