#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
38764180,-0.058,0.13,0.982,4.777,-6.475,-2.922,
38764190,-0.087,0.155,0.969,5.67,-3.832,-3.727,
38764200,-0.098,0.157,0.97,4.585,-2.887,-4.445,
38764210,-0.12,0.151,0.973,2.905,-3.465,-4.97,
38764220,-0.145,0.149,0.975,1.26,-4.357,-4.707,
38764230,-0.141,0.155,0.973,0.105,-6.685,-3.482,
38764240,-0.125,0.142,0.98,-0.437,-8.207,-1.855,
38764250,-0.097,0.149,0.977,0.402,-9.537,-1.277,
38764260,-0.096,0.142,0.977,0.42,-9.257,-1.522,
38764270,-0.093,0.146,0.974,0.752,-9.362,-2.065,
38764280,-0.095,0.151,0.975,0.735,-8.855,-2.415,
38764290,-0.12,0.144,0.983,0.402,-9.397,-2.852,
38764300,-0.122,0.136,0.987,-0.245,-9.957,-2.012,
38764310,-0.111,0.134,0.99,-0.962,-11.2,-0.997,
38764320,-0.114,0.131,0.992,-1.627,-11.462,-0.315,
38764330,-0.106,0.132,0.989,-2.275,-12.302,-0.052,
38764330,-0.097,0.135,0.981,-2.572,-12.302,-0.087,
38764350,-0.076,0.15,0.954,-2.31,-12.845,-0.367,
38764350,-0.092,0.193,0.944,-2.047,-13.02,-0.367,
38764370,-0.108,0.149,0.967,-4.165,-15.347,-0.822,
38764370,-0.083,0.144,0.97,-4.952,-16.45,-0.682,
38764390,-0.119,0.154,0.972,-4.602,-17.062,-0.647,
38764390,-0.082,0.134,0.98,-5.722,-17.517,0.42,
38764410,-0.069,0.133,0.981,-4.585,-17.08,1.102,
38764410,-0.099,0.141,0.978,-3.832,-15.837,1.312,
38764420,-0.096,0.143,0.975,-3.762,-15.925,1.837,
38764430,-0.093,0.152,0.978,-3.727,-16.1,2.502,
38764440,-0.102,0.139,0.987,-5.005,-17.01,3.01,
38764450,-0.09,0.137,0.984,-5.705,-18.375,4.06,
38764460,-0.075,0.142,0.983,-5.862,-19.407,5.18,
38764470,-0.062,0.129,0.988,-6.685,-20.265,5.792,
38764480,-0.051,0.132,0.98,-6.527,-20.195,6.317,
38764490,-0.052,0.142,0.975,-6.422,-20.002,6.387,
38764500,-0.043,0.136,0.973,-7.332,-19.88,6.055,
38764510,-0.039,0.134,0.979,-7.682,-19.74,5.722,
