#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
65225760,0.283,-1.006,-0.602,-146.597,54.635,111.3,
65225770,0.173,-1.049,-0.661,-160.142,-25.76,136.517,
65225780,0.389,-1.154,-0.787,-165.147,-106.505,159.04,
65225790,0.812,-1.272,-1.232,-158.847,-164.902,159.512,
65225800,0.222,-1.896,-0.135,-93.66,-202.842,161.84,
65225810,-1.689,-1.998,1.825,113.75,-414.26,209.475,
65225820,1.552,-1.457,-1.997,341.88,-67.742,302.592,
65225830,-1.97,1.994,1.501,563.71,-318.955,109.182,
65225830,0.916,1.523,1.075,380.66,-207.217,-97.632,
65225850,-1.797,-1.889,1.964,274.942,-187.267,-64.592,
65225850,0.33,0.906,1.911,351.68,-226.957,-336.945,
65225870,1.745,0.68,1.903,244.545,-200.235,-314.282,
65225870,1.998,1.336,1.751,68.407,-118.282,-179.077,
65225890,1.997,1.216,1.581,-83.737,-41.405,-28.21,
65225890,1.204,0.147,1.069,-185.36,-5.845,113.715,
65225910,-0.171,-0.412,0.689,-183.767,-28.647,168.735,
65225910,-1.069,-1.236,0.496,-114.992,-86.922,176.925,
65225920,-0.279,-1.077,0.139,-48.842,-103.845,134.382,
65225930,-0.83,-1.196,0.244,9.03,-67.585,59.85,
65225940,-0.411,-1.156,0.336,36.242,-37.257,-8.662,
65225950,-0.285,-0.761,0.535,75.232,-15.487,-70.63,
65225960,0.209,-0.527,0.853,101.377,-1.907,-105.105,
65225970,0.483,-0.03,1.168,97.317,2.992,-104.685,
65225980,0.753,0.168,1.287,66.85,2.31,-82.915,
65225990,0.642,0.118,1.316,25.13,1.785,-44.94,
65226000,0.603,0.056,1.3,-16.117,-1.382,-5.985,
65226010,0.302,-0.174,1.269,-58.275,-1.295,22.855,
65226020,0.229,-0.178,1.228,-91.052,-2.835,30.992,
65226030,0.199,-0.268,1.235,-126.385,4.532,29.33,
65226040,0.252,-0.186,1.352,-163.94,18.445,22.785,
65226050,0.365,-0.138,1.417,-212.485,34.737,15.417,
65226060,0.377,-0.085,1.562,-272.825,48.912,10.885,
65226070,0.002,0.023,1.839,-342.65,43.505,8.82,
65226080,-0.188,-0.065,1.891,-407.295,-6.247,-5.67,
65226090,0.823,-1.066,1.752,-473.9,-33.285,-7.315,
65226100,0.753,-1.998,1.732,-499.415,41.755,39.585,
65226110,1.121,-1.848,0.606,-436.747,174.16,54.88,
65226120,1.434,-1.998,-1.577,-410.322,248.867,-11.34,
65226130,0.525,-1.998,-1.145,-301.017,227.587,-118.562,
65226140,-1.873,-1.88,-0.728,-137.445,130.882,-212.73,
65226150,-1.998,-0.626,-0.467,37.572,-68.39,-154.07,
65226160,-1.256,0.021,-0.4,43.277,-260.12,4.917,
65226170,-0.093,-0.269,-0.005,-46.497,-329.14,139.982,
65226180,0.385,-0.366,0.521,-124.81,-311.5,190.662,
65226190,0.714,-0.013,0.842,-150.255,-255.832,177.082,
65226200,0.771,0.099,1.087,-149.397,-182.28,148.452,
65226210,0.567,0.319,1.253,-122.78,-121.8,104.037,
65226220,0.492,0.821,1.387,-76.475,-78.4,55.877,
65226230,0.476,0.922,1.385,-45.29,-41.44,21.822,
65226240,0.203,0.67,1.389,-19.652,-11.672,5.425,
65226250,0.02,0.396,1.271,14.84,-0.735,-6.265,
65226260,0,0.151,1.053,66.237,-6.352,-7.91,
65226260,-0.011,-0.131,0.702,130.585,-15.89,-10.08,
65226270,-0.042,-0.257,0.327,201.18,-20.422,-11.392,
65226280,-0.117,-0.274,-0.037,260.4,-20.475,-7.84,
65226290,-0.224,-0.187,-0.295,301.875,-18.34,7.962,
65226300,-0.319,-0.104,-0.415,313.915,-16.485,37.187,
65226310,-0.397,-0.157,-0.46,291.777,-13.457,71.33,
65226320,-0.383,-0.325,-0.517,254.922,-5.547,105.017,
65226330,-0.277,-0.535,-0.611,224.997,11.252,135.345,
65226340,-0.2,-0.71,-0.842,205.957,32.602,151.462,
65226350,-0.046,-0.786,-1.174,193.9,58.677,148.627,
65226360,0.341,-0.707,-1.377,161.612,100.45,140.7,
65226370,0.563,-0.699,-1.555,86.695,151.287,118.037,
65226380,0.589,-0.986,-1.697,-2.887,205.187,77.175,
65226390,0.575,-1.311,-1.751,-72.782,261.257,20.597,
65226400,0.541,-1.502,-1.709,-111.492,311.342,-61.932,
65226410,0.01,-1.64,-0.873,-121.275,353.185,-145.652,
65226420,-1.641,-1.998,1.988,0.805,149.555,-196.63,
65226430,0.467,-1.937,-1.117,264.477,-173.442,-176.592,
65226440,0.369,1.801,0.88,557.585,40.145,-167.37,
65226450,-1.376,1.997,0.979,565.705,-188.107,-428.522,
65226460,-0.669,-0.582,1.998,450.38,-311.78,-281.96,
65226470,1.998,0.418,1.766,297.692,-306.477,-197.015,
65226480,1.716,1.31,1.415,81.217,-93.677,-183.067,
65226490,1.322,-1.479,1.646,-234.797,78.295,66.482,
65226500,-0.116,0.172,1.387,-256.427,94.675,73.552,
65226510,-0.608,-0.494,0.363,-261.66,57.54,96.932,
65226520,-0.738,-1.833,-0.105,-215.005,29.995,74.322,
65226530,-0.669,-1.44,-0.024,-89.582,-9.31,37.502,
65226540,-0.446,-1.155,0.043,33.862,-33.985,-2.835,
65226550,0.214,-0.919,0.299,109.445,-51.52,-38.832,
65226560,0.617,-0.325,0.91,158.375,-51.397,-47.792,
65226570,0.531,0.234,1.434,151.41,-39.602,-20.002,
65226580,0.383,0.2,1.412,93.065,-27.965,13.65,
65226580,0.063,0.044,1.274,38.272,-16.1,25.917,
65226600,-0.09,-0.103,1.298,-2.835,-14.84,21.192,
65226600,0.243,-0.064,1.204,-36.067,-23.712,13.16,
65226620,0.42,-0.258,1.079,-68.337,-21.437,15.82,
65226620,0.5,-0.162,1.15,-94.29,-10.815,25.602,
65226640,0.522,-0.071,1.29,-124.337,4.655,41.335,
65226640,0.566,-0.089,1.339,-162.995,24.185,57.032,
65226660,0.547,-0.069,1.401,-217.192,47.197,69.09,
65226660,0.584,0.046,1.37,-280.35,72.257,72.73,
65226670,0.392,0.105,1.317,-348.862,101.85,80.115,
65226680,-0.256,0.12,1.468,-417.462,107.117,80.832,
65226690,0.031,-0.022,1.775,-492.537,98.332,67.165,
65226700,1.507,-1.538,1.176,-557.567,135.73,62.002,
65226710,1.998,-1.998,0.864,-572.512,268.502,103.11,
65226720,1.362,-1.998,-0.758,-547.277,373.66,34.51,
65226730,1.998,-1.998,-0.997,-412.212,469.437,-98.245,
65226740,0.063,-1.998,-0.921,-188.107,505.697,-247.275,
65226750,-1.998,-1.995,-0.949,210.227,381.482,-450.257,
65226760,-1.998,-0.219,-0.778,424.865,137.322,-558.582,
65226770,-1.998,0.586,-0.801,343.455,-63.07,-514.797,
65226780,-1.998,0.951,-0.64,170.345,-143.29,-351.295,
65226790,-1.998,0.707,0.081,0.892,-144.655,-174.265,
65226800,-1.998,0.219,0.731,-110.075,-136.342,-32.987,
65226810,-1.979,-0.18,1.187,-131.442,-147.297,80.22,
65226820,-0.704,0.489,1.032,-88.987,-136.412,157.587,
65226830,0.543,0.821,1.082,-45.29,-48.37,225.977,
65226840,0.604,0.369,1.082,-25.55,34.51,227.797,
65226850,0.419,-0.22,0.957,26.565,82.372,208.477,
65226860,0.611,-0.234,0.8,119.332,87.115,194.827,
65226870,0.447,0.014,0.772,185.587,61.792,210.56,
65226880,0.726,-0.203,0.401,199.692,28.682,266.087,
65226890,0.995,-0.518,0.126,212.467,-8.277,294.245,
