#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
52247510,-1.003,0.255,0.05,-6.807,6.527,6.947,
52247520,-1.023,0.266,0.047,-5.617,2.835,5.267,
52247530,-1.024,0.265,0.052,-4.112,-2.292,2.38,
52247540,-1.015,0.265,0.068,-2.38,-7.472,-0.805,
52247550,-1.007,0.27,0.084,-0.84,-11.882,-3.255,
52247560,-0.995,0.265,0.09,-0.227,-14.577,-5.057,
52247570,-0.968,0.249,0.099,0.245,-15.032,-6.282,
52247580,-0.951,0.239,0.109,0.297,-13.965,-6.177,
52247590,-0.947,0.244,0.119,0.262,-12.022,-5.04,
52247600,-0.959,0.257,0.113,-0.472,-9.957,-3.29,
52247610,-0.972,0.256,0.096,-1.155,-8.172,-2.117,
52247620,-0.976,0.251,0.086,-1.207,-7.49,-1.89,
52247630,-0.979,0.251,0.09,-0.42,-7.98,-2.485,
52247640,-0.978,0.256,0.1,0.07,-9.555,-3.535,
52247650,-0.975,0.259,0.119,0.49,-10.85,-4.55,
52247660,-0.973,0.249,0.122,0.035,-11.06,-5.162,
52247670,-0.957,0.243,0.124,0.087,-10.237,-5.04,
52247670,-0.958,0.244,0.128,0.315,-8.592,-4.042,
52247690,-0.963,0.24,0.122,-0.14,-6.912,-3.272,
52247690,-0.971,0.246,0.128,-0.262,-5.95,-2.677,
52247710,-0.982,0.248,0.135,-0.665,-5.302,-2.362,
52247710,-0.983,0.245,0.142,-1.295,-4.532,-2.415,
52247730,-0.965,0.239,0.14,-2.135,-3.342,-2.205,
52247730,-0.974,0.236,0.139,-2.8,-1.925,-1.33,
52247750,-0.974,0.232,0.135,-3.605,-0.455,-0.612,
52247750,-0.971,0.232,0.13,-4.182,1.032,0.385,
52247760,-0.988,0.234,0.117,-4.322,2.205,1.347,
52247770,-0.999,0.235,0.102,-3.972,1.662,1.627,
52247780,-1.003,0.244,0.092,-2.87,-0.315,1.155,
52247790,-1.008,0.246,0.082,-1.785,-3.36,-0.157,
52247800,-1,0.247,0.076,-0.542,-6.107,-1.925,
52247810,-1.005,0.253,0.078,0.717,-8.715,-3.71,
52247820,-0.997,0.252,0.078,1.435,-10.465,-5.582,
52247830,-1.001,0.25,0.083,2.38,-12.005,-7.14,
52247840,-0.991,0.248,0.082,3.552,-13.23,-8.505,
52247850,-1.001,0.238,0.105,4.217,-14.91,-9.87,
52247860,-0.981,0.233,0.108,3.902,-16.45,-11.48,
52247870,-0.975,0.232,0.144,5.145,-17.955,-11.777,
52247880,-0.963,0.218,0.15,3.937,-18.41,-11.935,
52247890,-0.947,0.204,0.179,3.325,-17.71,-10.395,
52247900,-0.949,0.206,0.19,1.05,-15.382,-6.562,
52247910,-0.956,0.199,0.188,-0.717,-12.302,-3.622,
52247920,-0.951,0.202,0.176,-1.295,-8.785,-2.047,
52247930,-0.952,0.21,0.171,-1.767,-5.512,0.42,
52247940,-0.962,0.217,0.167,-2.66,-2.257,2.835,
52247950,-0.975,0.225,0.15,-3.062,0.21,4.165,
52247960,-0.983,0.229,0.147,-2.73,1.05,4.34,
52247970,-0.981,0.225,0.15,-3.325,1.277,3.797,
52247980,-0.976,0.22,0.157,-3.465,1.837,3.797,
52247990,-0.974,0.217,0.157,-4.025,3.027,4.637,
52248000,-0.976,0.215,0.151,-4.76,4.445,5.88,
52248010,-0.972,0.215,0.154,-5.39,5.932,7.175,
52248010,-0.968,0.215,0.147,-6.457,7.822,8.54,
52248030,-0.972,0.224,0.136,-7.087,9.852,9.922,
52248030,-0.976,0.234,0.135,-7.752,11.567,10.465,
52248050,-0.973,0.256,0.113,-9.187,13.545,9.747,
52248050,-0.982,0.256,0.104,-7.927,12.477,8.907,
52248070,-0.972,0.259,0.105,-6.212,9.782,7.542,
52248070,-0.967,0.264,0.108,-5.022,7.017,6.09,
52248080,-0.982,0.257,0.108,-3.99,4.83,4.48,
52248090,-0.989,0.246,0.111,-3.622,2.24,2.45,
52248100,-0.977,0.238,0.121,-3.255,0.682,1.382,
52248110,-0.972,0.232,0.122,-3.062,0.717,1.662,
52248120,-0.98,0.232,0.116,-3.22,1.977,2.502,
52248130,-0.993,0.231,0.108,-2.887,2.59,3.237,
