#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
42623250,-0.534,0.131,0.827,-10.535,29.872,25.585,
42623260,-0.583,0.132,0.823,-12.215,27.457,26.18,
42623270,-0.636,0.14,0.827,-12.827,20.58,26.232,
42623280,-0.667,0.145,0.812,-14.525,9.52,25.445,
42623290,-0.681,0.123,0.803,-17.867,-5.792,22.557,
42623300,-0.661,0.129,0.808,-16.52,-20.597,20.282,
42623310,-0.642,0.155,0.815,-20.597,-34.142,20.947,
42623320,-0.609,0.16,0.825,-27.947,-44.66,21.315,
42623330,-0.586,0.15,0.834,-35.822,-52.272,21.28,
42623340,-0.533,0.124,0.838,-43.347,-59.412,23.152,
42623350,-0.478,0.131,0.83,-47.705,-64.995,25.322,
42623360,-0.422,0.153,0.831,-50.347,-68.845,28.122,
42623370,-0.368,0.104,0.843,-50.61,-68.932,28.542,
42623380,-0.328,0.093,0.893,-47.985,-65.852,25.305,
42623390,-0.331,0.074,0.947,-46.515,-63.332,22.96,
42623400,-0.313,0.063,0.977,-48.282,-63.21,19.39,
42623410,-0.335,0.05,0.995,-51.555,-64.785,17.885,
42623420,-0.373,0.036,1.002,-55.352,-70.98,17.08,
42623430,-0.335,0.005,0.991,-58.625,-81.707,12.057,
42623440,-0.28,-0.006,0.978,-61.372,-88.865,5.827,
42623450,-0.25,-0.012,0.99,-62.072,-93.1,1.627,
42623460,-0.177,0.016,0.97,-68.092,-92.907,-4.06,
42623470,-0.16,-0.047,0.971,-74.585,-86.082,-6.387,
42623480,-0.177,-0.097,0.999,-76.457,-78.662,-10.517,
42623490,-0.2,-0.111,1.033,-77.787,-77.717,-15.89,
42623500,-0.194,-0.267,1.067,-71.365,-83.195,-16.765,
42623510,-0.085,-0.388,1.076,-51.502,-88.865,-14.56,
42623510,0.023,-0.474,1.11,-22.995,-83.79,-9.782,
42623530,0.043,-0.441,1.125,10.377,-63.752,-5.302,
42623530,-0.098,-0.404,1.136,39.077,-44.975,-2.362,
42623550,-0.178,-0.366,1.089,62.247,-37.397,-1.085,
42623550,-0.173,-0.295,1.071,81.567,-36.19,-3.15,
42623570,-0.133,-0.235,1.077,97.51,-40.267,-11.497,
42623570,-0.017,-0.087,1.019,98.21,-44.205,-18.427,
42623580,0.007,-0.224,0.984,82.005,-54.862,-21.035,
42623590,0.35,-0.149,0.965,88.375,-37.222,-29.295,
42623600,0.305,-0.029,0.97,89.407,-1.995,-30.065,
42623610,0.146,-0.062,0.987,83.457,29.942,-29.225,
42623620,0.035,-0.091,0.998,79.152,45.43,-27.23,
42623630,-0.033,-0.044,1.022,79.17,52.377,-27.282,
42623640,-0.092,-0.014,1.034,78.347,53.532,-28.665,
42623650,-0.158,-0.009,1.035,77.157,50.68,-32.095,
42623660,-0.208,0.017,1.026,76.825,44.607,-39.13,
42623670,-0.248,0.035,1.006,76.825,35.297,-47.32,
42623680,-0.239,0.036,0.968,77.7,24.15,-55.247,
42623690,-0.226,0.053,0.925,79.572,14.42,-61.25,
42623700,-0.237,0.084,0.904,81.62,7,-63.612,
