#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
59921710,0.311,-0.262,-0.531,465.272,-159.705,-402.622,
59921720,-0.849,1.997,0.51,362.215,-150.745,-142.817,
59921730,1.998,0.516,1.55,304.57,-195.247,-163.292,
59921740,1.066,-0.787,1.522,335.842,-31.657,-118.562,
59921750,1.353,0.604,1.799,301.385,5.04,-63.14,
59921760,1.443,0.828,1.914,216.65,22.75,33.25,
59921760,0.223,0.323,1.867,95.97,16.292,84.227,
59921780,0.005,0.073,1.336,9.992,-5.215,97.23,
59921780,-0.1,-0.546,0.915,-36.68,-12.582,76.335,
59921800,-0.11,-0.596,0.762,-39.707,-5.18,40.757,
59921800,-0.028,-0.709,0.589,-28.84,2.782,6.072,
59921820,0.287,-0.558,0.718,-10.605,7.507,-18.655,
59921820,0.639,-0.39,0.82,-1.137,11.41,-24.902,
59921830,0.64,-0.392,0.87,1.505,17.045,-11.13,
59921840,0.556,-0.357,0.886,0.997,19.075,7.087,
59921850,0.324,-0.314,1.02,-4.27,22.907,18.305,
59921860,0.201,-0.24,1.159,-19.827,20.37,20.317,
59921870,0.189,-0.181,1.223,-48.335,17.832,18.462,
59921880,0.207,-0.181,1.23,-82.775,12.827,17.08,
59921890,0.291,-0.122,1.228,-119.105,10.22,19.442,
59921900,0.335,-0.169,1.177,-154.105,3.762,27.737,
59921910,0.33,-0.27,1.105,-183.837,-0.717,42.892,
59921920,0.287,-0.299,1.039,-206.78,-9.38,56.7,
59921930,0.179,-0.412,1.043,-224.577,-19.145,67.882,
59921940,0.143,-0.497,1.05,-241.185,-37.87,79.957,
59921950,0.473,-0.522,1.244,-256.445,-50.557,97.09,
59921960,0.703,-0.906,1.519,-263.06,-36.942,110.53,
59921970,0.718,-1.614,1.949,-261.187,-7.612,109.83,
59921980,0.695,-1.998,1.948,-230.3,-5.582,79.992,
59921990,-0.269,-1.998,1.451,-150.622,-60.882,29.295,
59922000,-0.902,-1.818,0.77,-20.037,-77,57.102,
59922010,-0.273,-1.963,0.901,57.067,-28.892,157.412,
59922020,-0.132,-1.282,-0.207,174.072,-94.832,162.347,
59922030,1.769,0.16,-1.103,220.867,-5.845,206.692,
59922040,1.969,1.114,-1.189,117.722,48.457,157.517,
59922050,1.263,0.93,-0.893,10.622,1.382,-1.347,
59922060,0.692,0.448,-0.22,-68.39,-13.877,-83.965,
59922070,0.38,0.198,0.166,-82.775,-28.857,-130.497,
59922080,0.018,0.194,0.2,-71.347,-37.047,-145.092,
59922090,-0.525,0.036,0.22,-56.875,-39.637,-151.865,
59922100,-0.865,-0.141,0.183,-44.677,-36.907,-130.62,
59922110,-0.922,-0.302,0.088,-29.102,-34.562,-98.945,
59922120,-0.742,-0.338,-0.037,-17.867,-28.35,-68.495,
59922130,-0.627,-0.444,-0.136,-14.087,-16.555,-41.422,
59922140,-0.41,-0.504,-0.235,-4.445,-1.207,-29.067,
59922150,-0.469,-0.574,-0.298,-5.897,12.355,-13.055,
59922160,-0.685,-0.613,-0.363,-15.662,9.1,5.722,
59922170,-0.789,-0.739,-0.415,-24.727,-17.115,25.235,
59922170,-0.618,-0.592,-0.435,-33.32,-39.83,55.912,
59922190,-0.101,-0.549,-0.385,-41.16,-59.85,41.247,
59922190,-0.062,-0.499,-0.946,-69.93,-36.96,30.835,
59922210,1.238,-1.379,-0.126,-82.88,82.057,-6.842,
59922210,1.166,-1.998,1.711,-53.357,151.602,-89.705,
59922230,-0.234,-1.998,1.962,81.48,2.992,-201.355,
59922230,1.589,-1.314,-1.748,412.3,103.565,-331.467,
59922250,-1.866,1.961,-0.078,456.767,105.945,-285.81,
59922250,0.996,-0.022,1.217,309.155,-82.582,-230.37,
59922260,1.998,-0.353,0,435.242,49.122,-191.485,
59922270,1.765,-0.465,0.784,443.852,127.347,-118.912,
59922280,1.867,0.739,1.205,474.81,160.755,-31.395,
