#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
50050250,-0.638,-0.155,0.737,-24.727,-86.677,-3.097,
50050260,-0.561,-0.109,0.75,-11.847,-83.405,-5.792,
50050270,-0.587,-0.05,0.786,-4.41,-76.842,-8.872,
50050280,-0.562,-0.039,0.803,-3.797,-70.21,-10.15,
50050290,-0.495,-0.041,0.792,-1.995,-62.527,-11.497,
50050300,-0.485,-0.036,0.795,3.237,-53.987,-10.167,
50050310,-0.494,0.004,0.825,7.087,-45.447,-6.265,
50050320,-0.488,0.02,0.819,7.805,-36.995,-1.452,
50050330,-0.507,0.039,0.863,6.37,-30.38,-1.347,
50050340,-0.573,0.028,0.844,2.362,-28.77,0.49,
50050350,-0.521,0.028,0.833,2.905,-27.755,-1.33,
50050360,-0.532,0.028,0.836,4.725,-26.477,-1.452,
50050370,-0.562,0.039,0.839,5.11,-26.967,-3.622,
50050380,-0.566,0.028,0.837,6.807,-27.912,-5.32,
50050390,-0.565,0.019,0.843,9.275,-30.625,-7.665,
50050400,-0.564,0.016,0.839,10.482,-32.987,-10.972,
50050410,-0.564,0.002,0.842,12.862,-34.457,-13.597,
50050420,-0.559,0.008,0.852,14.42,-34.475,-14.612,
50050430,-0.549,0.02,0.852,12.565,-33.547,-15.592,
50050440,-0.537,0.018,0.859,10.657,-30.327,-15.032,
50050450,-0.517,0.015,0.855,6.667,-25.287,-12.792,
50050460,-0.528,0.007,0.856,2.257,-18.865,-10.15,
50050470,-0.541,-0.003,0.851,-1.715,-13.79,-6.58,
50050480,-0.544,-0.014,0.86,-5.267,-10.202,-1.242,
50050490,-0.559,-0.016,0.861,-9.852,-8.592,3.237,
50050500,-0.572,-0.025,0.857,-13.457,-7.262,5.355,
50050510,-0.567,-0.032,0.85,-15.102,-7.822,7.525,
50050520,-0.56,-0.066,0.824,-14.14,-7.787,10.22,
50050530,-0.542,-0.078,0.815,-10.377,-6.825,10.01,
50050540,-0.539,-0.083,0.816,-2.94,-4.83,9.38,
50050550,-0.558,-0.071,0.822,6.405,-4.165,7.595,
50050560,-0.581,-0.034,0.86,14.892,-9.957,3.342,
50050570,-0.512,0.023,0.851,17.36,-13.387,0.84,
50050580,-0.504,0.051,0.87,15.645,-7.997,0.262,
50050580,-0.552,0.026,0.85,15.4,-6.282,-4.41,
50050590,-0.553,0.02,0.845,17.815,-8.277,-8.4,
50050600,-0.546,0.04,0.842,18.322,-13.107,-9.607,
50050610,-0.528,0.057,0.837,17.92,-16.397,-10.99,
50050620,-0.511,0.057,0.834,18.007,-18.13,-11.462,
50050630,-0.521,0.06,0.831,17.85,-18.655,-11.147,
50050640,-0.524,0.059,0.829,16.065,-19.897,-12.74,
50050650,-0.517,0.06,0.827,13.615,-21.56,-15.225,
50050660,-0.515,0.053,0.829,10.237,-23.012,-15.697,
50050670,-0.513,0.041,0.818,5.267,-23.292,-15.487,
50050680,-0.538,0.003,0.815,3.412,-23.24,-14.577,
50050690,-0.556,-0.026,0.813,1.872,-23.38,-12.477,
50050700,-0.565,-0.045,0.801,0.997,-24.255,-11.165,
50050710,-0.609,-0.079,0.817,5.18,-27.72,-9.607,
50050720,-0.575,-0.052,0.835,6.317,-31.132,-8.365,
50050730,-0.56,-0.046,0.854,4.97,-31.43,-7.682,
50050740,-0.581,-0.072,0.859,4.427,-32.515,-7.14,
50050750,-0.53,-0.081,0.847,2.345,-31.15,-5.162,
50050760,-0.505,-0.071,0.873,2.922,-25.41,-2.38,
50050770,-0.516,-0.064,0.879,1.837,-19.722,2.345,
50050780,-0.52,-0.062,0.898,0.595,-14.595,5.985,
50050790,-0.505,-0.06,0.896,0.227,-12.495,7.542,
50050800,-0.456,-0.048,0.894,0.455,-8.522,8.627,
50050810,-0.467,-0.041,0.883,0.577,-4.952,12.18,
50050820,-0.455,-0.034,0.87,0.787,0.07,15.925,
50050830,-0.468,-0.024,0.862,0.945,4.375,17.885,
50050840,-0.505,-0.012,0.858,1.137,5.635,17.71,
50050850,-0.511,0.014,0.858,0.595,3.78,16.152,
50050860,-0.531,0.039,0.847,-2.38,-0.612,14.98,
50050870,-0.548,0.053,0.837,-7.367,-7.822,12.582,
50050880,-0.539,0.055,0.819,-13.475,-16.257,9.275,
50050890,-0.511,0.048,0.806,-18.042,-24.22,6.335,
50050900,-0.449,0.051,0.818,-21.927,-27.72,4.077,
50050910,-0.239,-0.066,0.858,-24.92,-19.25,7.017,
50050920,-0.318,-0.101,0.891,-11.48,8.89,15.172,
50050920,-0.582,0.038,0.988,2.292,17.167,14.962,
50050940,-0.582,0.115,1.015,-8.347,10.92,13.072,
50050940,-0.508,0.028,0.944,-24.587,3.5,12.792,
50050960,-0.536,-0.086,0.881,-28.595,-0.157,13.247,
50050960,-0.58,-0.086,0.864,-21.122,-2.975,12.11,
50050980,-0.603,-0.037,0.87,-12.845,-8.435,6.947,
50050980,-0.574,-0.001,0.869,-10.115,-14.857,2.152,
50051000,-0.561,-0.006,0.868,-11.55,-20.3,-0.455,
50051000,-0.517,-0.016,0.868,-12.565,-23.327,-2.992,
50051010,-0.424,-0.046,0.836,-12.425,-24.342,-3.972,
50051020,-0.398,-0.02,0.859,-9.432,-16.59,-1.785,
50051030,-0.523,0.014,0.875,-10.342,-14.717,3.062,
50051040,-0.504,0.017,0.877,-15.19,-16.87,3.325,
50051050,-0.433,-0.018,0.859,-19.075,-18.235,3.727,
50051060,-0.425,-0.048,0.844,-18.952,-15.96,5.232,
50051070,-0.429,-0.047,0.851,-14.14,-12.53,5.985,
50051080,-0.41,-0.023,0.878,-10.465,-8.925,6.335,
50051090,-0.41,-0.023,0.89,-9.957,-5.127,7.262,
50051100,-0.422,-0.051,0.898,-10.447,-1.015,8.085,
50051110,-0.466,-0.082,0.896,-9.345,0.245,8.557,
50051120,-0.476,-0.093,0.884,-5.74,-0.297,8.172,
50051130,-0.482,-0.081,0.875,-0.455,-0.875,7.21,
50051140,-0.499,-0.064,0.87,2.957,-1.102,6.002,
50051150,-0.515,-0.068,0.859,5.127,-2.73,5.565,
50051160,-0.5,-0.078,0.852,8.225,-4.567,4.935,
50051170,-0.486,-0.073,0.854,11.97,-6.632,4.952,
50051180,-0.477,-0.062,0.862,15.137,-8.312,7.525,
50051190,-0.458,-0.065,0.857,18.34,-9.065,11.97,
50051200,-0.444,-0.038,0.877,22.452,-6.37,16.012,
50051210,-0.437,-0.011,0.884,23.642,-4.287,16.87,
50051220,-0.4,0.006,0.883,23.222,-0.35,14.507,
50051230,-0.361,0.013,0.86,22.452,7.612,14.262,
50051240,-0.399,0.042,0.878,21.665,19.442,15.872,
50051250,-0.495,0.052,0.89,16.397,25.235,17.412,
50051260,-0.531,0.033,0.884,10.745,25.182,16.082,
50051260,-0.529,0.001,0.874,8.067,22.907,14.665,
50051280,-0.538,-0.008,0.871,8.907,22.365,13.895,
50051280,-0.55,0.01,0.884,11.917,22.33,12.512,
50051300,-0.571,0.046,0.898,12.635,21.962,10.552,
50051300,-0.606,0.069,0.9,9.887,18.62,8.837,
50051320,-0.616,0.079,0.896,5.477,12.652,7.612,
50051320,-0.589,0.1,0.88,-0.105,4.9,7.787,
50051330,-0.545,0.114,0.879,-5.372,-0.087,8.067,
50051340,-0.514,0.122,0.881,-11.48,-1.627,6.685,
50051350,-0.483,0.098,0.863,-18.9,0.385,6.965,
50051360,-0.467,0.09,0.862,-23.747,4.602,7.42,
50051370,-0.483,0.077,0.834,-27.597,8.225,8.487,
50051380,-0.502,0.081,0.85,-28.402,9.59,10.745,
50051390,-0.549,0.044,0.82,-34.265,6.737,15.12,
50051400,-0.581,0.041,0.831,-36.365,0.14,10.097,
50051410,-0.6,-0.004,0.836,-35.857,-10.675,1.05,
50051420,-0.588,-0.037,0.839,-34.037,-23.397,-1.925,
50051430,-0.521,-0.038,0.884,-31.762,-35.84,-4.462,
50051440,-0.284,-0.104,0.896,-29.12,-31.5,-2.327,
50051450,-0.438,-0.148,0.921,-18.095,-14.542,5.67,
50051460,-0.611,0.003,0.952,-11.865,-17.43,3.325,
50051470,-0.37,0.05,0.981,-22.837,-21.122,0.28,
50051480,-0.385,-0.133,0.899,-41.527,-13.772,7.63,
50051490,-0.61,-0.241,0.822,-39.882,-14.577,11.48,
