#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
49319320,-1.004,0.205,0.753,17.832,-13.352,52.08,
49319330,-0.848,0.217,0.728,26.075,-39.515,58.205,
49319340,-0.717,0.202,0.713,31.57,-52.342,55.352,
49319350,-0.645,0.258,0.708,36.47,-54.74,51.835,
49319360,-0.558,0.322,0.703,38.412,-48.212,49.227,
49319370,-0.58,0.295,0.683,36.347,-39.147,46.462,
49319380,-0.672,0.281,0.664,33.897,-38.465,44.782,
49319390,-0.64,0.285,0.637,36.627,-42.297,44.712,
49319400,-0.673,0.31,0.622,42.63,-51.52,42.665,
49319410,-0.735,0.293,0.601,44.852,-66.71,43.54,
49319420,-0.691,0.323,0.588,48.37,-83.982,42.245,
49319430,-0.699,0.282,0.584,52.885,-106.61,45.167,
49319440,-0.506,0.259,0.618,61.845,-120.732,47.88,
49319450,-0.312,0.341,0.693,71.05,-121.905,43.995,
49319460,-0.199,0.458,0.75,72.747,-104.247,38.972,
49319470,-0.444,0.376,0.774,59.745,-92.995,37.52,
49319480,-0.421,0.262,0.718,57.785,-95.357,36.015,
49319490,-0.143,0.48,0.844,74.847,-90.212,34.93,
49319500,-0.37,0.591,0.943,66.185,-81.13,44.537,
49319510,-0.444,0.585,0.939,43.26,-75.6,42.84,
49319520,-0.446,0.579,0.913,34.142,-71.452,35.945,
49319530,-0.583,0.524,0.86,30.135,-76.58,32.462,
49319540,-0.376,0.536,0.839,33.915,-81.55,28.385,
49319550,-0.234,0.507,0.799,36.995,-74.637,32.235,
49319560,-0.437,0.464,0.803,37.87,-64.75,38.482,
49319570,-0.5,0.419,0.771,37.905,-67.742,40.232,
49319580,-0.411,0.407,0.734,46.427,-78.557,47.6,
49319590,-0.373,0.436,0.728,56.49,-86.1,56.577,
49319600,-0.272,0.478,0.711,56.84,-86.642,54.932,
49319610,-0.16,0.518,0.681,51.117,-75.232,44.677,
49319620,-0.145,0.554,0.675,42.927,-54.652,32.497,
