#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
49856950,-0.308,-0.253,0.949,-28,4.287,-6.965,
49856960,-0.296,-0.251,0.927,-23.31,1.12,-10.482,
49856970,-0.276,-0.251,0.907,-19.547,-0.98,-13.475,
49856980,-0.271,-0.248,0.88,-17.447,-1.82,-14.892,
49856990,-0.283,-0.259,0.847,-14.822,-2.59,-16.887,
49857000,-0.27,-0.261,0.831,-10.255,-1.54,-20.405,
49857010,-0.267,-0.251,0.822,-7.402,-0.017,-21.805,
49857010,-0.277,-0.259,0.816,-4.112,2.24,-22.032,
49857030,-0.261,-0.241,0.827,-1.627,5.355,-23.992,
49857030,-0.282,-0.258,0.821,-0.542,8.295,-21.63,
49857050,-0.313,-0.304,0.82,5.582,9.922,-21,
49857050,-0.301,-0.284,0.839,11.427,12.197,-24.202,
49857070,-0.29,-0.272,0.825,14.735,14.035,-25.357,
49857070,-0.285,-0.271,0.822,21.63,17.972,-27.037,
49857080,-0.287,-0.256,0.821,28.857,23.677,-29.96,
49857090,-0.285,-0.211,0.849,33.25,30.17,-32.847,
49857100,-0.287,-0.177,0.864,29.662,36.382,-33.11,
49857110,-0.298,-0.165,0.874,23.047,41.58,-31.535,
49857120,-0.327,-0.16,0.876,15.452,45.237,-28.14,
49857130,-0.351,-0.17,0.891,9.537,46.567,-23.712,
49857140,-0.352,-0.185,0.9,1.452,47.04,-21.997,
49857150,-0.336,-0.187,0.921,-9.012,48.877,-21.805,
49857160,-0.342,-0.219,0.919,-24.01,52.5,-20.23,
49857170,-0.348,-0.273,0.909,-35.262,56.56,-20.492,
49857180,-0.338,-0.298,0.901,-44.012,61.582,-19.897,
49857190,-0.346,-0.332,0.864,-51.065,65.957,-14.262,
49857200,-0.351,-0.349,0.829,-53.55,71.575,-6.72,
49857210,-0.383,-0.374,0.796,-51.677,77.577,2.52,
49857220,-0.422,-0.359,0.802,-50.592,84.717,12.302,
49857230,-0.477,-0.361,0.775,-56.035,89.565,20.825,
49857240,-0.533,-0.387,0.751,-58.747,92.645,25.235,
49857250,-0.578,-0.384,0.754,-59.587,92.592,28.122,
49857260,-0.633,-0.371,0.749,-62.79,88.252,33.302,
49857270,-0.642,-0.332,0.757,-63.105,77.595,40.285,
49857280,-1.004,-0.615,0.652,-44.397,51.677,66.36,
49857290,-0.781,-0.385,0.821,-21.245,27.772,30.012,
49857300,-0.848,-0.35,0.839,-21.98,2.397,27.685,
49857310,-0.837,-0.354,0.779,-28.507,-22.33,17.29,
49857320,-0.739,-0.358,0.765,-19.6,-40.932,0.14,
49857330,-0.681,-0.313,0.787,-8.085,-56.647,-2.1,
49857330,-0.678,-0.256,0.806,-2.117,-70.437,2.467,
49857350,-0.622,-0.209,0.829,1.295,-80.727,2.502,
49857350,-0.57,-0.191,0.831,-0.612,-86.432,4.952,
49857370,-0.532,-0.189,0.837,-2.205,-88.532,7.385,
49857370,-0.482,-0.166,0.875,-4.217,-85.627,6.877,
49857390,-0.446,-0.159,0.862,-10.307,-80.36,6.527,
49857390,-0.428,-0.182,0.887,-14.385,-73.115,6.632,
49857410,-0.416,-0.225,0.895,-18.585,-67.305,9.467,
49857410,-0.403,-0.279,0.903,-18.917,-61.722,10.78,
49857420,-0.387,-0.314,0.932,-16.292,-56.7,9.66,
49857430,-0.396,-0.36,0.951,-14.997,-53.655,7.682,
49857440,-0.378,-0.398,0.96,-13.125,-51.047,1.575,
49857450,-0.334,-0.412,0.974,-11.847,-48.842,-1.067,
49857460,-0.327,-0.473,0.936,-8.225,-48.65,1.925,
49857470,-0.281,-0.509,0.926,1.907,-46.672,0.577,
49857480,-0.245,-0.497,0.915,9.1,-42.105,0.07,
49857490,-0.23,-0.504,0.89,16.38,-34.79,-1.12,
49857500,-0.192,-0.484,0.888,24.867,-24.115,-6.072,
49857510,-0.172,-0.459,0.875,29.977,-12.407,-9.485,
49857520,-0.172,-0.425,0.874,34.405,-0.227,-11.62,
49857530,-0.183,-0.38,0.868,35.07,10.832,-12.022,
49857540,-0.196,-0.34,0.856,32.602,20.387,-11.287,
49857550,-0.212,-0.301,0.848,27.457,28.21,-10.15,
49857560,-0.245,-0.269,0.834,19.337,34.737,-8.89,
49857570,-0.281,-0.24,0.821,9.87,39.41,-8.96,
49857580,-0.314,-0.22,0.813,-0.735,42.332,-10.185,
49857590,-0.348,-0.208,0.809,-11.305,43.47,-12.81,
49857600,-0.377,-0.202,0.808,-21.21,43.365,-16.817,
49857610,-0.404,-0.215,0.804,-29.767,40.04,-20.597,
49857620,-0.424,-0.242,0.795,-34.44,35.577,-23.765,
49857630,-0.436,-0.262,0.794,-33.67,29.872,-25.935,
49857640,-0.45,-0.275,0.787,-28.437,23.415,-26.302,
49857650,-0.459,-0.277,0.787,-18.795,16.765,-27.475,
49857660,-0.461,-0.257,0.807,-8.12,11.742,-29.137,
49857670,-0.475,-0.239,0.819,-0.507,7.122,-30.065,
49857680,-0.485,-0.235,0.82,5.232,3.097,-32.042,
49857690,-0.485,-0.229,0.829,10.797,-1.505,-34.807,
49857700,-0.48,-0.222,0.837,15.68,-6.37,-36.242,
49857710,-0.467,-0.214,0.844,19.39,-11.672,-36.82,
49857720,-0.436,-0.215,0.861,21.542,-15.085,-36.627,
49857730,-0.403,-0.214,0.873,19.915,-16.782,-35.07,
49857740,-0.372,-0.218,0.882,15.032,-15.19,-32.235,
