#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
39777530,-0.126,-0.261,0.959,22.102,-12.687,-16.187,
39777540,0.005,-0.254,0.992,21.157,-9.362,-15.662,
39777550,0.089,-0.185,1.032,14.735,0.35,-12.757,
39777560,0.074,-0.14,1.005,1.645,14.472,-5.862,
39777570,0.079,-0.149,1.043,-12.302,30.782,0.437,
39777580,0.049,-0.132,1.066,-25.497,48.58,1.067,
39777590,-0.001,-0.18,1.063,-36.61,68.022,-2.345,
39777600,-0.02,-0.241,1.105,-49.525,85.942,-6.037,
39777610,-0.056,-0.189,1.137,-68.81,103.932,-8.207,
39777620,-0.279,-0.262,1.122,-99.872,122.885,-9.8,
39777630,-0.475,-0.289,1.156,-134.505,139.37,-14.175,
39777640,-0.732,-0.061,1.07,-169.26,130.217,-20.737,
39777650,-0.734,-0.248,1.012,-206.92,106.557,-28.647,
39777660,-0.753,-0.348,1.155,-230.23,80.272,-50.662,
39777670,-0.512,-0.581,1.517,-252.945,97.352,-68.04,
39777680,-0.328,-1.824,0.781,-276.395,145.897,-107.03,
39777690,-1.416,-1.998,0.571,-235.532,93.94,-141.54,
39777700,-0.585,-1.998,0.162,-65.275,29.137,-199.85,
39777710,-0.529,-1.814,-1.88,122.027,-9.695,-199.535,
39777720,-1.429,-0.14,-1.861,100.59,-28.105,-195.895,
39777730,-1.604,-0.121,-0.878,-89.127,-5.11,-99.435,
39777740,-1.273,-0.721,-0.006,-228.637,-8.627,93.012,
39777750,0.064,-0.231,0.313,-169.015,-53.41,241.552,
39777760,1.55,0.382,0.692,-127.855,-30.152,256.235,
39777770,1.98,0.511,0.882,-151.34,34.107,195.23,
39777780,1.579,0.701,0.888,-116.357,60.34,104.142,
39777790,0.85,0.897,0.637,-79.677,47.425,22.802,
39777800,0.274,0.864,0.214,-48.772,6.737,8.487,
39777810,0.283,0.693,-0.133,-42.927,-27.545,46.515,
39777820,0.231,0.04,-0.339,-59.062,-46.025,110.88,
39777830,0.535,-1.655,1.761,6.65,-44.695,148.61,
39777830,-1.701,-0.147,1.535,333.445,-34.23,220.255,
39777850,-1.998,-0.145,-0.451,451.167,-172.042,202.02,
39777850,-0.343,-0.812,1.58,218.697,-340.97,244.947,
39777870,-0.437,0.941,1.151,232.225,-272.142,143.482,
39777870,-1.379,-0.747,0.966,264.32,-248.342,16.537,
39777890,-0.26,0.256,1.24,264.582,-236.915,-34.3,
39777890,0.395,0.072,1.324,239.417,-223.422,-67.2,
39777910,0.813,-0.008,1.384,199.622,-182.647,-47.302,
39777910,0.537,0.305,1.274,143.692,-119.945,-19.092,
39777920,0.409,0.242,1.16,67.13,-66.01,-7.787,
39777930,0.26,0.071,1.077,8.925,-23.397,-7.332,
39777940,0.021,-0.165,1.027,-26.792,2.24,-3.675,
39777950,-0.134,-0.266,0.979,-43.435,13.107,1.767,
39777960,-0.146,-0.258,0.988,-49.665,14.455,6.422,
39777970,-0.146,-0.26,0.99,-53.795,14.665,10.08,
39777980,-0.088,-0.242,1.013,-61.915,15.155,11.007,
39777990,-0.123,-0.149,1.047,-71.452,19.092,13.51,
39778000,-0.137,-0.164,1.106,-89.845,24.167,15.12,
39778010,-0.176,-0.137,1.145,-115.377,29.662,11.497,
39778020,-0.176,-0.18,1.176,-145.162,30.642,8.557,
39778030,-0.215,-0.164,1.181,-176.155,29.505,3.29,
39778040,-0.312,-0.168,1.155,-208.337,21.805,-6.16,
39778050,-0.378,-0.256,1.071,-237.02,11.812,-16.502,
39778060,-0.308,-0.392,0.939,-253.382,1.522,-28.927,
39778070,-0.457,-0.316,0.96,-234.885,-12.652,-39.182,
39778080,-0.239,-0.462,0.968,-238.98,-26.932,-48.58,
39778090,-0.101,-0.518,1.068,-249.935,-29.33,-50.05,
39778100,0.028,-0.755,1.36,-257.53,-8.75,-42.822,
39778110,-0.049,-1.053,1.412,-234.395,26.005,-36.942,
39778120,-0.375,-1.229,1.286,-188.86,42.175,-37.572,
39778130,-0.178,-0.779,0.939,-125.405,32.445,-39.147,
39778140,-0.184,-0.324,0.893,-85.137,30.362,-48.125,
39778150,-0.051,-0.205,0.959,-37.187,9.205,-102.567,
39778160,1.031,0.074,1.663,26.075,59.815,-116.812,
39778170,1.106,0.026,1.072,166.127,104.492,-133.752,
39778170,-0.839,0.608,-0.71,253.837,48.93,-219.817,
39778190,-0.879,1.125,-1.968,266.105,121.905,-213.622,
39778190,-1.027,0.904,-1.559,170.117,160.86,-114.275,
39778210,-0.754,-0.442,-0.948,52.29,190.452,39.935,
39778210,0.15,-1.136,-1.061,62.545,155.067,167.142,
39778230,1.158,-1.207,-1.443,76.685,121.572,197.837,
39778230,0.798,-1.76,-0.939,22.925,116.48,143.517,
39778250,-0.565,-1.998,0.401,101.447,61.985,21.612,
39778250,-1.998,-0.435,-0.271,501.27,-78.33,158.235,
39778260,0.872,1.997,1.902,401.992,-198.975,90.72,
39778270,-0.8,-0.474,1.775,354.042,-166.967,170.467,
39778280,-1.998,-0.982,1.331,385.612,-229.215,67.077,
39778290,-0.197,0.099,1.537,300.177,-310.03,31.657,
39778300,1.177,1.309,0.561,87.202,-217.035,3.955,
39778310,0.417,-0.279,1.15,-35.385,-21.507,-29.802,
39778320,0.946,-0.488,1.089,-39.392,46.585,9.292,
39778330,-0.179,-0.312,0.985,-45.5,94.815,10.132,
39778340,-0.798,-0.902,0.861,-40.792,83.737,4.62,
39778350,-0.656,-0.308,0.9,-13.912,50.855,-5.652,
39778360,-0.353,-0.317,0.938,-4.97,24.465,-8.89,
39778370,-0.543,-0.377,0.9,4.97,8.032,-4.095,
39778380,-0.239,-0.166,0.966,14.437,-9.572,-5.425,
39778390,0.125,0.056,1.034,9.135,-10.482,-8.907,
39778400,-0.052,-0.103,0.987,-2.94,2.467,0.192,
39778410,-0.121,-0.179,0.974,-14.7,9.905,-0.07,
39778420,-0.013,-0.122,0.999,-18.095,14.087,-3.972,
39778430,0.005,-0.126,1.015,-24.552,24.272,-7.315,
39778440,0.072,-0.076,1.055,-35.017,37.397,-11.06,
39778450,-0.277,-0.187,0.997,-51.065,51.52,-8.19,
39778460,-0.41,-0.187,0.945,-61.285,49.752,-9.292,
39778470,-0.538,-0.429,0.937,-63.927,37.31,-16.887,
39778480,-0.301,-0.179,1.034,-70.56,22.68,-17.447,
39778490,-0.382,-0.232,1.084,-93.222,12.792,-15.82,
39778500,-0.368,-0.157,1.124,-122.867,-0.612,-17.43,
39778510,-0.409,-0.239,1.138,-159.827,-9.887,-23.397,
39778520,-0.441,-0.246,1.109,-191.117,-26.127,-34.492,
39778530,-0.308,-0.159,1.078,-224.647,-37.502,-44.012,
39778540,-0.123,-0.175,1.053,-254.117,-30.38,-55.667,
39778550,0.026,-0.293,1.028,-268.66,-15.942,-74.077,
39778560,-0.047,-0.305,1.132,-265.825,0.402,-84.542,
39778570,-0.063,-0.872,1.134,-289.03,34.807,-77.84,
39778580,0.755,-1.076,1.329,-303.187,103.005,-64.26,
39778580,0.428,-1.789,0.28,-255.185,223.16,-9.52,
39778600,-0.312,-1.435,0.914,-204.207,266.262,33.845,
39778600,0.773,-1.004,0.94,-141.942,114.782,-68.74,
39778620,0.774,-1.152,0.658,-81.917,37.31,-82.547,
39778620,1.575,-0.941,0.669,5.162,13.02,-87.622,
39778640,1.148,-0.67,0.753,45.325,-11.217,-152.075,
39778640,-0.383,-0.178,-0.002,68.862,-31.622,-223.86,
39778660,-0.539,0.649,-0.514,106.697,-18.497,-211.942,
39778660,-0.457,0.776,-0.759,108.71,-21.21,-137.34,
39778670,-0.11,0.511,-0.839,84.07,-18.917,-51.975,
39778680,0.451,0.1,-0.871,64.137,-19.005,8.54,
39778690,1.04,-0.156,-0.82,53.672,-19.232,43.452,
39778700,1.605,-0.84,-0.425,47.022,-25.865,52.885,
39778710,-1.424,-1.943,1.951,73.185,19.565,155.312,
39778720,-1.71,-1.973,-1.193,278.232,79.52,237.125,
39778730,1.906,0.223,1.649,463.207,62.72,420.542,
39778740,-1.768,-0.314,0.978,339.36,-8.89,360.885,
39778750,-1.379,0.489,1.151,439.687,-113.225,162.33,
39778760,-1.257,0.525,1.676,392.052,-154.175,93.03,
39778770,-1.147,-0.203,1.759,341.005,-211.802,-62.842,
39778780,1.961,1.739,1.416,226.047,-215.075,-99.365,
39778790,1.004,0.389,1.084,39.48,-66.307,-40.897,
39778800,0.432,-0.059,1.06,-37.135,24.062,-1.172,
39778810,-0.16,-0.222,1.047,-66.99,56.752,4.077,
39778820,-0.349,-0.078,1.069,-79.975,63.175,-8.435,
39778830,-0.685,-0.426,0.955,-89.075,60.147,-29.662,
39778840,-0.228,-0.411,0.903,-82.092,42.175,-50.68,
39778850,-0.262,-0.449,0.85,-82.25,50.925,-64.925,
39778860,-0.129,-0.518,0.763,-56.56,40.267,-57.155,
39778870,0.011,-0.589,0.803,-24.71,20.755,-28.49,
39778880,-0.022,-0.406,0.866,3.955,5.6,1.505,
39778890,-0.247,-0.329,0.934,17.832,0.367,19.302,
39778900,-0.236,-0.146,1.026,16.747,-3.815,22.522,
39778910,-0.214,-0.105,1.039,2.222,-4.182,18.2,
39778920,-0.176,-0.154,1.018,-17.132,-3.692,17.01,
39778920,-0.126,-0.193,1.031,-35.385,-1.732,21.787,
39778940,-0.08,-0.142,1.066,-53.725,1.067,25.48,
39778940,-0.087,-0.122,1.098,-77.315,5.932,34.055,
39778960,-0.045,-0.177,1.106,-99.627,9.03,42.577,
39778960,-0.076,-0.233,1.088,-125.09,14.437,45.15,
39778980,-0.101,-0.247,1.099,-148.627,19.652,43.207,
39778980,-0.104,-0.203,1.089,-173.337,24.43,37.887,
39779000,-0.206,-0.227,1.053,-201.88,28.612,29.697,
39779000,-0.287,-0.323,0.999,-225.347,38.237,17.08,
39779010,-0.309,-0.352,1.103,-229.705,45.692,2.17,
39779020,-0.281,-0.292,1.137,-234.027,35.28,-1.225,
39779030,-0.023,-0.462,1.251,-257.425,30.555,-3.692,
39779040,0.413,-0.781,1.45,-276.062,56.122,3.64,
39779050,0.348,-0.934,1.314,-275.957,96.04,13.947,
39779060,0.207,-1.317,0.919,-254.012,110.372,36.015,
39779070,0.556,-1.591,1.138,-210.56,103.652,-9.555,
39779080,-0.29,-1.003,0.85,-136.78,46.165,-80.045,
39779090,1.315,-0.955,1.777,-78.12,34.702,-131.162,
39779100,0.45,-0.895,1.667,51.555,17.342,-154.175,
39779110,-0.661,-0.122,1.155,158.865,-41.947,-288.89,
39779120,-1.104,0.935,0.497,231.297,-20.632,-307.317,
39779130,-1.493,1.144,0.456,219.695,-24.447,-227.167,
39779140,-0.918,0.915,-0.107,231.752,-36.575,-110.285,
39779150,-0.313,1.3,-1.196,273.7,-51.03,-2.695,
39779160,0.349,1.692,-1.46,257.057,-18.095,62.72,
39779170,0.581,0.998,-0.708,128.66,47.25,103.11,
39779180,0.394,-0.142,-0.169,22.382,73.832,127.977,
39779190,0.442,-0.718,-0.254,42.822,46.497,118.335,
39779200,0.952,-0.496,-0.512,73.64,7.472,58.222,
