#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
49515000,-0.22,-0.145,0.887,-5.075,12.897,0.262,
49515010,-0.303,-0.169,0.816,-3.587,18.2,2.555,
49515010,-0.263,-0.182,0.754,3.517,22.785,4.795,
49515030,-0.358,-0.173,0.81,11.777,31.132,7.84,
49515030,-0.526,-0.155,0.846,15.575,26.722,7.367,
49515050,-0.517,-0.137,0.909,15.732,18.235,6.265,
49515050,-0.53,-0.17,0.911,12.005,10.762,6.352,
49515070,-0.518,-0.197,0.901,13.65,3.447,6.3,
49515070,-0.443,-0.127,0.907,15.4,-0.49,4.13,
49515080,-0.418,-0.067,0.911,13.387,-1.785,2.135,
49515090,-0.382,-0.06,0.899,9.24,-2.922,0.997,
49515100,-0.329,-0.041,0.9,5.617,-2.94,1.89,
49515110,-0.357,-0.051,0.931,0.507,-1.96,2.66,
49515120,-0.377,-0.056,0.949,-3.482,-2.012,1.82,
49515130,-0.334,-0.037,0.956,-8.435,0.98,1.137,
49515140,-0.399,-0.066,0.933,-16.642,4.41,2.432,
49515150,-0.425,-0.11,0.887,-21.28,5.232,1.505,
49515160,-0.399,-0.117,0.872,-21.315,4.847,-0.56,
49515170,-0.413,-0.128,0.868,-22.505,4.532,0.612,
49515180,-0.405,-0.145,0.859,-24.132,4.427,1.435,
49515190,-0.423,-0.167,0.832,-25.112,3.622,1.855,
49515200,-0.461,-0.163,0.831,-25.077,0.14,2.852,
49515210,-0.455,-0.167,0.873,-24.237,-3.132,3.377,
49515220,-0.419,-0.191,0.928,-23.222,-4.725,1.837,
49515230,-0.413,-0.231,0.949,-20.597,-6.02,0.087,
49515240,-0.372,-0.234,0.929,-17.045,-7.56,-2.642,
49515250,-0.301,-0.186,0.899,-12.617,-6.58,-3.29,
49515260,-0.294,-0.13,0.898,-10.36,-2.59,-0.192,
49515270,-0.33,-0.131,0.903,-11.935,1.662,4.077,
49515280,-0.329,-0.168,0.896,-12.827,5.53,5.075,
49515290,-0.346,-0.172,0.903,-11.69,8.995,4.83,
49515300,-0.417,-0.157,0.922,-11.917,10.517,6.107,
49515310,-0.472,-0.168,0.928,-14.542,9.1,7.315,
49515320,-0.484,-0.191,0.908,-15.96,5.407,6.3,
49515330,-0.474,-0.193,0.886,-14.647,1.435,4.48,
49515340,-0.437,-0.184,0.875,-12.757,-2.187,2.695,
49515350,-0.388,-0.189,0.867,-11.34,-3.167,1.487,
49515360,-0.355,-0.209,0.85,-9.31,-2.205,2.047,
49515370,-0.359,-0.208,0.851,-5.827,0.717,3.395,
49515370,-0.404,-0.193,0.894,-3.832,1.662,5.075,
49515390,-0.439,-0.199,0.918,-4.322,1.172,5.757,
49515390,-0.434,-0.2,0.914,-4.987,-0.805,3.745,
49515410,-0.419,-0.186,0.9,-5.617,-2.677,2.17,
49515410,-0.411,-0.175,0.896,-5.705,-3.01,0.28,
49515420,-0.422,-0.166,0.894,-5.267,-2.292,-2.415,
49515430,-0.431,-0.153,0.912,-5.407,-1.067,-5.215,
49515440,-0.426,-0.14,0.918,-7.245,-0.437,-7.297,
