#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
61413130,0.038,-0.306,0.989,-23.87,-8.645,1.242,
61413140,0.028,-0.323,0.996,-28,-9.1,2.957,
61413150,0.026,-0.317,1.002,-31.377,-13.002,4.515,
61413160,0.017,-0.329,1.006,-36.855,-16.852,6.825,
61413170,0.01,-0.338,1.004,-42,-23.327,9.257,
61413170,0.019,-0.342,1.003,-47.022,-28.297,12.005,
61413190,-0.002,-0.367,0.995,-51.047,-35.962,14.14,
61413190,-0.016,-0.377,0.983,-53.077,-45.797,16.17,
61413210,0.049,-0.403,0.921,-52.745,-58.17,18.147,
61413210,0.129,-0.371,0.905,-50.207,-59.167,21.612,
61413230,0.118,-0.383,0.914,-49.087,-54.32,24.062,
61413230,0.106,-0.422,0.915,-49.017,-49.49,25.69,
61413250,0.138,-0.409,0.913,-48.037,-45.64,25.217,
61413250,0.146,-0.416,0.931,-46.9,-37.642,26.705,
61413260,0.154,-0.414,0.95,-46.69,-29.75,27.055,
61413270,0.147,-0.429,0.953,-47.32,-20.685,25.9,
61413280,0.108,-0.444,0.943,-47.25,-14.805,24.657,
61413290,0.075,-0.45,0.917,-46.742,-13.405,22.26,
61413300,0.09,-0.476,0.908,-45.15,-14.91,20.457,
61413310,0.172,-0.508,0.887,-37.73,-10.57,22.05,
61413320,0.106,-0.448,0.831,-28.455,-3.045,23.642,
61413330,0.006,-0.538,0.856,-26.53,-4.9,21.875,
61413340,0.025,-0.615,0.824,-20.282,-6.65,22.89,
61413350,0.065,-0.554,0.816,-10.937,-7.262,24.622,
61413360,0.088,-0.577,0.791,-6.877,-7,22.82,
61413370,0.087,-0.65,0.769,-0.875,-4.865,22.977,
61413380,-0.008,-0.733,0.714,9.52,-0.717,29.592,
61413390,0.265,-0.641,0.802,18.812,-0.735,21.175,
61413400,0.248,-0.679,0.919,33.04,2.327,8.89,
61413410,0.061,-0.325,0.613,52.727,4.935,-14.105,
61413420,0.141,-0.26,0.581,45.797,-2.992,-34.072,
61413430,0.207,-0.502,0.674,27.737,-3.43,-48.387,
61413440,0.037,-0.584,0.694,33.232,1.662,-53.637,
61413450,-0.041,-0.484,0.712,42.98,0.472,-52.307,
61413460,-0.019,-0.466,0.701,42.91,-1.627,-42.28,
61413470,-0.017,-0.54,0.692,33.775,-4.112,-29.295,
61413480,-0.032,-0.631,0.7,21.752,-3.045,-14.07,
61413490,0.011,-0.767,0.718,8.12,-1.627,4.217,
61413500,0.043,-0.893,0.74,-6.755,1.102,21.192,
61413510,0.135,-0.936,0.716,-23.485,-0.472,27.002,
61413520,0.172,-0.93,0.722,-40.302,1.417,35.945,
61413530,0.129,-0.948,0.705,-59.482,-0.682,46.445,
61413540,0.124,-0.965,0.72,-73.92,-8.575,50.155,
61413550,0.171,-0.892,0.749,-89.407,-19.18,51.345,
61413560,0.244,-0.873,0.786,-106.872,-22.295,51.38,
61413570,0.122,-0.92,0.871,-120.172,-24.867,47.617,
61413570,0.027,-0.878,0.973,-122.255,-37.03,30.345,
61413580,0.279,-0.951,1.127,-122.01,-49.787,19.897,
61413590,0.377,-0.863,1.073,-100.765,-45.692,7.105,
61413600,0.174,-0.612,0.933,-85.207,-43.277,-6.177,
61413610,0.189,-0.471,0.87,-84.157,-44.887,-22.68,
61413620,0.222,-0.498,0.868,-87.552,-44.73,-32.025,
61413630,0.167,-0.469,0.864,-86.852,-39.112,-38.167,
61413640,0.101,-0.374,0.817,-83.387,-33.477,-41.055,
61413650,0.1,-0.256,0.838,-79.275,-27.265,-39.287,
61413660,0.155,-0.291,0.844,-78.242,-19.302,-37.415,
61413670,0.154,-0.26,0.797,-78.505,-9.345,-38.325,
61413680,0.135,-0.219,0.835,-66.15,3.167,-37.695,
61413690,0.097,-0.182,0.848,-58.852,11.795,-39.97,
61413700,0.056,-0.194,0.88,-52.027,17.045,-46.515,
61413710,-0.022,-0.213,0.886,-44.695,20.457,-51.695,
61413720,-0.08,-0.171,0.902,-32.637,24.832,-55.457,
61413730,-0.119,-0.148,0.923,-21.7,30.835,-56.42,
61413740,-0.157,-0.155,0.935,-11.935,39.06,-54.022,
61413750,-0.099,-0.134,0.998,0.315,47.88,-51.87,
61413760,-0.035,-0.172,1.048,10.99,58.327,-52.255,
61413770,-0.053,-0.166,1.102,26.827,65.73,-60.112,
61413780,-0.088,-0.111,1.088,43.137,69.51,-74.83,
61413790,-0.187,-0.042,1.059,58.082,66.92,-86.572,
61413800,-0.252,-0.119,1.018,67.217,62.755,-91.35,
61413810,-0.343,-0.256,0.901,75.81,56.035,-85.312,
61413820,-0.412,-0.318,0.741,79.45,49.105,-72.17,
61413830,-0.37,-0.374,0.53,66.657,44.852,-47.757,
61413840,-0.372,-0.495,0.395,41.825,47.967,-10.167,
61413850,-0.543,-1.149,0.307,10.15,31.255,21.77,
61413860,1.918,-1.997,0.492,9.257,1.697,2.765,
61413870,0.777,-1.9,-0.659,77.665,7.84,-42.227,
61413880,-0.615,0.715,0.38,89.967,41.335,-82.67,
61413890,0.893,1.112,1.191,96.005,43.855,15.662,
61413900,1.343,0.425,0.661,133.017,23.065,59.097,
61413910,0.518,-0.35,0.898,172.375,44.135,108.395,
61413920,-0.434,-1.451,0.669,195.107,2.327,123.935,
61413920,-0.796,-0.674,0.741,241.675,-11.777,122.517,
61413940,-1.468,-0.637,0.907,245.927,8.365,87.605,
61413940,-0.831,-0.178,1.255,248.85,20.562,0.402,
61413960,-0.403,-0.614,1.446,245.42,5.967,-72.17,
61413960,0.401,0.158,1.674,239.225,-37.992,-78.592,
61413980,0.805,0.652,1.521,179.585,-56.682,-44.17,
61413980,0.562,0.313,1.267,89.81,-36.627,-15.102,
61414000,0.355,0.076,1.133,34.16,-15.592,-7.945,
61414000,0.422,0.006,1.053,1.172,-1.47,-10.185,
