#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
52162690,-1.009,0.156,0.194,2.03,24.027,-11.13,
52162700,-0.993,0.161,0.194,0.35,23.52,-9.992,
52162710,-0.984,0.194,0.178,-7.612,22.61,-5.302,
52162720,-1.038,0.161,0.163,-15.855,21.052,0.63,
52162730,-0.97,0.168,0.144,-22.137,20.72,-0.717,
52162730,-0.935,0.135,0.05,-29.207,21.21,5.967,
52162750,-1.021,0.165,0.027,-18.41,27.842,13.177,
52162750,-0.988,0.202,0.033,-11.147,28.332,17.762,
52162760,-0.992,0.268,0.067,-7.525,24.885,20.352,
52162770,-0.994,0.31,0.077,-4.462,22.382,19.88,
52162780,-0.982,0.312,0.068,-9.047,17.22,17.045,
52162790,-1.009,0.33,0.075,-11.532,12.267,11.427,
52162800,-0.999,0.316,0.071,-10.377,5.775,6.51,
52162810,-0.997,0.29,0.063,-9.257,-2.17,2.24,
52162820,-0.968,0.292,0.103,-6.335,-10.062,0.595,
52162830,-0.964,0.302,0.137,-3.447,-12.302,-0.49,
52162840,-0.963,0.276,0.137,-2.31,-10.062,-3.01,
52162850,-0.952,0.263,0.128,-0.507,-7.525,-3.885,
52162860,-0.961,0.278,0.123,-0.28,-6.807,-2.03,
52162870,-0.971,0.281,0.119,-0.07,-6.282,-0.735,
52162880,-0.968,0.277,0.13,-0.507,-7.035,-0.332,
52162890,-0.973,0.287,0.117,-1.312,-7.175,0.577,
52162900,-0.972,0.291,0.126,-2.03,-8.312,0.98,
52162910,-0.977,0.279,0.112,-2.975,-9.537,0.122,
52162920,-0.983,0.292,0.113,-2.94,-12.617,-0.297,
52162930,-0.967,0.298,0.123,-3.43,-15.96,-2.082,
52162940,-0.939,0.265,0.151,-4.655,-16.467,-4.2,
52162950,-0.948,0.259,0.149,-4.007,-13.002,-3.062,
52162960,-0.961,0.28,0.15,-2.66,-8.697,-0.665,
52162970,-0.963,0.272,0.137,-3.097,-5.162,0.035,
52162980,-0.962,0.277,0.166,-3.412,-5.39,0.525,
52162990,-0.959,0.277,0.166,-3.132,-5.145,-0.192,
52163000,-0.941,0.263,0.138,-1.872,-2.485,-0.227,
52163010,-0.968,0.271,0.127,-0.315,-0.35,1.05,
52163020,-0.966,0.282,0.13,0.017,-0.63,1.015,
52163030,-0.961,0.277,0.127,0.21,-1.417,0.087,
52163040,-0.977,0.285,0.129,-0.332,-2.87,0.332,
52163050,-0.975,0.289,0.141,-1.347,-5.18,0.595,
52163060,-0.974,0.278,0.142,-2.065,-6.685,-0.332,
52163070,-0.963,0.267,0.133,-1.872,-7.507,-0.892,
52163080,-0.963,0.276,0.127,-1.89,-8.452,-0.315,
52163080,-0.968,0.283,0.135,-2.047,-9.887,0.035,
52163100,-0.979,0.288,0.132,-2.065,-11.06,-0.595,
52163100,-1.035,0.261,0.152,-3.045,-14.227,-2.695,
52163120,-0.977,0.291,0.093,-4.97,-18.97,-8.26,
52163120,-0.959,0.29,0.149,-1.435,-23.275,-8.767,
52163140,-0.981,0.275,0.147,-2.8,-22.505,-8.855,
52163140,-0.973,0.26,0.15,-3.132,-22.75,-8.837,
52163160,-0.965,0.27,0.159,-3.115,-24.377,-8.225,
52163160,-0.94,0.266,0.174,-4.182,-23.712,-7.07,
52163170,-0.958,0.256,0.17,-5.127,-20.65,-5.32,
52163180,-0.956,0.261,0.166,-6.055,-19.617,-3.972,
52163190,-0.944,0.264,0.192,-6.23,-18.287,-3.167,
52163200,-0.95,0.265,0.186,-6.772,-16.432,-3.01,
52163210,-0.954,0.26,0.19,-7.192,-14.595,-2.502,
52163220,-0.955,0.26,0.198,-6.685,-13.02,-2.345,
52163230,-0.897,0.251,0.237,-6.177,-9.992,-1.855,
52163240,-0.887,0.234,0.229,-6.597,-1.05,0.962,
52163250,-0.95,0.243,0.194,-5.722,6.09,4.917,
52163260,-0.937,0.264,0.198,-5.6,6.947,6.93,
52163270,-0.982,0.259,0.169,-7,7.297,7.367,
52163280,-0.966,0.266,0.175,-5.88,6.405,6.387,
52163290,-0.974,0.276,0.177,-4.095,6.125,5.477,
52163300,-0.989,0.262,0.152,-3.727,5.04,4.112,
52163310,-0.984,0.26,0.138,-1.505,0.647,2.8,
52163320,-0.975,0.277,0.158,1.837,-3.325,1.61,
52163330,-1.014,0.278,0.146,2.327,-6.107,-0.367,
52163340,-1.033,0.26,0.131,1.54,-12.057,-3.045,
52163350,-0.993,0.25,0.133,2.012,-19.32,-4.9,
52163360,-0.965,0.261,0.145,1.662,-18.725,-4.637,
52163370,-1.12,0.277,0.066,-2.012,-25.2,-6.772,
52163380,-0.901,0.268,0.196,-1.96,-37.31,-12.582,
52163390,-0.838,0.251,0.207,4.62,-24.92,-12.827,
52163400,-0.909,0.292,0.289,0.28,-16.012,-7.385,
52163410,-0.95,0.251,0.237,-11.077,-16.257,-3.71,
52163420,-0.964,0.209,0.227,-4.97,-13.562,-4.725,
52163420,-0.905,0.245,0.254,1.277,-9.765,-2.17,
52163440,-0.903,0.278,0.25,-0.49,-5.425,1.837,
52163440,-0.952,0.266,0.214,-4.357,-2.275,2.135,
52163460,-0.953,0.251,0.208,-3.85,-1.907,0.91,
52163460,-0.962,0.265,0.21,-1.225,-1.575,0.752,
52163480,-0.96,0.266,0.208,-0.77,-1.172,-0.647,
52163480,-0.926,0.252,0.24,-0.735,0.315,-2.24,
52163500,-0.883,0.247,0.277,-1.347,8.33,0.052,
52163500,-0.957,0.24,0.206,-4.077,16.45,6.982,
52163510,-0.932,0.241,0.201,-6.475,13.615,9.695,
52163520,-0.936,0.242,0.19,-6.877,12.565,9.905,
52163530,-0.992,0.238,0.152,-5.652,13.265,9.94,
52163540,-1.004,0.263,0.157,-2.52,9.397,9.135,
52163550,-1.003,0.279,0.161,0.752,5.792,6.422,
52163560,-0.99,0.266,0.171,1.417,1.942,3.412,
52163570,-0.967,0.249,0.18,2.31,-0.28,1.82,
52163580,-0.967,0.247,0.195,3.342,-1.015,1.417,
52163590,-0.987,0.236,0.169,2.642,-1.085,1.33,
52163600,-1.005,0.248,0.144,2.922,-3.867,1.505,
52163610,-1.014,0.27,0.116,3.062,-10.045,1.032,
52163620,-1.039,0.308,0.078,4.62,-16.117,-2.59,
52163630,-1.094,0.298,0.076,1.33,-27.107,-9.187,
52163640,-1.029,0.254,0.055,1.785,-34.737,-18.34,
52163650,-0.921,0.287,0.111,15.067,-35.297,-21.42,
52163660,-0.864,0.321,0.223,21.175,-29.207,-20.527,
52163670,-0.897,0.285,0.227,19.022,-18.077,-19.442,
52163680,-0.917,0.165,0.194,25.322,-7.962,-16.607,
52163690,-0.86,0.237,0.35,36.557,-3.167,-8.575,
52163700,-0.913,0.304,0.369,21.35,2.135,-3.115,
52163710,-0.971,0.25,0.328,6.492,5.145,-4.742,
52163720,-0.915,0.212,0.312,1.137,4.235,-5.582,
52163730,-0.849,0.22,0.328,-1.067,5.862,-2.222,
52163740,-0.942,0.247,0.287,-4.777,9.765,3.43,
52163750,-0.912,0.215,0.341,-6.65,11.41,5.11,
52163760,-0.939,0.197,0.263,-11.865,16.52,9.047,
52163770,-0.95,0.217,0.24,-13.352,18.2,12.477,
52163780,-0.938,0.264,0.145,-23.625,12.46,15.277,
52163790,-0.928,0.236,0.062,-26.53,10.92,15.312,
52163800,-1.017,0.255,0.032,-20.807,10.342,18.55,
52163810,-1.051,0.306,0.054,-12.127,5.845,16.485,
52163820,-1.027,0.317,0.111,-8.855,-1.085,9.8,
52163830,-1.02,0.279,0.142,-7.735,-5.425,2.187,
52163830,-0.97,0.244,0.177,-5.075,-10.552,-1.627,
52163850,-0.943,0.241,0.201,-3.78,-13.632,-0.91,
52163850,-0.949,0.241,0.195,-3.08,-11.882,0.822,
52163870,-0.969,0.238,0.17,-3.99,-12.197,3.01,
52163870,-1.002,0.257,0.152,-4.34,-16.362,5.285,
52163890,-1.038,0.239,0.15,-4.357,-22.732,3.325,
52163890,-1.077,0.277,0.078,0.175,-28.28,-3.272,
52163910,-1.085,0.268,0.121,5.985,-40.285,-11.69,
52163910,-0.925,0.261,0.213,16.695,-39.375,-17.43,
