#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
39116920,-0.853,0.023,0.519,-4.357,-21.735,0.262,
39116920,-0.836,0.016,0.526,-4.235,-19.95,0.84,
39116940,-0.83,0.011,0.533,-4.095,-17.675,1.102,
39116940,-0.834,0.006,0.531,-4.165,-13.93,1.155,
39116960,-0.846,0.005,0.524,-3.867,-10.395,0.997,
39116960,-0.861,0.007,0.522,-3.167,-8.435,1.207,
39116980,-0.862,0.015,0.53,-3.01,-7.91,1.61,
39116980,-0.852,0.02,0.531,-2.94,-7.087,1.855,
39117000,-0.849,0.025,0.533,-2.432,-5.6,2.467,
39117000,-0.859,0.031,0.536,-1.96,-5.04,2.975,
39117010,-0.873,0.037,0.538,-2.047,-5.25,2.66,
39117020,-0.879,0.044,0.543,-2.345,-6.37,1.487,
39117030,-0.882,0.054,0.547,-2.782,-8.662,0.787,
39117040,-0.877,0.058,0.56,-2.572,-12.04,0.035,
39117050,-0.87,0.063,0.565,-2.695,-15.225,0.297,
39117060,-0.861,0.055,0.561,-3.29,-17.045,0.175,
39117070,-0.854,0.052,0.562,-2.642,-18.34,-0.49,
39117080,-0.849,0.039,0.556,-2.572,-18.305,-0.822,
39117090,-0.84,0.025,0.553,-2.747,-16.205,-1.347,
39117100,-0.831,0.016,0.55,-2.922,-12.512,-1.54,
39117110,-0.822,0.008,0.542,-2.677,-8.452,-1.015,
39117120,-0.818,0.001,0.536,-2.397,-5.092,-0.157,
39117130,-0.814,0,0.53,-2.432,-2.415,0.77,
39117140,-0.818,0.001,0.535,-2.66,0.052,1.505,
39117150,-0.84,0.007,0.539,-3.01,1.575,2.187,
39117160,-0.866,0.014,0.541,-3.01,1.435,2.31,
39117170,-0.885,0.021,0.547,-2.677,-0.682,1.697,
39117180,-0.891,0.024,0.543,-2.432,-4.147,1.19,
39117190,-0.885,0.024,0.542,-2.152,-7.21,0.962,
39117200,-0.878,0.026,0.537,-1.872,-10.29,0.962,
39117210,-0.877,0.033,0.543,-1.767,-13.16,1.032,
39117220,-0.874,0.037,0.554,-2.38,-15.067,1.05,
39117230,-0.868,0.034,0.559,-3.43,-16.8,0.98,
39117240,-0.851,0.029,0.566,-4.165,-17.71,0.787,
39117250,-0.83,0.025,0.565,-4.287,-16.852,0.595,
39117260,-0.813,0.023,0.564,-3.972,-14.997,0.577,
39117260,-0.806,0.023,0.568,-3.465,-12.775,0.787,
39117280,-0.805,0.025,0.57,-2.887,-10.78,1.05,
39117280,-0.812,0.029,0.572,-2.275,-9.8,0.98,
