#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
61023480,0.224,-0.024,1.478,-71.172,-14.507,26.04,
61023490,0.268,-0.131,1.337,-136.867,-20.177,20.615,
61023500,0.32,-0.196,1.137,-186.795,-22.155,22.365,
61023510,0.267,-0.366,0.962,-221.9,-25.462,28.07,
61023510,0.276,-0.431,0.855,-244.895,-33.005,35.805,
61023530,0.392,-0.523,0.899,-261.222,-46.13,43.872,
61023530,0.619,-0.722,0.956,-281.295,-48.65,54.757,
61023550,0.863,-1.203,1.137,-278.337,-29.33,58.327,
61023550,1.024,-1.716,1.324,-239.295,32.427,57.557,
61023570,0.465,-1.509,0.936,-167.3,93.66,42.297,
61023570,0.209,-1.65,0.781,-97.912,100.87,5.95,
61023580,-0.755,-1.623,1.445,-38.395,151.847,26.442,
61023590,-0.749,-1.423,0.685,67.06,148.907,49.262,
61023600,-1.834,-0.878,0.913,165.83,52.797,51.642,
61023610,-1.173,-0.303,0.04,237.037,-72.94,98.385,
61023620,0.144,-0.006,-0.227,221.427,-76.702,166.145,
61023630,0.415,0.383,-0.668,210.367,-83.265,160.475,
61023640,0.46,0.887,-0.722,178.08,-31.605,133.682,
61023650,0.391,0.913,-0.523,93.922,38.605,110.915,
61023660,0.221,0.596,-0.211,16.047,69.055,82.897,
61023670,0.18,0.344,0.016,-28.84,62.72,41.562,
61023680,0.122,0.234,0.136,-41.107,36.277,-3.132,
61023690,-0.216,-0.162,0.219,-32.217,10.692,-19.232,
61023700,-0.175,0.199,-0.13,0.35,7.21,54.81,
61023710,0.794,-0.323,-1.516,44.432,29.277,-80.692,
61023720,1.231,-1.502,-0.235,-16.537,180.565,-136.587,
61023730,-1.756,-1.998,1.715,-54.687,-97.965,-269.447,
61023740,-0.51,-1.407,-1.997,276.412,-314.387,-420.105,
61023750,1.557,1.997,0.885,406.227,-1.417,-267.4,
61023760,1.425,1.854,1.359,275.275,24.535,-182.21,
61023770,0.725,-1.107,1.272,310.345,51.747,-103.075,
61023780,1.961,0.015,1.068,363.177,96.897,29.592,
61023790,0.279,0.721,1.791,289.065,117.74,106.417,
61023800,-0.706,-0.03,1.818,189.682,84.385,135.502,
61023810,-0.985,0.293,1.754,76.755,29.907,87.902,
61023820,-0.391,0.015,1.474,-16.362,-15.89,33.915,
