#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
60276010,0.915,-0.184,1.246,11.112,-93.467,-125.177,
60276010,1.113,-0.239,1.069,-30.52,-60.812,-80.167,
60276030,1.147,-0.236,0.917,-57.925,-32.462,-16.905,
60276030,0.946,-0.308,0.834,-75.705,-3.622,43.05,
60276050,0.414,-0.351,0.787,-80.675,27.667,77.507,
60276050,0,-0.498,0.715,-71.54,29.767,80.902,
60276070,-0.203,-0.58,0.627,-47.372,18.41,57.715,
60276070,-0.301,-0.706,0.483,-9.59,17.657,13.982,
60276080,-0.171,-0.736,0.45,37.975,14.717,-32.235,
60276090,-0.088,-0.745,0.521,86.345,8.102,-68.792,
60276100,0.128,-0.444,0.883,122.29,-8.68,-86.94,
60276110,0.456,-0.069,1.117,129.027,-28.77,-84.717,
60276120,0.52,-0.006,1.137,107.782,-31.902,-65.257,
60276130,0.481,-0.037,1.108,80.587,-27.335,-43.032,
60276140,0.437,0.044,1.176,54.722,-19.04,-28.665,
60276150,0.393,-0.001,1.116,25.672,-14.157,-15.085,
60276160,0.373,-0.151,1.026,3.01,-8.872,-6.212,
60276170,0.331,-0.25,0.951,-8.75,-7.07,0.787,
60276180,0.322,-0.268,0.95,-12.652,-5.845,7.84,
60276190,0.35,-0.227,1.001,-16.642,-7.14,14.735,
60276200,0.38,-0.154,1.066,-27.86,-4.847,22.75,
60276210,0.371,-0.13,1.128,-47.232,-4.497,31.01,
60276220,0.405,-0.098,1.165,-73.237,-3.955,38.92,
60276230,0.413,-0.119,1.168,-101.15,-7.105,45.255,
60276240,0.62,-0.139,1.128,-128.292,-4.62,49.997,
60276250,0.281,-0.197,1.134,-155.4,15.207,51.152,
60276260,0.482,-0.2,1.026,-171.237,13.51,48.982,
60276270,0.629,-0.309,0.996,-176.785,20.142,46.077,
60276280,0.716,-0.488,0.887,-170.695,34.807,40.845,
60276290,0.772,-0.796,1.132,-157.517,41.982,30.677,
60276300,1.406,-1.491,1.466,-121.467,106.365,30.52,
60276310,0.395,-1.25,1.045,-34.755,176.032,22.155,
60276320,-0.044,-1.086,0.555,22.452,162.435,27.177,
60276330,0.65,-0.841,0.184,58.8,82.722,6.3,
60276340,0.553,-0.358,0.02,71.662,-17.78,-71.907,
60276350,-0.287,0.276,-0.267,62.247,-7.14,-80.78,
60276360,-0.655,0.098,-0.129,15.015,-7.682,-45.92,
60276370,-0.23,-0.143,0.111,-10.815,-18.742,0.035,
60276380,-0.23,-0.154,-0.001,-7.735,-3.062,41.037,
60276390,-0.103,-0.178,-0.098,-2.117,6.282,68.652,
60276400,0.15,-0.373,-0.118,-4.952,12.617,85.61,
60276410,0.226,-0.478,-0.212,-4.952,17.692,94.045,
60276420,0.044,-0.529,-0.123,-12.932,10.745,101.132,
60276420,0.294,-0.363,1.029,-21.122,1.505,128.87,
60276440,-1.853,-1.936,1.553,-3.045,-18.48,194.967,
60276440,-0.255,-0.269,0.71,196.49,-86.432,194.442,
60276460,0.701,0.152,1.639,191.257,-123.042,122.045,
60276460,-0.993,0.385,1.187,204.47,-72.66,37.047,
60276480,-1.662,0.89,1.091,194.81,-63.77,-48.3,
60276480,0.522,-0.221,1.668,134.662,-109.882,-114.712,
60276500,-0.024,0.008,1.227,130.322,-162.995,-214.077,
60276500,1.305,-0.935,0.898,110.022,-202.632,-217.945,
60276510,1.954,-0.076,0.856,108.36,-155.417,-145.932,
60276520,1.72,0.056,1.024,81.76,-59.587,-39.882,
60276530,0.6,0.156,1.132,51.275,22.505,27.265,
60276540,-0.232,-0.17,1.057,22.662,37.327,42.717,
60276550,-0.323,-0.293,0.97,15.172,1.645,16.94,
60276560,0.09,-0.238,0.955,9.52,-25.235,-12.705,
60276570,0.389,-0.256,0.91,9.52,-39.392,-24.062,
60276580,0.517,-0.237,0.884,11.97,-34.072,-21.052,
60276590,0.468,-0.209,0.901,13.352,-23.1,-13.475,
60276600,0.375,-0.156,0.953,11.322,-11.987,-7.665,
60276610,0.347,-0.132,0.975,4.602,-9.17,-5.67,
60276620,0.34,-0.171,0.955,-3.885,-6.545,-4.62,
60276630,0.318,-0.19,0.945,-8.872,-7.35,-5.372,
60276640,0.372,-0.15,0.97,-13.37,-6.02,-6.02,
60276650,0.458,-0.109,0.987,-21.997,-4.515,-3.43,
60276660,0.471,-0.113,1.018,-35.455,4.13,3.955,
60276670,0.432,-0.138,1.087,-51.345,11.147,12.04,
60276680,0.384,-0.109,1.164,-70.682,16.327,19.635,
60276690,0.316,-0.085,1.251,-95.392,10.815,26.11,
60276700,0.355,-0.129,1.168,-126.752,-3.657,30.45,
60276710,0.039,-0.198,1.248,-148.785,-10.797,26.547,
60276720,0.278,-0.11,1.112,-162.05,-29.12,25.147,
60276730,0.273,-0.296,1.11,-178.605,-34.282,23.66,
