#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
48242590,-0.73,0.211,0.662,-5.355,-5.162,2.66,
48242600,-0.727,0.218,0.671,-5.25,-4.865,2.73,
48242610,-0.729,0.216,0.658,-5.757,-3.797,3.325,
48242620,-0.73,0.211,0.648,-6.002,-3.22,3.692,
48242630,-0.731,0.214,0.647,-6.685,-1.872,3.307,
48242640,-0.621,0.267,0.651,-8.47,-1.295,-7.437,
48242650,-0.756,0.182,0.671,-10.902,4.182,-3.727,
48242660,-0.824,0.114,0.654,-8.837,2.572,5.985,
48242670,-0.748,0.178,0.649,-3.237,-0.402,3.517,
48242670,-0.7,0.228,0.651,-1.785,-0.892,1.732,
48242690,-0.69,0.236,0.64,-4.847,0.332,1.61,
48242690,-0.687,0.216,0.654,-8.942,2.047,-3.29,
48242710,-0.773,0.146,0.647,-10.255,3.885,0,
48242710,-0.809,0.132,0.626,-6.527,1.505,3.447,
48242730,-0.793,0.177,0.611,-2.922,-2.257,2.152,
48242730,-0.774,0.207,0.602,-2.135,-5.985,-0.822,
48242750,-0.784,0.196,0.609,-3.675,-9.31,-2.66,
48242750,-0.781,0.182,0.622,-4.83,-13.177,-4.987,
48242760,-0.761,0.186,0.633,-3.797,-16.59,-7.367,
48242770,-0.75,0.191,0.644,-3.272,-18.847,-8.837,
48242780,-0.749,0.193,0.651,-4.025,-20.282,-9.765,
48242790,-0.745,0.19,0.652,-4.06,-21.122,-10.657,
48242800,-0.735,0.188,0.66,-3.727,-21.805,-11.375,
48242810,-0.716,0.188,0.663,-4.13,-21.56,-11.515,
48242820,-0.697,0.183,0.671,-4.112,-20.632,-10.937,
48242830,-0.695,0.173,0.662,-3.92,-18.935,-9.537,
48242840,-0.713,0.154,0.651,-2.73,-18.427,-8.295,
48242850,-0.744,0.157,0.675,-3.08,-19.127,-8.225,
48242860,-0.738,0.185,0.7,-5.617,-21.105,-9.625,
48242870,-0.711,0.196,0.69,-6.79,-22.75,-9.975,
48242880,-0.696,0.175,0.681,-7.052,-23.765,-8.837,
48242890,-0.695,0.16,0.68,-8.75,-23.345,-7.665,
48242900,-0.688,0.164,0.696,-9.975,-22.767,-6.965,
48242910,-0.672,0.168,0.723,-9.327,-20.527,-4.97,
48242920,-0.723,0.144,0.724,-7.56,-17.71,5.215,
48242930,-0.651,0.193,0.721,-5.407,-16.975,7.63,
48242940,-0.591,0.236,0.714,-3.92,-12.267,3.675,
48242950,-0.621,0.204,0.711,-5.25,-4.375,3.797,
48242960,-0.68,0.161,0.703,-6.965,1.82,6.545,
48242970,-0.706,0.146,0.683,-5.302,5.005,8.102,
48242980,-0.699,0.161,0.672,-1.75,5.04,7.227,
48242990,-0.701,0.169,0.664,-0.962,5.127,6.895,
48243000,-0.734,0.148,0.649,-0.997,3.92,6.265,
48243010,-0.76,0.149,0.655,0.332,1.47,3.99,
48243020,-0.76,0.164,0.658,1.417,-2.747,0.857,
48243030,-0.781,0.156,0.654,1.347,-6.142,-2.292,
48243040,-0.801,0.143,0.633,-0.14,-10.657,-6.562,
48243050,-0.805,0.129,0.622,-0.192,-18.112,-11.812,
48243060,-0.747,0.192,0.731,-2.45,-26.285,-16.73,
48243070,-0.686,0.222,0.79,-6.335,-28.402,-15.225,
48243080,-0.694,0.176,0.743,-5.39,-25.97,-3.745,
48243080,-0.641,0.168,0.703,-3.395,-24.36,-3.85,
48243100,-0.635,0.163,0.707,-4.62,-20.125,-4.427,
48243100,-0.653,0.157,0.74,-7.56,-17.99,-0.822,
48243120,-0.62,0.168,0.76,-9.537,-16.975,0.735,
48243120,-0.591,0.169,0.741,-8.225,-13.86,2.537,
48243140,-0.586,0.173,0.742,-5.81,-8.942,4.742,
48243140,-0.589,0.195,0.756,-5.442,-3.482,5.81,
48243160,-0.62,0.209,0.757,-5.372,2.397,8.295,
48243160,-0.659,0.209,0.769,-4.742,7.525,12.32,
48243170,-0.643,0.207,0.768,-4.725,16.012,14.105,
48243180,-0.686,0.143,0.675,-1.96,24.36,15.82,
48243190,-0.79,0.075,0.57,1.837,21.682,15.697,
48243200,-0.818,0.117,0.602,-0.577,9.8,9.87,
48243210,-0.778,0.177,0.648,-4.462,-0.945,2.87,
48243220,-0.767,0.141,0.651,-2.17,-8.75,-1.207,
48243230,-0.771,0.096,0.637,-1.47,-13.527,-5.46,
48243240,-0.768,0.093,0.659,-3.797,-19.215,-10.587,
48243250,-0.757,0.102,0.653,-5.547,-23.677,-15.277,
48243260,-0.762,0.116,0.623,-3.062,-30.205,-19.757,
48243270,-0.714,0.19,0.684,-1.137,-35.682,-23.625,
48243280,-0.633,0.27,0.843,-3.71,-34.912,-24.307,
48243290,-0.614,0.232,0.888,-7.612,-28.612,-12.197,
48243300,-0.581,0.14,0.743,-4.532,-23.52,-1.82,
48243310,-0.578,0.118,0.69,0.927,-17.115,-1.977,
48243320,-0.602,0.156,0.743,-2.03,-13.51,-2.24,
48243330,-0.613,0.194,0.813,-7.42,-13.807,0.7,
48243340,-0.592,0.194,0.821,-8.977,-14.56,3.745,
48243350,-0.569,0.173,0.798,-9.012,-9.957,6.23,
48243360,-0.564,0.167,0.805,-9.59,-1.785,9.31,
48243370,-0.594,0.161,0.78,-9.45,11.147,13.842,
48243380,-0.711,0.111,0.692,-4.952,18.252,16.1,
48243390,-0.781,0.123,0.667,-4.182,14.455,13.842,
48243400,-0.759,0.188,0.695,-8.487,6.702,7.927,
48243410,-0.693,0.197,0.724,-9.275,0.805,4.357,
48243420,-0.652,0.154,0.706,-8.137,-0.332,4.095,
48243420,-0.665,0.101,0.677,-6.142,2.012,4.27,
48243440,-0.708,0.096,0.674,-3.447,1.802,3.01,
48243440,-0.754,0.126,0.693,-1.487,-1.295,-0.017,
48243460,-0.779,0.133,0.688,-0.997,-5.705,-4.567,
48243460,-0.753,0.114,0.661,-1.015,-10.552,-9.835,
48243480,-0.708,0.093,0.633,-0.682,-15.522,-14.175,
48243480,-0.69,0.089,0.663,0.122,-21.84,-16.607,
48243500,-0.641,0.14,0.755,-1.015,-24.78,-18.217,
48243500,-0.603,0.176,0.816,-0.402,-23.677,-17.36,
48243510,-0.561,0.172,0.812,1.102,-18.445,-13.405,
48243520,-0.571,0.124,0.743,2.712,-10.902,-7.997,
48243530,-0.633,0.093,0.729,3.517,-6.37,-3.675,
48243540,-0.66,0.122,0.744,1.19,-5.547,-2.607,
48243550,-0.661,0.149,0.76,1.54,-5.705,-2.537,
48243560,-0.641,0.159,0.78,1.12,-7.122,-1.382,
48243570,-0.635,0.135,0.768,-2.695,-7.647,0.717,
48243580,-0.62,0.125,0.761,-5.897,-8.837,2.66,
48243590,-0.611,0.129,0.773,-5.46,-8.067,5.547,
48243600,-0.654,0.148,0.767,-3.325,-6.265,14.14,
48243610,-0.57,0.225,0.824,-3.185,-3.395,13.23,
48243620,-0.534,0.222,0.803,-4.235,7.332,12.057,
48243630,-0.667,0.122,0.714,-2.625,18.34,17.255,
48243640,-0.775,0.072,0.64,-2.52,17.955,17.08,
48243650,-0.784,0.123,0.658,-3.902,9.012,10.745,
48243660,-0.706,0.198,0.733,-4.655,-0.612,4.742,
48243670,-0.642,0.186,0.749,-4.882,-5.092,3.255,
48243680,-0.631,0.135,0.727,-4.025,-4.06,4.252,
48243690,-0.691,0.094,0.7,-1.715,-1.4,4.55,
48243700,-0.768,0.095,0.673,0.595,-2.485,1.645,
48243710,-0.807,0.112,0.665,1.155,-7.7,-4.077,
48243720,-0.783,0.109,0.668,-0.84,-15.207,-11.357,
48243730,-0.731,0.076,0.628,-1.82,-21.717,-17.255,
48243740,-0.676,0.061,0.681,0.7,-30.24,-20.597,
48243750,-0.572,0.137,0.844,0.262,-30.537,-17.692,
48243760,-0.571,0.171,0.86,3.167,-25.812,-1.732,
48243770,-0.534,0.16,0.789,9.257,-20.562,3.692,
48243780,-0.585,0.147,0.719,7.332,-13.457,4.182,
48243790,-0.642,0.141,0.747,1.47,-9.905,0.805,
