#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
54713240,-0.865,0.248,0.141,-27.51,43.75,-36.942,
54713250,-0.99,0.431,0.17,-21.77,44.012,-25.585,
54713260,-1.212,0.209,0.026,-33.932,31.972,17.08,
54713270,-1.086,0.372,0.046,-11.2,11.27,9.695,
54713280,-1.133,0.398,0.011,-5.232,2.292,4.795,
54713290,-1.112,0.41,-0.016,-4.427,1.925,-1.767,
54713300,-1.136,0.439,-0.024,-1.627,6.737,-4.655,
54713310,-1.161,0.451,-0.038,-2.8,15.102,-2.415,
54713320,-1.149,0.416,-0.067,-1.452,23.327,-4.9,
54713330,-1.18,0.421,-0.041,4.777,28.805,-3.29,
54713340,-1.108,0.44,-0.037,3.22,30.362,-4.2,
54713350,-1.078,0.401,-0.015,7.542,30.52,-3.727,
54713360,-1.034,0.416,0.009,8.452,30.642,-4.672,
54713370,-1.019,0.408,0.044,7.07,29.312,-6.947,
54713380,-1.02,0.396,0.073,4.462,24.99,-9.415,
54713390,-1.031,0.427,0.131,-0.612,16.275,-7.437,
54713400,-1.027,0.396,0.137,-16.362,3.447,2.537,
54713410,-0.96,0.381,0.162,-22.032,-12.565,4.637,
54713420,-0.901,0.398,0.184,-26.53,-24.272,3.342,
54713420,-0.867,0.375,0.195,-32.48,-30.502,3.395,
54713440,-0.854,0.365,0.218,-36.942,-33.46,1.925,
54713440,-0.817,0.343,0.216,-40.267,-33.53,-0.77,
54713460,-0.803,0.314,0.223,-42.84,-29.925,-0.91,
54713460,-0.806,0.307,0.24,-42,-25.602,1.505,
54713480,-0.812,0.302,0.25,-37.52,-21.087,2.432,
54713480,-0.813,0.307,0.267,-32.2,-18.042,0.315,
54713500,-0.831,0.307,0.281,-26.95,-15.312,-2.52,
54713500,-0.835,0.307,0.284,-23.415,-14.35,-4.462,
54713510,-0.825,0.292,0.28,-20.475,-12.092,-4.532,
54713520,-0.811,0.284,0.274,-18.392,-9.047,-3.045,
54713530,-0.801,0.275,0.261,-17.36,-2.94,-1.085,
54713540,-0.797,0.262,0.246,-17.027,4.742,-0.682,
54713550,-0.821,0.256,0.232,-17.57,13.492,-1.347,
54713560,-0.868,0.246,0.208,-17.955,19.582,-3.167,
54713570,-0.902,0.237,0.196,-17.202,21.42,-5.687,
54713580,-0.937,0.229,0.185,-16.432,17.657,-7.682,
54713590,-0.949,0.217,0.172,-16.345,10.08,-9.047,
54713600,-0.946,0.206,0.163,-16.187,0.525,-10.57,
54713610,-0.915,0.201,0.156,-15.767,-7.787,-12.11,
54713620,-0.87,0.195,0.147,-16.467,-12.53,-12.565,
54713630,-0.823,0.185,0.143,-18.987,-11.375,-14.017,
54713640,-0.803,0.173,0.128,-22.715,-6.422,-18.025,
54713650,-0.78,0.191,0.13,-26.285,1.68,-21.297,
54713660,-0.917,0.159,0.19,-23.502,13.597,-17.867,
54713670,-1.395,0.257,0.23,-15.015,25.567,-6.825,
54713680,-1.635,0.336,0.306,-3.552,33.057,-1.19,
54713690,-1.546,0.413,0.231,4.847,34.912,10.237,
54713700,-1.158,0.359,0.158,-3.412,26.897,24.29,
54713710,-0.983,0.277,0.113,-11.742,14.875,25.847,
54713720,-0.786,0.268,0.098,-14.665,2.905,16.537,
54713730,-0.746,0.262,0.088,-20.457,-4.865,11.532,
54713740,-0.756,0.287,0.094,-18.305,-10.22,4.655,
54713750,-0.887,0.339,0.141,-10.027,-12.915,2.695,
54713760,-1.029,0.383,0.208,-4.777,-13.142,0.612,
54713770,-1.067,0.387,0.267,-0.717,-8.137,-3.622,
54713780,-1.024,0.355,0.236,-0.14,0.857,-3.097,
54713790,-0.913,0.299,0.191,-2.835,4.48,-0.647,
54713800,-0.861,0.282,0.167,-1.312,5.197,-2.485,
54713810,-0.895,0.28,0.168,1.417,5.092,-7.122,
54713820,-0.956,0.272,0.167,1.89,6.037,-7.945,
54713830,-0.992,0.294,0.165,3.342,6.142,-6.37,
54713830,-1.003,0.31,0.163,3.5,5.075,-4.445,
54713850,-1.037,0.297,0.143,-0.21,1.767,0.017,
54713850,-0.998,0.3,0.141,-1.662,-4.357,1.102,
54713870,-0.981,0.324,0.148,-2.747,-9.975,0.297,
54713870,-0.988,0.288,0.144,-7.892,-14.122,2.432,
54713890,-0.951,0.291,0.163,-8.05,-17.657,5.075,
54713890,-0.952,0.306,0.185,-7.21,-18.2,5.6,
54713910,-0.961,0.295,0.195,-6.702,-17.727,5.81,
54713910,-0.943,0.313,0.199,-5.757,-17.36,6.772,
54713920,-0.931,0.322,0.202,-7.455,-17.29,7.14,
54713930,-0.906,0.323,0.208,-9.38,-15.61,7.28,
54713940,-0.863,0.331,0.222,-11.83,-11.935,7.927,
54713950,-0.847,0.335,0.243,-13.772,-4.445,6.125,
54713960,-0.85,0.323,0.253,-14.7,4.532,1.12,
54713970,-0.875,0.317,0.24,-15.207,14.192,-2.8,
54713980,-0.929,0.318,0.223,-13.737,20.562,-6.597,
54713990,-1.007,0.348,0.208,-11.83,22.785,-10.622,
54714000,-0.982,0.301,0.185,-13.16,20.72,-12.057,
54714010,-1.028,0.293,0.165,-13.562,15.365,-8.89,
54714020,-0.965,0.25,0.139,-11.217,8.347,-6.072,
54714030,-0.961,0.238,0.103,-8.277,5.67,-3.762,
54714040,-0.978,0.242,0.106,-4.252,4.235,-4.287,
54714050,-1.056,0.264,0.126,-3.01,-0.227,-4.952,
54714060,-1.017,0.254,0.15,-2.1,-6.72,-0.857,
54714070,-0.983,0.256,0.158,-0.752,-11.007,5.267,
54714080,-0.953,0.268,0.177,1.925,-13.86,7.192,
54714090,-0.939,0.273,0.19,3.64,-14.105,7.892,
54714100,-0.931,0.283,0.2,5.792,-12.442,7.402,
54714110,-0.937,0.301,0.182,7.805,-10.57,6.16,
54714120,-0.976,0.368,0.093,8.645,-12.512,4.707,
54714130,-1.025,0.388,0.213,1.19,-25.935,1.435,
54714140,-0.957,0.237,0.22,-1.137,-22.295,1.925,
54714150,-0.841,0.31,0.218,6.125,-15.015,3.045,
54714160,-0.907,0.321,0.209,1.102,-13.23,0.035,
54714170,-0.933,0.285,0.23,0.91,-10.727,-2.257,
54714170,-0.903,0.314,0.245,1.61,-5.092,-0.787,
54714190,-0.899,0.285,0.22,-0.56,0.98,-0.437,
54714190,-0.906,0.302,0.194,1.4,5.477,-2.1,
54714210,-0.96,0.323,0.182,1.032,6.265,-4.392,
54714210,-0.978,0.316,0.18,-0.997,5.635,-6.002,
54714230,-0.977,0.306,0.177,-4.252,3.325,-5.18,
54714230,-0.96,0.293,0.176,-7.017,1.33,-3.01,
54714250,-0.94,0.279,0.18,-7.577,-0.087,-2.257,
54714250,-0.937,0.275,0.19,-7.42,-0.052,-1.505,
54714260,-0.955,0.229,0.239,-6.72,0.332,0.035,
54714270,-0.9,0.219,0.214,0.77,7.507,4.252,
54714280,-0.928,0.31,0.172,6.055,10.78,4.217,
54714290,-1.012,0.308,0.157,1.995,8.172,2.887,
54714300,-1.008,0.301,0.174,-1.505,3.622,5.197,
54714310,-0.96,0.303,0.139,-1.505,1.785,7.332,
54714320,-0.96,0.34,0.157,-3.08,-3.937,6.282,
54714330,-0.986,0.302,0.173,-6.055,-7.805,4.585,
54714340,-0.948,0.301,0.193,-4.06,-9.292,3.832,
54714350,-0.922,0.292,0.209,-3.342,-9.152,2.415,
54714360,-0.909,0.265,0.211,-0.665,-6.755,0.577,
54714370,-0.906,0.281,0.213,3.447,-2.31,-0.087,
54714380,-0.914,0.289,0.209,5.372,1.732,-1.102,
54714390,-0.931,0.298,0.201,7.192,5.145,-3.01,
54714400,-0.922,0.36,0.099,7.84,6.86,-4.445,
54714410,-1.095,0.421,0.134,-2.03,-2.432,-10.447,
54714420,-1.077,0.198,0.175,-10.78,-13.37,-10.272,
54714430,-0.881,0.263,0.187,0.542,-11.025,1.942,
54714440,-0.923,0.314,0.175,3.622,-11.357,-2.765,
54714450,-0.966,0.25,0.217,1.172,-13.597,-5.757,
54714460,-0.929,0.227,0.227,2.555,-8.557,0.647,
54714470,-0.895,0.299,0.196,6.212,-2.275,3.027,
54714480,-0.941,0.303,0.193,3.167,-2.45,2.257,
54714490,-0.972,0.295,0.188,1.872,-1.697,3.15,
54714500,-0.963,0.329,0.18,1.837,-1.767,2.817,
54714510,-0.966,0.32,0.177,-1.102,-4.025,1.4,
54714520,-0.955,0.317,0.181,-3.85,-6.125,1.05,
54714530,-0.961,0.324,0.181,-7.84,-7.805,1.68,
54714540,-0.948,0.311,0.186,-11.847,-8.645,2.065,
54714550,-0.921,0.292,0.234,-13.02,-7.717,1.68,
54714560,-0.881,0.182,0.277,-10.097,-0.367,1.68,
54714570,-0.823,0.235,0.217,2.485,13.247,3.622,
54714580,-0.924,0.342,0.183,2.047,16.432,0.56,
54714580,-1.044,0.301,0.171,-3.972,14.595,0.262,
54714600,-1.009,0.311,0.153,-4.322,13.16,2.835,
54714600,-0.963,0.321,0.14,-4.742,8.662,3.43,
54714620,-0.974,0.309,0.153,-6.212,2.817,0.49,
54714620,-0.977,0.3,0.193,-6.317,-1.505,-0.927,
54714640,-0.919,0.259,0.208,-4.742,-1.19,-0.525,
54714640,-0.893,0.258,0.211,0.367,2.45,-2.31,
54714660,-0.897,0.271,0.198,5.04,7.787,-5.372,
54714660,-0.967,0.348,0.158,5.005,11.532,-4.795,
54714670,-1.031,0.322,0.094,-2.817,8.05,-1.032,
54714680,-1.109,0.321,0.113,-4.165,-4.865,-5.81,
54714690,-0.982,0.226,0.174,-0.945,-13.72,-8.522,
54714700,-0.915,0.3,0.181,6.422,-12.337,-5.32,
54714710,-0.947,0.28,0.193,2.24,-13.16,-7.262,
54714720,-0.939,0.243,0.198,1.96,-11.34,-5.967,
54714730,-0.94,0.287,0.187,2.905,-7.56,-2.187,
54714740,-0.941,0.309,0.185,0.962,-6.93,-2.625,
54714750,-0.951,0.276,0.202,-1.435,-6.405,-4.287,
54714760,-0.933,0.288,0.199,-0.157,-3.115,-3.535,
54714770,-0.937,0.309,0.191,-1.575,-0.77,-3.762,
54714780,-0.969,0.296,0.174,-4.112,-1.085,-5.74,
54714790,-0.971,0.307,0.165,-4.48,-2.59,-7.07,
54714800,-0.98,0.314,0.168,-5.915,-5.127,-8.89,
54714810,-0.978,0.298,0.173,-8.207,-6.877,-11.217,
54714820,-0.957,0.29,0.178,-9.887,-8.295,-12.705,
54714830,-0.944,0.262,0.221,-11.392,-8.295,-13.02,
54714840,-0.9,0.169,0.245,-9.66,-2.607,-10.395,
54714850,-0.868,0.237,0.219,-2.292,7.875,-2.467,
54714860,-0.916,0.242,0.184,-6.3,11.182,1.102,
54714870,-0.973,0.238,0.173,-5.337,12.477,5.215,
54714880,-0.972,0.27,0.149,-4.812,11.637,7.84,
54714890,-0.995,0.294,0.155,-4.602,7.857,6.772,
54714900,-0.996,0.286,0.162,-4.2,4.882,3.815,
54714910,-0.993,0.292,0.157,-2.17,1.645,1.382,
54714920,-0.974,0.281,0.176,-0.822,-2.397,-1.067,
54714920,-0.95,0.252,0.19,0.752,-3.377,-2.205,
54714940,-0.93,0.251,0.193,2.66,-1.207,-1.155,
54714940,-0.934,0.27,0.157,3.57,0.91,-0.175,
54714960,-0.982,0.274,0.148,1.942,-1.032,-0.647,
54714960,-1.001,0.266,0.136,1.872,-5.127,-0.927,
54714980,-1.024,0.273,0.141,1.785,-10.972,-0.647,
54714980,-1.013,0.282,0.142,2.047,-17.062,-1.47,
54715000,-1.004,0.261,0.181,-0.105,-22.505,-3.622,
54715000,-0.968,0.266,0.183,0.787,-22.662,-3.377,
54715010,-0.953,0.29,0.179,-1.557,-24.272,-2.625,
54715020,-0.974,0.266,0.211,-6.09,-26.285,3.027,
54715030,-0.888,0.201,0.213,-7.735,-22.995,11.025,
54715040,-0.878,0.273,0.227,0.017,-17.64,11.077,
54715050,-0.917,0.275,0.213,-0.805,-12.862,10.692,
54715060,-0.94,0.275,0.207,-1.575,-10.325,8.837,
54715070,-0.962,0.309,0.205,-0.927,-8.557,5.477,
54715080,-0.984,0.306,0.197,-3.045,-9.59,3.342,
54715090,-0.987,0.298,0.191,-5.057,-11.357,3.552,
54715100,-0.978,0.3,0.192,-7.385,-14.192,4.112,
54715110,-0.957,0.281,0.202,-9.642,-15.995,3.71,
54715120,-0.933,0.273,0.21,-10.237,-16.362,3.465,
54715130,-0.92,0.274,0.218,-10.377,-14.472,3.815,
54715140,-0.92,0.272,0.228,-10.955,-11.882,3.937,
54715150,-0.908,0.205,0.315,-11.41,-7.56,4.06,
54715160,-0.807,0.18,0.268,-1.96,5.46,6.352,
54715170,-0.861,0.311,0.238,4.917,13.912,4.182,
54715180,-0.96,0.275,0.207,-0.997,16.03,2.432,
54715190,-0.984,0.295,0.201,-1.365,16.957,5.722,
54715200,-0.994,0.333,0.181,-1.61,15.715,4.865,
54715210,-1.02,0.321,0.179,-3.272,12.215,-0.14,
54715220,-0.99,0.306,0.172,-4.9,6.755,-3.377,
54715230,-0.982,0.272,0.175,-5.95,0.77,-2.695,
54715240,-0.965,0.253,0.191,-3.377,-2.8,-2.17,
54715250,-0.94,0.244,0.2,-0.735,-3.885,-1.645,
54715260,-0.944,0.237,0.195,1.207,-3.167,-0.63,
54715270,-0.947,0.246,0.2,3.727,-2.485,0.787,
54715280,-0.954,0.249,0.2,5.775,-2.38,1.732,
54715290,-0.967,0.267,0.183,8.452,-3.307,1.365,
54715300,-0.993,0.301,0.152,9.082,-6.037,0.577,
54715310,-1.045,0.333,0.147,5.547,-13.352,-0.14,
54715320,-1.058,0.326,0.163,-0.542,-22.802,0.542,
54715330,-0.993,0.272,0.225,-4.812,-28.332,2.8,
54715330,-0.889,0.249,0.243,-2.012,-24.377,3.552,
54715350,-0.859,0.271,0.249,0.14,-19.582,0.525,
54715350,-0.88,0.28,0.248,-0.332,-14.857,-0.927,
54715370,-0.886,0.246,0.279,-1.557,-9.835,0.262,
54715370,-0.874,0.262,0.246,2.835,0.332,2.502,
54715380,-0.926,0.31,0.221,3.5,4.602,0.7,
54715390,-0.969,0.285,0.21,1.54,4.952,-0.262,
54715400,-0.965,0.289,0.204,1.977,3.71,0.245,
54715410,-0.974,0.297,0.197,1.802,1.977,-0.227,
54715420,-0.982,0.284,0.19,0.612,-1.015,0,
54715430,-0.977,0.298,0.195,-1.067,-3.99,1.085,
54715440,-0.967,0.299,0.203,-4.55,-7.385,0.735,
54715450,-0.954,0.298,0.213,-7.752,-8.505,0.577,
54715460,-0.94,0.296,0.23,-9.87,-8.662,0.595,
54715470,-0.887,0.199,0.319,-10.797,-4.06,0.822,
54715480,-0.761,0.171,0.268,-0.122,11.445,3.377,
54715490,-0.823,0.296,0.236,6.107,21.437,0.647,
54715500,-0.977,0.272,0.201,2.117,24.01,-1.26,
54715510,-1.034,0.301,0.179,1.067,23.555,1.89,
54715520,-1.041,0.327,0.145,0.735,19.442,2.8,
54715530,-1.04,0.322,0.149,-2.257,11.025,0.665,
54715540,-1.026,0.287,0.166,-4.2,2.397,-0.455,
