time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
51984120,-0.7,0.069,0.565,-93.992,46.2,-13.86
51984130,-0.69,0.064,0.571,-93.817,38.605,-11.2
51984140,-0.684,0.048,0.57,-92.365,32.48,-6.265
51984150,-0.683,0.041,0.606,-89.6,28.665,-5.915
51984160,-0.708,0.054,0.601,-95.62,26.355,-4.637
51984170,-0.784,-0.032,0.608,-94.29,21.245,-7.805
51984180,-0.805,-0.039,0.639,-93.135,15.732,-18.742
51984190,-0.826,-0.067,0.671,-93.992,7.595,-29.715
51984200,-0.809,-0.044,0.647,-92.907,-2.03,-36.907
51984210,-1.037,-0.391,0.484,-45.657,-31.867,-37.905
51984220,-0.647,0.13,0.947,-20.072,-48.335,-74.095
51984230,-0.64,0.127,0.742,-73.447,-50.75,-70.892
51984240,-0.665,-0.136,0.649,-80.202,-54.775,-63.507
51984250,-0.598,-0.186,0.662,-65.52,-58.1,-63.717
51984260,-0.586,-0.16,0.791,-59.78,-55.247,-51.345
51984270,-0.749,-0.366,0.758,-61.6,-53.427,-34.545
51984280,-0.714,-0.401,0.825,-30.992,-61.337,-30.975
51984290,-0.556,-0.28,0.941,-9.922,-62.212,-13.772
51984300,-0.509,-0.137,0.997,-7.98,-42.577,0.84
51984310,-0.676,-0.139,1.012,-22.225,-24.622,-0.472
51984320,-0.611,-0.246,0.973,-41.86,-2.782,-11.97
51984330,-0.599,-0.346,1.001,-54.915,23.905,-22.872
51984330,-0.762,-0.413,0.952,-64.155,44.24,-25.077
51984350,-0.776,-0.389,0.982,-60.48,49.087,-37.065
51984350,-0.83,-0.366,0.991,-64.732,42.665,-45.272
51984370,-0.902,-0.428,0.974,-77.525,22.295,-52.377
51984370,-0.849,-0.46,0.884,-84.717,-5.162,-61.88
51984390,-0.604,-0.508,0.805,-79.485,-18.9,-62.195
51984390,-0.697,-0.497,0.81,-72.205,-27.72,-60.97
51984410,-0.687,-0.429,0.783,-70.717,-41.457,-67.025
51984410,-0.56,-0.458,0.654,-74.672,-54.967,-68.18
51984420,-0.413,-0.544,0.603,-60.287,-62.912,-65.205
51984430,-0.393,-0.568,0.593,-37.782,-63.052,-57.295
51984440,-0.389,-0.547,0.625,-18.76,-65.38,-49.385
51984450,-0.363,-0.49,0.623,-7.28,-62.947,-45.64
51984460,-0.29,-0.469,0.654,4.217,-57.277,-47.425
51984470,-0.325,-0.447,0.695,8.505,-49.402,-48.02
51984480,-0.4,-0.432,0.699,7.507,-45.465,-50.645
51984490,-0.409,-0.437,0.694,8.785,-45.552,-56.472
51984500,-0.376,-0.437,0.687,13.842,-46.13,-61.39
51984510,-0.305,-0.413,0.704,19.442,-43.89,-62.002
