time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
61717920,-0.174,-0.255,0.968,-13.352,0.262,-1.067
61717940,-0.156,-0.213,0.97,-13.072,-1.225,-0.84
61717940,-0.157,-0.242,0.965,-15.96,-0.892,-2.047
61717960,-0.154,-0.25,0.961,-16.152,-1.505,-2.152
61717960,-0.155,-0.24,0.958,-15.522,-0.91,-1.662
61717980,-0.161,-0.25,0.958,-16.03,-1.557,-3.01
61717980,-0.169,-0.263,0.954,-15.995,-1.137,-3.272
61718000,-0.152,-0.246,0.953,-14.455,-1.907,-4.095
61718000,-0.155,-0.265,0.946,-14.14,0.385,-6.317
61718010,-0.17,-0.286,0.911,-11.69,1.575,-8.312
61718020,-0.208,-0.211,0.977,-8.225,2.047,-10.902
61718030,-0.144,-0.181,1.069,-11.725,-1.225,-12.565
61718040,-0.177,-0.161,1.117,-21.805,0.735,-14.367
61718050,-0.184,-0.106,1.182,-35.875,0.962,-18.2
61718060,-0.079,-0.13,1.235,-53.83,6.877,-23.45
61718070,-0.086,-0.134,1.269,-71.715,20.002,-28.052
61718080,-0.078,-0.156,1.226,-87.727,43.96,-34.58
61718090,-0.277,-0.156,1.167,-97.982,72.117,-44.45
61718100,-0.429,-0.204,1.13,-106.925,90.947,-57.627
61718110,-0.497,-0.332,1.091,-114.747,100.642,-69.912
61718120,-0.558,-0.383,1.053,-117.792,106.855,-80.132
61718130,-0.894,-0.299,0.935,-117.32,98.7,-83.93
61718140,-1.001,-0.478,0.831,-123.462,79.047,-87.762
61718150,-0.908,-0.581,0.788,-113.347,57.155,-89.495
61718160,-0.656,-0.448,0.702,-84.595,55.877,-84.262
61718170,-0.527,-0.387,0.59,-52.675,51.712,-94.675
61718180,-0.602,-0.366,0.384,-48.44,49.665,-100.415
61718190,-1.584,0.184,0.525,-58.485,53.637,-80.325
61718200,-1.612,-0.371,0.267,-55.947,81.2,22.697
61718210,-0.699,-0.019,0.255,3.202,87.762,127.347
61718220,0.368,-0.145,0.485,-13.265,116.532,139.247
61718230,0.347,-0.721,0.631,-22.855,139.842,101.902
61718240,-0.176,-0.87,0.508,-3.097,108.885,5.442
61718250,0.008,-0.742,0.495,21.77,53.147,-81.725
61718260,0.118,-0.77,0.397,21.21,25.235,-120.785
61718260,-0.143,-0.885,0.111,12.092,15.575,-137.445
