time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
48017280,-0.997,0.177,0.448,-60.235,62.107,28.297
48017290,-0.911,0.168,0.457,-42,35.805,20.352
48017300,-0.85,0.176,0.481,-21.892,18.06,12.757
48017310,-0.778,0.263,0.464,1.61,7.752,7.052
48017320,-0.837,0.285,0.403,18.952,0.962,1.75
48017330,-0.895,0.28,0.407,27.685,-6.667,-3.622
48017340,-1.037,0.248,0.414,38.255,-15.172,-7.175
48017350,-1.063,0.236,0.46,49.857,-38.622,-17.185
48017360,-0.759,0.313,0.499,61.495,-64.54,-28.892
48017370,-0.654,0.432,0.595,66.762,-66.972,-34.51
48017380,-0.781,0.458,0.629,53.375,-62.982,-37.87
48017390,-0.637,0.418,0.609,29.942,-55.685,-37.135
48017400,-0.734,0.357,0.585,9.975,-31.255,-22.907
48017410,-0.893,0.297,0.541,-4.795,-16.677,-9.642
48017420,-0.762,0.294,0.559,-16.73,-15.102,-2.257
48017430,-0.733,0.273,0.59,-26.215,-10.5,3.71
48017440,-0.649,0.259,0.6,-30.975,-5.11,9.59
48017450,-0.553,0.379,0.59,-33.81,10.115,17.395
48017460,-0.623,0.488,0.584,-48.982,37.135,29.802
48017470,-0.789,0.322,0.559,-69.912,59.587,39.742
48017480,-0.8,0.275,0.518,-72.362,69.335,43.155
48017490,-0.997,0.199,0.489,-66.727,65.24,41.615
48017500,-0.999,0.046,0.44,-52.517,41.317,28.262
48017510,-0.782,0.109,0.46,-22.715,19.39,17.762
48017510,-0.793,0.258,0.491,4.69,9.975,9.45
48017530,-0.866,0.271,0.444,16.502,2.17,-0.56
48017530,-0.892,0.283,0.44,26.46,-3.395,-7.647
48017550,-0.991,0.277,0.423,31.902,-10.517,-10.202
48017550,-1.04,0.21,0.397,36.33,-26.372,-14.787
48017570,-0.949,0.164,0.446,52.29,-57.277,-27.055
48017570,-0.666,0.344,0.537,71.417,-76.772,-36.522
48017580,-0.655,0.478,0.687,72.502,-73.78,-41.842
48017590,-0.698,0.482,0.699,47.862,-55.475,-40.267
48017600,-0.752,0.407,0.587,18.287,-32.532,-29.4
48017610,-0.81,0.273,0.492,-4.725,-20.667,-15.015
48017620,-0.76,0.276,0.543,-16.012,-16.992,-3.92
48017630,-0.808,0.337,0.612,-29.015,-13.317,7.385
48017640,-0.751,0.276,0.607,-45.062,-11.637,15.312
48017650,-0.603,0.359,0.562,-52.99,-2.222,23.555
48017660,-0.578,0.438,0.608,-66.71,22.242,35.087
48017670,-0.781,0.287,0.606,-84.087,46.917,44.765
48017680,-0.83,0.219,0.568,-81.62,58.187,52.342
48017690,-0.757,0.172,0.503,-72.607,57.225,49.385
48017700,-0.833,0.05,0.487,-52.57,52.202,37.887
48017710,-0.8,0.116,0.524,-22.925,40.617,22.295
48017720,-0.737,0.241,0.523,4.27,28.647,13.23
48017730,-0.767,0.342,0.48,17.342,26.862,6.702
48017740,-0.925,0.301,0.429,21.857,24.132,-2.502
48017750,-1.019,0.261,0.426,27.107,14.49,-8.54
48017760,-1.048,0.242,0.437,34.23,-2.537,-12.635
48017770,-0.943,0.19,0.439,44.362,-29.172,-22.837
48017780,-0.77,0.302,0.488,59.762,-49.21,-33.267
48017790,-0.798,0.38,0.561,63.962,-57.207,-42.122
48017800,-0.679,0.407,0.649,52.622,-54.407,-44.695
48017810,-0.769,0.475,0.631,32.287,-29.96,-31.745
48017820,-0.848,0.331,0.545,3.972,-13.37,-17.412
48017830,-0.755,0.222,0.493,-9.677,-10.885,-7.77
48017840,-0.798,0.261,0.552,-11.847,-7.472,-0.28
48017850,-0.743,0.237,0.58,-18.69,-6.422,1.417
48017860,-0.661,0.284,0.608,-20.37,-0.857,5.74
48017870,-0.564,0.375,0.636,-28.577,13.685,16.415
48017880,-0.716,0.403,0.573,-47.845,42.805,33.827
48017890,-0.865,0.302,0.529,-62.982,63.665,39.252
48017900,-0.87,0.147,0.462,-66.307,62.632,37.765
48017910,-0.962,0.017,0.408,-50.522,47.18,32.34
48017910,-0.818,0.113,0.428,-20.86,28.157,22.925
48017920,-0.78,0.246,0.461,2.485,16.975,14.157
48017930,-0.828,0.315,0.431,12.127,9.817,8.68
48017940,-0.934,0.278,0.4,18.655,0.7,3.99
48017950,-0.968,0.265,0.425,26.092,-11.847,-0.122
48017960,-0.993,0.291,0.485,34.212,-23.38,-6.09
48017970,-1.055,0.19,0.475,41.09,-48.737,-20.212
48017980,-0.705,0.287,0.496,58.327,-72.975,-36.155
48017990,-0.72,0.468,0.594,66.657,-71.085,-40.092
48018000,-0.714,0.422,0.632,47.425,-62.65,-38.57
48018010,-0.742,0.435,0.591,17.64,-35.437,-18.13
48018020,-0.902,0.302,0.52,-7.087,-15.907,-1.487
48018030,-0.772,0.23,0.549,-20.247,-17.22,2.905
48018040,-0.657,0.235,0.592,-23.502,-16.467,10.062
48018050,-0.656,0.294,0.61,-25.76,-5.407,19.075
48018060,-0.651,0.376,0.587,-34.055,13.72,25.847
48018070,-0.785,0.366,0.567,-45.36,35.472,32.007
48018080,-0.783,0.27,0.532,-51.537,46.392,35.28
48018090,-0.835,0.152,0.513,-48.177,46.34,35.07
48018100,-0.811,0.134,0.497,-31.377,34.142,25.305
48018110,-0.84,0.2,0.499,-10.745,22.277,16.432
48018120,-0.826,0.296,0.484,2.047,10.36,6.842
48018130,-0.864,0.326,0.454,11.007,2.765,-0.542
48018140,-0.947,0.323,0.468,16.362,-4.462,-8.47
48018150,-0.974,0.298,0.471,18.69,-14.192,-13.527
48018160,-0.934,0.255,0.452,22.435,-26.215,-18.532
48018170,-0.953,0.201,0.448,32.06,-42.84,-29.015
48018180,-0.683,0.245,0.5,46.585,-62.09,-39.917
48018190,-0.619,0.44,0.624,55.965,-52.902,-38.92
48018200,-0.75,0.463,0.661,40.302,-35.437,-33.442
48018210,-0.792,0.341,0.581,13.562,-19.512,-24.272
48018220,-0.839,0.239,0.539,-1.487,-11.165,-10.29
48018230,-0.822,0.251,0.543,-9.905,-11.287,-4.34
48018240,-0.785,0.247,0.584,-16.87,-12.39,-0.56
48018250,-0.688,0.227,0.587,-23.992,-11.497,4.987
48018260,-0.655,0.25,0.591,-26.565,-5.162,14.192
48018260,-0.586,0.33,0.572,-31.64,10.22,23.222
48018280,-0.721,0.364,0.581,-42.507,35.962,31.692
48018280,-0.814,0.305,0.585,-52.447,53.095,36.732
48018300,-0.815,0.228,0.58,-57.015,55.685,39.165
48018300,-0.859,0.154,0.533,-55.597,47.022,32.305
48018320,-0.827,0.085,0.47,-38.832,28.192,21.63
48018320,-0.656,0.232,0.475,-13.72,20.527,18.34
48018330,-0.916,0.248,0.434,0.84,22.032,13.3
48018340,-0.93,0.221,0.349,13.58,7.42,4.252
48018350,-0.888,0.299,0.389,32.882,-6.807,-0.927
