time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
47212370,-0.667,0.301,0.676,-24.972,-16.45,16.712
47212380,-0.675,0.236,0.704,-21.455,-16.555,12.355
47212390,-0.624,0.238,0.7,-12.18,-19.285,7.087
47212400,-0.552,0.264,0.693,-2.012,-15.102,2.765
47212410,-0.622,0.29,0.678,4.917,-8.365,1.032
47212420,-0.676,0.307,0.666,9.275,-4.13,-0.262
47212420,-0.73,0.311,0.649,12.74,-4.112,-1.557
47212440,-0.763,0.327,0.644,15.575,-7.787,-3.15
47212440,-0.747,0.31,0.644,16.45,-13.23,-5.25
47212460,-0.763,0.232,0.653,18.795,-19.95,-7.122
47212460,-0.679,0.213,0.66,30.135,-31.15,-11.2
47212480,-0.556,0.281,0.696,43.032,-31.342,-17.115
47212480,-0.586,0.321,0.693,46.847,-23.03,-20.352
47212500,-0.671,0.296,0.691,46.532,-16.817,-20.177
47212500,-0.674,0.318,0.667,47.547,-17.675,-19.862
47212510,-0.676,0.365,0.641,47.425,-16.66,-20.125
47212520,-0.675,0.369,0.623,44.555,-16.222,-20.405
47212530,-0.66,0.427,0.632,38.64,-14.07,-17.85
47212540,-0.658,0.457,0.628,27.055,-10.36,-14.14
47212550,-0.675,0.456,0.625,13.772,-4.935,-8.225
47212560,-0.725,0.418,0.633,-1.12,-3.29,0.175
47212570,-0.73,0.366,0.649,-11.462,-9.765,6.265
47212580,-0.66,0.344,0.655,-14.175,-15.452,8.172
47212590,-0.613,0.323,0.674,-14.455,-14.63,8.312
47212600,-0.597,0.344,0.669,-13.37,-10.29,8.995
47212610,-0.614,0.367,0.673,-13.405,-5.11,9.625
47212620,-0.636,0.362,0.659,-16.45,-1.487,10.062
47212630,-0.649,0.391,0.658,-19.337,2.345,12.617
47212640,-0.68,0.378,0.66,-24.762,3.517,15.365
47212650,-0.697,0.319,0.664,-28.98,1.172,17.71
47212660,-0.621,0.363,0.665,-28.262,1.855,20.055
47212670,-0.68,0.351,0.672,-31.832,5.32,23.625
47212680,-0.71,0.278,0.676,-34.352,3.167,23.432
47212690,-0.642,0.266,0.691,-27.615,-0.105,21.052
47212700,-0.586,0.298,0.696,-20.405,2.572,17.867
47212710,-0.675,0.27,0.702,-17.57,5.792,14.857
47212720,-0.678,0.228,0.688,-10.395,0.857,10.202
47212730,-0.62,0.31,0.685,2.38,-2.87,4.462
47212740,-0.663,0.344,0.685,7.805,-0.91,-0.227
47212750,-0.716,0.338,0.662,8.102,-2.03,-2.415
47212760,-0.719,0.348,0.659,9.362,-4.865,-4.34
47212770,-0.742,0.28,0.662,10.517,-10.85,-7.717
47212780,-0.657,0.272,0.671,18.06,-18.532,-13.597
47212780,-0.611,0.319,0.668,26.775,-22.995,-18.9
