time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
48122770,-0.706,0.346,0.605,-4.025,-0.122,0.665
48122780,-0.695,0.339,0.614,-5.442,1.347,-0.175
48122790,-0.692,0.341,0.612,-7.245,4.69,-0.35
48122800,-0.705,0.337,0.61,-8.417,7.437,-0.647
48122810,-0.72,0.344,0.618,-8.977,9.362,-1.225
48122820,-0.723,0.345,0.593,-10.342,10.22,-1.68
48122830,-0.791,0.43,0.562,-12.932,11.55,-0.35
48122840,-0.816,0.319,0.576,-21.035,4.55,-1.085
48122850,-0.759,0.289,0.594,-15.82,-0.647,-4.882
48122860,-0.693,0.317,0.595,-9.817,-0.84,-3.692
48122870,-0.734,0.311,0.599,-8.452,-0.087,-4.427
48122880,-0.736,0.301,0.608,-6.685,-0.052,-3.797
48122890,-0.745,0.311,0.601,-3.99,0.42,-3.482
48122900,-0.756,0.306,0.592,-0.927,-0.542,-3.43
48122910,-0.76,0.315,0.557,2.957,-0.612,-1.75
48122920,-0.793,0.332,0.572,4.182,-5.967,-1.312
48122920,-0.827,0.325,0.608,4.182,-11.9,-2.275
48122930,-0.774,0.273,0.567,6.93,-15.925,-0.612
48122940,-0.596,0.273,0.571,16.257,-18.655,-2.45
48122950,-0.655,0.389,0.637,19.11,-13.212,-1.085
48122960,-0.779,0.333,0.618,7,-8.487,0.455
48122970,-0.687,0.297,0.595,3.885,-6.86,1.505
48122980,-0.698,0.327,0.609,4.462,-3.885,2.905
48122990,-0.728,0.316,0.612,4.007,-1.89,4.637
48123000,-0.722,0.339,0.595,4.252,0.105,6.632
48123010,-0.715,0.343,0.588,2.485,0.577,5.53
48123020,-0.726,0.336,0.592,0.385,1.12,4.042
48123030,-0.727,0.341,0.596,-0.63,1.19,4.06
48123040,-0.719,0.35,0.598,-1.242,2.117,3.972
48123050,-0.723,0.36,0.599,-2.502,2.642,3.36
48123060,-0.709,0.366,0.616,-4.602,3.657,1.61
48123070,-0.695,0.351,0.617,-7.385,6.352,-0.14
48123080,-0.706,0.358,0.612,-9.52,10.482,-0.595
48123090,-0.733,0.345,0.589,-13.247,13.807,0.262
48123100,-0.737,0.311,0.564,-14.367,13.09,0.647
48123110,-0.741,0.325,0.575,-11.55,11.9,0.752
48123120,-0.794,0.305,0.592,-10.832,8.68,-0.682
48123130,-0.794,0.302,0.575,-7.28,5.302,-0.647
48123140,-0.774,0.312,0.539,-4.095,1.487,0.227
48123150,-0.789,0.317,0.548,-2.677,-4.112,-0.472
48123160,-0.826,0.33,0.568,-2.012,-10.5,-1.347
48123170,-0.791,0.333,0.571,-1.295,-15.89,-2.992
48123180,-0.757,0.32,0.586,0.14,-20.282,-3.955
48123190,-0.714,0.323,0.615,2.502,-21.98,-4.445
48123200,-0.707,0.311,0.626,4.48,-19.705,-4.567
48123210,-0.679,0.3,0.607,7.595,-14.595,-4.62
48123220,-0.683,0.32,0.598,10.605,-10.587,-3.92
48123230,-0.726,0.34,0.602,9.642,-8.032,-2.782
48123240,-0.743,0.34,0.603,6.44,-7.927,-2.94
48123250,-0.75,0.332,0.588,4.2,-7.157,-2.712
48123260,-0.741,0.317,0.589,3.395,-8.802,-2.782
48123260,-0.738,0.307,0.607,3.92,-9.082,-1.487
48123280,-0.724,0.304,0.612,3.92,-8.942,0.612
48123280,-0.693,0.308,0.6,3.587,-6.405,2.03
48123300,-0.696,0.32,0.606,2.467,-4.13,2.695
48123300,-0.705,0.327,0.608,1.102,-1.242,3.465
48123320,-0.71,0.339,0.609,-0.227,0.367,4.025
48123320,-0.709,0.343,0.62,-2.275,1.995,3.937
48123330,-0.719,0.347,0.611,-4.742,2.887,4.077
48123340,-0.716,0.347,0.596,-7.542,4.27,4.427
48123350,-0.723,0.347,0.597,-9.852,4.83,3.692
48123360,-0.728,0.353,0.605,-12.442,5.53,2.345
48123370,-0.739,0.333,0.598,-14.822,6.51,1.575
48123380,-0.733,0.319,0.587,-13.895,6.247,-0.192
48123390,-0.762,0.343,0.578,-11.182,4.987,-1.277
48123400,-0.793,0.346,0.577,-11.48,1.032,-2.275
48123410,-0.779,0.317,0.602,-11.182,-4.182,-3.745
48123420,-0.724,0.306,0.607,-8.12,-5.74,-4.76
48123430,-0.724,0.307,0.591,-4.83,-5.11,-5.092
48123440,-0.744,0.305,0.603,-2.362,-5.442,-5.792
48123450,-0.756,0.297,0.595,-0.367,-5.652,-5.985
48123460,-0.764,0.294,0.584,1.942,-6.685,-5.162
48123470,-0.783,0.284,0.568,4.497,-9.31,-4.182
48123480,-0.774,0.277,0.578,8.54,-13.947,-3.657
48123490,-0.74,0.281,0.609,13.58,-17.605,-4.322
48123500,-0.708,0.308,0.634,17.377,-16.607,-4.147
48123510,-0.683,0.318,0.624,16.467,-13.09,-1.715
48123520,-0.695,0.327,0.614,12.985,-8.75,1.26
48123530,-0.7,0.311,0.61,8.242,-5.652,2.59
48123540,-0.697,0.321,0.606,6.265,-2.677,2.485
48123550,-0.71,0.319,0.598,3.885,-0.157,2.87
48123560,-0.713,0.324,0.589,2.8,0.175,3.657
48123570,-0.733,0.342,0.594,1.207,-0.017,3.972
48123580,-0.738,0.344,0.611,-1.33,-1.26,3.517
48123590,-0.731,0.352,0.622,-3.815,-0.857,3.36
48123600,-0.706,0.345,0.621,-5.967,0.315,2.327
48123600,-0.693,0.337,0.615,-7.35,2.8,1.995
48123620,-0.682,0.373,0.623,-9.047,6.37,2.17
48123620,-0.749,0.341,0.591,-15.89,11.62,3.465
48123640,-0.735,0.274,0.574,-16.975,9.205,2.222
48123640,-0.733,0.317,0.58,-9.765,7.717,1.907
48123660,-0.776,0.348,0.578,-7.595,5.757,1.697
48123660,-0.803,0.32,0.578,-8.662,1.575,0.962
48123670,-0.773,0.299,0.59,-6.212,-4.077,-0.927
48123680,-0.738,0.287,0.594,-1.662,-6.51,-2.135
48123690,-0.742,0.287,0.593,2.905,-7.595,-1.19
48123700,-0.741,0.3,0.596,6.037,-8.19,-0.525
48123710,-0.767,0.306,0.579,6.51,-9.52,-0.385
48123720,-0.794,0.298,0.559,7.752,-13.352,-1.435
48123730,-0.8,0.304,0.562,12.302,-21.472,-2.73
48123740,-0.765,0.341,0.615,16.17,-27.545,-3.237
48123750,-0.728,0.301,0.629,13.282,-27.842,-1.505
48123760,-0.652,0.279,0.643,9.485,-24.692,2.292
48123770,-0.649,0.224,0.628,6.65,-19.267,5.827
48123780,-0.631,0.257,0.622,11.2,-13.335,6.772
48123790,-0.709,0.345,0.621,15.522,-7.682,8.767
