time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
32125980,0.174,-0.321,0.954,-26.407,42.525,1.82
32125980,0.099,-0.282,0.986,-21.052,38.447,4.077
32126000,0.08,-0.267,1,-17.482,31.027,4.62
32126000,0.079,-0.316,0.985,-16.52,22.942,5.53
32126010,0.119,-0.3,0.981,-12.582,14.84,7.455
32126020,0.177,-0.297,0.963,-11.007,9.047,7.42
32126030,0.185,-0.301,0.971,-10.43,5.145,5.582
32126040,0.154,-0.308,0.988,-10.167,2.24,4.2
32126050,0.16,-0.311,1.018,-9.922,-2.152,2.747
32126060,0.124,-0.295,1.034,-10.552,-8.382,-0.455
32126070,0.089,-0.387,1.063,-12.512,-17.08,-3.447
32126080,0.132,-0.453,1.065,-6.195,-29.155,-8.12
32126090,0.185,-0.378,0.933,5.74,-38.605,-12.687
32126100,0.304,-0.188,0.892,17.605,-38.99,-13.177
32126110,0.325,-0.258,0.844,12.53,-32.777,-11.357
32126120,0.311,-0.238,0.843,14.49,-24.937,-9.537
32126130,0.321,-0.201,0.851,13.772,-17.22,-7.297
32126140,0.299,-0.236,0.856,9.327,-10.43,-5.267
32126150,0.304,-0.218,0.862,7.542,-4.48,-3.482
32126160,0.292,-0.215,0.864,3.797,0.927,-1.89
32126170,0.293,-0.213,0.879,-0.175,5.827,0.42
32126180,0.289,-0.228,0.877,-3.99,10.097,2.572
32126190,0.274,-0.222,0.891,-6.965,14.35,4.655
32126200,0.272,-0.23,0.894,-10.08,17.92,6.65
32126210,0.255,-0.249,0.908,-11.952,21.315,7.98
32126220,0.223,-0.268,0.935,-12.25,23.065,8.627
32126230,0.192,-0.288,0.949,-11.13,22.732,8.452
32126240,0.195,-0.294,0.946,-9.187,20.125,7.612
32126250,0.197,-0.279,0.933,-6.877,18.095,6.685
32126260,0.214,-0.278,0.927,-5.792,16.397,6.142
32126270,0.219,-0.279,0.92,-5.022,16.117,6.02
32126280,0.223,-0.267,0.903,-4.2,15.977,5.897
32126290,0.243,-0.259,0.897,-4.427,17.43,6.335
32126300,0.242,-0.264,0.901,-5.425,19.355,6.79
32126310,0.213,-0.268,0.915,-6.282,21.84,7.192
32126320,0.17,-0.376,0.91,-5.775,22.137,7.542
32126330,0.181,-0.152,0.958,2.607,21.035,7.297
32126330,0.175,-0.319,0.935,-5.95,19.512,5.95
32126350,0.165,-0.324,0.943,-2.327,18.305,6.51
32126350,0.183,-0.276,0.955,3.797,15.907,6.09
32126370,0.199,-0.266,0.949,2.957,14.735,5.775
