time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
36908530,-0.174,-0.145,0.961,1.89,-6.37,-0.98
36908540,-0.171,-0.142,0.96,2.082,-5.95,-0.91
36908550,-0.169,-0.139,0.959,2.257,-5.355,-0.647
36908560,-0.178,-0.138,0.959,2.485,-5.092,-0.437
36908570,-0.183,-0.138,0.959,2.572,-5.075,-0.245
36908580,-0.191,-0.139,0.958,2.52,-5.512,-0.227
36908590,-0.187,-0.143,0.959,2.345,-6.072,-0.332
36908600,-0.186,-0.141,0.963,2.31,-6.37,-0.49
36908610,-0.191,-0.139,0.963,2.082,-6.72,-0.595
36908620,-0.185,-0.142,0.962,1.645,-7.052,-0.717
36908630,-0.18,-0.146,0.961,1.54,-7.385,-0.875
36908640,-0.176,-0.144,0.961,1.592,-7.105,-0.892
36908650,-0.172,-0.146,0.962,1.767,-7.035,-0.857
36908660,-0.174,-0.145,0.961,1.96,-6.405,-0.717
36908670,-0.172,-0.143,0.961,2.222,-6.247,-0.612
36908680,-0.177,-0.142,0.962,2.327,-5.582,-0.507
36908690,-0.178,-0.141,0.962,2.467,-5.74,-0.542
36908700,-0.179,-0.142,0.962,2.362,-5.337,-0.385
36908710,-0.182,-0.141,0.961,2.45,-5.635,-0.402
36908720,-0.184,-0.141,0.961,2.292,-5.425,-0.385
36908730,-0.181,-0.141,0.961,2.275,-6.002,-0.507
36908740,-0.182,-0.139,0.962,2.1,-5.705,-0.42
36908750,-0.183,-0.139,0.962,2.047,-6.177,-0.525
36908760,-0.183,-0.141,0.962,1.802,-5.845,-0.437
36908770,-0.18,-0.141,0.961,1.802,-6.335,-0.542
36908780,-0.178,-0.141,0.961,1.662,-5.95,-0.367
36908790,-0.178,-0.141,0.959,1.785,-6.212,-0.367
36908800,-0.178,-0.14,0.96,1.82,-5.81,-0.245
36908810,-0.177,-0.139,0.96,1.977,-6.195,-0.245
36908820,-0.18,-0.139,0.96,1.942,-5.862,-0.087
36908830,-0.182,-0.14,0.961,2.012,-6.265,-0.087
36908830,-0.181,-0.141,0.961,1.907,-6.055,-0.087
36908850,-0.18,-0.142,0.961,1.942,-6.422,-0.175
36908850,-0.18,-0.143,0.962,1.907,-6.02,-0.105
36908870,-0.175,-0.143,0.96,2.012,-6.16,-0.227
36908870,-0.175,-0.142,0.961,2.1,-5.652,-0.175
36908890,-0.178,-0.141,0.961,2.257,-5.652,-0.14
36908890,-0.179,-0.141,0.961,2.257,-5.372,-0.105
36908910,-0.18,-0.14,0.962,2.292,-5.565,-0.157
36908910,-0.181,-0.142,0.961,2.24,-5.442,-0.192
36908920,-0.179,-0.141,0.96,2.24,-5.565,-0.245
36908930,-0.18,-0.142,0.961,2.205,-5.425,-0.21
36908940,-0.18,-0.142,0.961,2.275,-5.372,-0.227
36908950,-0.179,-0.143,0.961,2.292,-5.285,-0.245
36908960,-0.18,-0.142,0.961,2.362,-5.197,-0.28
36908970,-0.178,-0.143,0.961,2.415,-5.11,-0.332
36908980,-0.177,-0.142,0.96,2.52,-4.882,-0.402
36908990,-0.18,-0.139,0.96,2.66,-4.795,-0.367
36909000,-0.18,-0.14,0.96,2.712,-4.637,-0.35
36909010,-0.182,-0.14,0.96,2.747,-4.777,-0.402
36909020,-0.18,-0.14,0.961,2.73,-4.532,-0.437
36909030,-0.18,-0.14,0.96,2.73,-4.655,-0.542
36909040,-0.179,-0.142,0.96,2.782,-4.287,-0.525
36909050,-0.182,-0.142,0.96,3.08,-4.375,-0.752
36909060,-0.184,-0.144,0.958,3.185,-4.13,-1.015
36909070,-0.17,-0.151,0.959,3.587,-4.252,-1.452
36909080,-0.167,-0.145,0.964,4.13,-3.062,-1.592
36909090,-0.19,-0.14,0.97,4.252,-2.432,-1.855
36909100,-0.199,-0.143,0.983,2.94,-1.61,-2.222
36909110,-0.237,-0.147,1.013,-0.245,-2.257,-2.887
36909120,-0.201,-0.202,1.012,-5.582,-4.515,-3.482
36909130,-0.134,-0.235,0.981,-4.935,-5.32,-4.322
36909140,-0.071,-0.186,0.97,-0.315,-0.42,-4.235
36909150,-0.117,-0.112,0.949,4.392,5.757,-3.08
36909160,-0.177,-0.081,0.931,6.335,10.972,-1.68
36909170,-0.206,-0.079,0.937,6.055,11.672,-2.642
36909170,-0.298,-0.058,0.928,4.34,10.342,-3.57
36909190,-0.383,-0.003,0.93,0.21,3.202,-4.182
36909190,-0.289,0.004,0.939,-7.49,-7.157,-4.445
36909210,-0.135,-0.016,0.912,-13.562,-14.437,-3.202
36909210,-0.19,-0.078,0.92,-15.295,-15.032,-0.542
36909230,-0.314,-0.184,0.846,-13.58,-16.957,2.8
36909230,-0.126,-0.327,0.915,-7.087,-20.247,6.16
36909250,-0.171,-0.444,0.944,2.205,-17.78,4.112
36909250,-0.127,-0.253,0.946,11.27,-13.755,-0.455
36909260,-0.043,-0.069,1.001,14.997,-9.905,0
36909270,-0.181,0.007,1,13.685,-5.95,3.097
36909280,-0.281,-0.074,0.976,9.17,-9.432,4.69
36909290,-0.239,-0.113,0.976,5.652,-15.662,3.727
36909300,-0.188,-0.129,0.976,3.377,-19.565,1.347
36909310,-0.133,-0.15,0.976,1.732,-20.02,0.7
36909320,-0.134,-0.146,0.978,1.47,-17.482,1.137
36909330,-0.122,-0.139,0.981,1.225,-14.437,1.312
36909340,-0.1,-0.159,0.972,1.277,-10.377,0.927
36909350,-0.122,-0.205,0.966,3.307,-5.337,-0.245
36909360,-0.141,-0.18,0.966,5.11,-0.647,-1.26
36909370,-0.168,-0.167,0.967,5.88,2.45,-1.505
36909380,-0.216,-0.132,0.973,5.495,4.112,-1.085
36909390,-0.259,-0.103,0.978,2.782,2.852,-0.962
36909400,-0.264,-0.082,0.986,-2.205,-0.315,-1.732
36909410,-0.247,-0.121,0.982,-8.12,-3.832,-3.307
36909420,-0.237,-0.116,0.988,-13.527,-5.635,-4.97
36909430,-0.196,-0.131,0.993,-18.777,-7.035,-6.492
36909440,-0.192,-0.118,0.999,-23.31,-6.457,-7.437
36909450,-0.187,-0.117,1.027,-28.84,-7.087,-8.172
36909460,-0.195,-0.102,1.051,-37.537,-6.65,-8.75
36909470,-0.205,-0.121,1.062,-48.86,-7.315,-10.115
36909480,-0.238,-0.1,1.069,-61.932,-6.265,-12.95
36909490,-0.239,-0.119,1.054,-75.197,-8.225,-15.575
36909500,-0.247,-0.163,1.033,-86.712,-9.117,-18.025
36909510,-0.249,-0.179,1.02,-96.005,-12.495,-19.04
36909520,-0.249,-0.211,0.986,-102.69,-19.215,-18.147
36909530,-0.218,-0.252,0.944,-104.597,-23.1,-18.882
36909540,-0.25,-0.296,0.929,-99.82,-23.94,-22.4
36909550,-0.173,-0.404,0.895,-91.507,-22.855,-27.825
36909560,-0.091,-0.448,0.892,-78.995,-11.27,-29.89
36909570,-0.047,-0.498,0.767,-61.495,3.517,-30.205
36909580,0.041,-0.524,0.665,-39.252,15.242,-28.63
36909580,-0.002,-0.547,0.682,-13.09,26.845,-29.732
36909600,-0.036,-0.538,0.518,20.02,37.59,-31.885
36909600,-0.122,-0.291,0.457,50.225,40.32,-32.567
36909620,-0.18,-0.282,0.513,65.38,29.662,-33.512
36909620,-0.239,-0.265,0.563,82.005,9.362,-29.697
36909640,-0.446,-0.337,0.598,101.342,-14.77,-22.557
36909640,-0.388,-0.484,0.478,124.775,-43.645,-12.652
36909660,-0.055,-0.501,0.737,150.482,-61.6,4.62
36909660,0.717,-0.69,1.333,174.335,-37.152,26.197
36909670,0.512,-0.069,1.753,191.66,30.257,33.757
36909680,-0.185,0.872,1.623,143.885,66.955,33.81
36909690,-1.257,1.035,1.196,60.462,51.31,36.225
36909700,-0.469,0,1.074,-5.512,-8.75,22.015
36909710,-0.554,-0.137,0.971,-26.932,-30.397,6.405
36909720,-0.386,-0.304,0.921,-35.385,-42.647,-9.152
36909730,0.129,-0.37,0.916,-32.847,-45.762,-15.575
36909740,0.028,-0.295,0.912,-20.37,-32.165,-9.082
36909750,0.032,-0.293,0.903,-7.682,-21.892,1.61
36909760,-0.121,-0.351,0.877,5.757,-13.335,9.415
36909770,-0.213,-0.224,0.953,16.975,-10.605,9.45
36909780,-0.195,-0.1,1.011,17.675,-10.815,5.092
36909790,-0.183,-0.106,1.001,11.742,-11.882,2.712
36909800,-0.169,-0.131,0.991,6.545,-11.567,2.817
36909810,-0.166,-0.118,0.999,2.415,-11.042,3.972
36909820,-0.168,-0.122,1,-2.957,-9.8,5.197
36909830,-0.189,-0.116,1.002,-8.977,-9.065,5.11
36909840,-0.126,-0.091,1.031,-15.82,-8.05,4.392
36909850,-0.12,-0.085,1.059,-24.062,-6.177,3.955
36909860,-0.138,-0.11,1.076,-35.595,-2.03,1.802
36909870,-0.247,-0.067,1.13,-49.682,1.942,-4.497
36909880,-0.209,-0.014,1.229,-71.347,5.757,-14.822
36909890,-0.153,0.024,1.329,-101.955,11.637,-24.972
36909900,-0.133,0.04,1.377,-139.86,19.6,-31.587
36909910,-0.195,-0.005,1.339,-176.697,27.807,-34.107
36909920,-0.277,-0.115,1.243,-209.527,29.102,-29.575
36909920,-0.325,-0.12,1.177,-237.405,19.32,-18.252
36909940,-0.562,-0.168,1.166,-261.66,-10.5,-9.187
36909940,-0.512,-0.59,1.114,-277.795,-54.057,-2.485
36909960,-0.609,-0.34,1.153,-275.345,-73.325,17.902
36909960,-0.995,-1.507,1.315,-235.287,-109.9,0.997
36909980,-0.451,-1.949,1.129,-131.005,-131.81,2.8
36909980,-0.31,-1.014,0.375,-15.26,-88.795,29.4
36910000,0.167,-1.195,0.302,6.912,5.635,38.447
36910000,-0.274,-0.859,-0.124,38.552,47.057,4.987
36910010,-0.185,0.258,-0.302,41.685,72.782,14.262
36910020,-0.244,-0.226,0.026,-9.31,36.907,-17.307
36910030,0.074,0.041,0.052,-16.52,22.452,-22.82
36910040,-0.211,0.416,-0.067,-15.802,31.15,-19.092
36910050,-0.189,0.506,-0.139,-31.71,24.08,-16.415
