time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
40596710,-0.111,-0.243,0.963,-4.077,-4.095,-1.645
40596710,-0.114,-0.208,0.96,-4.27,-4.567,-2.117
40596720,-0.123,-0.235,0.963,-5.88,-4.655,-1.435
40596730,-0.119,-0.238,0.962,-6.422,-5.6,-1.732
40596740,-0.119,-0.218,0.959,-6.947,-6.335,-2.152
40596750,-0.121,-0.251,0.965,-7.84,-6.895,-2.117
40596760,-0.112,-0.225,0.961,-8.137,-7.805,-3.412
40596770,-0.106,-0.236,0.965,-9.222,-7.945,-3.43
40596780,-0.115,-0.242,0.962,-10.08,-8.312,-3.815
40596790,-0.113,-0.249,0.96,-10.43,-8.855,-4.48
40596800,-0.097,-0.234,0.955,-10.762,-9.012,-5.18
40596810,-0.094,-0.26,0.956,-11.27,-7.98,-5.197
40596820,-0.068,-0.252,0.953,-11.077,-6.352,-6.3
40596830,-0.093,-0.258,0.94,-10.972,-3.08,-6.825
40596830,-0.057,-0.274,0.942,-10.622,1.767,-7.787
40596850,-0.136,-0.265,0.937,-10.15,7.56,-9.8
40596850,-0.163,-0.265,0.944,-9.537,4.497,-11.2
40596870,-0.084,-0.265,0.931,-7.857,1.435,-9.712
40596870,-0.067,-0.28,0.948,-7.14,1.627,-9.135
40596890,-0.087,-0.287,0.943,-6.387,1.347,-9.327
40596890,-0.079,-0.277,0.938,-5.285,0.56,-8.907
40596910,-0.075,-0.271,0.94,-5.092,0.507,-7.35
40596910,-0.093,-0.277,0.942,-4.882,0.087,-5.88
40596920,-0.094,-0.285,0.941,-4.095,-1.032,-4.287
40596930,-0.086,-0.271,0.941,-3.132,-2.03,-3.255
40596940,-0.097,-0.266,0.936,-3.027,-2.59,-1.872
40596950,-0.097,-0.281,0.939,-2.957,-3.255,-0.647
40596960,-0.093,-0.291,0.941,-2.152,-4.445,-0.367
40596970,-0.089,-0.275,0.942,-1.085,-5.582,-0.892
40596980,-0.101,-0.269,0.94,-0.997,-6.02,-0.98
40596990,-0.095,-0.247,0.938,-1.26,-6.177,-0.805
40597000,-0.091,-0.257,0.941,-2.03,-5.53,1.137
40597010,-0.105,-0.319,0.952,-2.362,-5.442,1.137
40597020,-0.111,-0.282,0.944,-0.595,-7.105,-1.767
40597030,-0.11,-0.276,0.941,0.21,-8.12,-2.345
40597040,-0.098,-0.28,0.943,0.227,-8.33,-3.22
40597050,-0.096,-0.27,0.942,0.665,-8.26,-3.377
40597060,-0.089,-0.236,0.934,0.402,-7.455,-3.08
40597070,-0.096,-0.29,0.949,-0.577,-5.687,-0.962
40597080,-0.125,-0.317,0.952,-0.14,-6.755,-3.535
40597090,-0.106,-0.277,0.945,1.925,-9.1,-6.335
40597100,-0.084,-0.269,0.949,2.1,-9.485,-6.545
40597110,-0.099,-0.276,0.946,1.295,-8.802,-7.752
40597120,-0.096,-0.23,0.942,1.015,-8.225,-7.945
40597130,-0.093,-0.251,0.943,-0.385,-7.017,-5.512
40597140,-0.088,-0.312,0.962,-1.557,-6.037,-4.917
40597150,-0.078,-0.313,0.956,0,-7.385,-8.382
40597160,-0.067,-0.264,0.948,1.242,-7.787,-10.517
40597170,-0.071,-0.225,0.946,-0.315,-6.51,-10.5
40597180,-0.083,-0.263,0.948,-2.52,-5.355,-7.857
