time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
37294430,-0.387,-0.329,0.863,0.612,-5.267,4.427
37294440,-0.129,-0.15,0.966,8.715,-18.007,-6.755
37294450,0.045,-0.017,1.068,6.825,-20.282,-9.8
37294460,0.1,0.061,1.105,-3.902,-14.28,-4.777
37294470,-0.077,0.052,1.109,-18.935,-7.35,-0.525
37294480,-0.163,0.01,1.101,-35.105,-3.99,-3.097
37294490,-0.147,0.04,1.151,-51.765,-3.57,-9.835
37294500,-0.124,0.083,1.225,-75.18,1.207,-17.902
37294510,-0.124,0.099,1.273,-105.822,7.28,-24.027
37294520,-0.133,0.049,1.264,-141.522,13.02,-25.707
37294530,-0.135,0.006,1.221,-173.652,12.81,-22.75
37294540,-0.025,-0.036,1.148,-199.097,11.095,-18.34
37294550,0.051,-0.077,1.117,-215.932,11.375,-14.735
37294560,-0.113,-0.082,1.199,-227.045,9.432,-5.215
37294570,0.106,-0.071,1.241,-224.665,-0.14,0.717
37294580,0.043,-0.74,1.462,-236.355,1.872,-0.402
37294590,-0.073,-1.127,1.418,-182.437,10.99,-3.202
37294600,0.066,-0.796,0.869,-92.732,20.212,-2.082
37294610,-0.218,-0.541,1.01,-47.04,46.655,19.057
37294620,-0.67,-0.41,0.962,6.912,36.907,30.73
37294620,0.746,-0.026,0.042,77.07,50.68,72.362
37294640,0.296,0.572,-0.297,65.94,57.627,65.555
37294640,0.289,0.337,-0.069,30.485,8.557,-2.432
37294660,-0.221,0.35,-0.014,16.59,-8.032,-28.927
37294660,-0.675,0.726,-0.331,28.875,-27.387,-38.185
37294670,-0.62,0.533,-0.366,1.085,-37.677,-14.437
37294680,-0.679,0.185,-0.207,-10.99,-45.99,19.215
37294690,-0.574,-0.219,-0.279,-10.045,-49.857,60.217
37294700,0.939,-1.459,1.116,-12.372,-55.212,74.497
37294710,-0.196,-1.998,1.409,31.535,-145.162,-97.51
37294720,-1.552,-0.672,1.138,276.605,-89.425,-152.477
37294730,1.91,1.954,1.175,218.365,-38.22,1.155
37294740,0.687,1,1.102,214.637,-33.687,-55.527
37294750,0.111,-1.265,1.509,195.457,-30.817,-65.712
37294760,0.859,-0.081,1.163,197.802,-5.582,11.427
