time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
64870650,0.077,-0.328,0.945,-14.472,5.477,4.357
64870660,0.004,-0.376,0.921,-17.517,6.142,2.467
64870670,0.008,-0.386,0.916,-16.625,4.357,-0.787
64870680,0.092,-0.386,0.916,-14.63,3.675,-2.292
64870690,0.116,-0.359,0.934,-13.807,5.67,-0.297
64870700,0.07,-0.358,0.957,-16.205,7.595,2.467
64870710,0.031,-0.336,0.991,-20.65,8.347,4.392
64870720,-0.002,-0.315,1.028,-27.177,8.137,4.007
64870730,0.027,-0.302,1.073,-36.015,8.767,1.907
64870740,0.079,-0.284,1.136,-48.615,11.375,0.997
64870750,0.071,-0.309,1.247,-66.377,11.602,3.15
64870760,0.124,-0.153,1.419,-91.612,17.797,5.565
64870760,-0.06,-0.237,1.505,-125.912,29.627,7.315
64870780,-0.264,-0.302,1.44,-160.405,32.322,-0.035
64870780,0.016,-0.277,1.331,-192.272,45.517,-11.462
64870800,0.214,-0.363,1.561,-227.132,70.297,-20.195
64870800,0.23,-0.929,1.577,-255.15,87.395,-3.762
64870820,-0.089,-1.433,1.317,-227.482,121.205,16.87
64870820,-0.488,-1.054,0.86,-162.522,121.835,24.902
64870830,-0.795,-0.497,1.055,-121.257,117.145,38.867
64870840,-0.278,-1.601,0.871,-112.595,60.445,40.547
64870850,-0.346,-1.127,1.32,-14.577,16.52,57.54
64870860,1.452,1.237,0.493,163.415,31.202,3.307
64870870,1.994,1.74,0.732,179.9,34.387,-117.092
64870880,0.729,0.779,0.177,194.477,59.587,-203.332
64870890,-0.671,1.171,0.08,276.412,68.477,-248.85
64870900,-0.742,1.376,-0.425,303.537,43.575,-218.295
64870910,-0.654,0.93,-0.881,257.337,15.767,-133.997
64870920,-0.865,0.238,-1.278,182.017,5.25,-16.992
64870930,-0.535,-0.422,-1.279,90.475,7.262,87.99
64870940,-0.103,-1.086,-1.228,19.495,13.002,169.33
64870950,0.149,-1.348,-1.163,-25.182,21.507,221.147
64870960,0.384,-1.324,-1.289,-55.422,33.775,273.35
64870970,0.124,-1.703,1.149,-141.067,-7.437,285.075
64870980,-0.399,-1.998,0.166,11.847,-311.657,120.295
64870990,-0.08,1.566,0.025,537.792,-304.745,-230.737
64871000,1.179,0.253,0.746,119.28,-43.295,112.63
64871010,-1.405,-1.998,0.237,-342.177,-6.492,-2.922
64871020,1.095,1.312,1.41,30.835,93.415,-1.4
64871030,-0.935,-1.329,0.742,-58.712,48.737,25.917
64871040,0.549,-0.285,0.98,-26.267,37.222,-23.117
64871050,-0.355,-0.345,0.984,-24.657,44.03,5.915
64871060,-0.408,-0.741,0.822,-34.422,24.377,-3.08
64871070,-0.161,-0.358,0.938,-13.947,7.087,-11.025
64871080,-0.191,-0.44,0.89,-8.522,-6.247,-10.202
64871090,0.021,-0.428,0.908,-1.417,-16.327,-11.252
64871100,0.218,-0.195,0.981,3.885,-15.645,-9.817
64871100,0.232,-0.316,0.937,-3.867,-8.715,-6.93
64871120,0.202,-0.315,0.928,-6.037,0.472,-3.535
64871120,0.162,-0.332,0.926,-7.367,8.26,0.07
64871140,-0.017,-0.359,0.929,-8.032,12.932,2.52
64871140,-0.055,-0.353,0.932,-7.245,10.85,0.822
64871160,0.033,-0.31,0.946,-7.052,7.437,-1.487
64871160,0.055,-0.314,0.939,-9.257,6.65,-2.677
64871170,0.056,-0.349,0.92,-11.41,7.28,-2.432
64871180,-0.036,-0.403,0.906,-11.025,6.125,-2.607
64871190,-0.072,-0.378,0.925,-7.157,2.31,-3.272
64871200,0.014,-0.383,0.934,-5.582,-2.012,-4.725
64871210,0.016,-0.317,0.979,-4.672,-3.062,-4.235
64871220,-0.014,-0.292,1.011,-9.065,-3.465,-3.972
64871230,-0.013,-0.283,1.046,-16.362,-4.497,-5.705
64871240,0.024,-0.273,1.104,-27.475,-4.585,-7.577
64871250,0.036,-0.196,1.225,-43.102,-0.297,-7.77
64871260,0.048,-0.207,1.405,-68.845,10.902,-10.167
64871270,0.097,-0.419,1.315,-99.907,23.625,-14.665
64871280,-0.002,-0.573,1.475,-132.545,99.802,-31.307
64871290,-0.214,-0.136,1.461,-174.002,102.76,-62.632
64871300,0.451,-1.005,1.083,-245.892,148.102,-75.74
64871310,-0.176,-1.897,0.924,-236.985,225.855,-76.807
64871320,-0.451,-1.998,0.262,-192.185,242.567,-96.022
64871330,-0.091,-1.998,-0.086,-141.75,249.077,-81.9
64871340,-0.05,-1.998,-0.758,-110.53,161.192,-107.625
64871350,0.029,-1.998,-0.177,-120.837,72.397,-68.285
64871360,0.184,-1.928,0.423,-96.092,-39.147,-15.785
64871370,0.693,-1.411,0.436,-70.857,-137.042,3.272
64871380,1.18,-0.254,0.753,-41.177,-155.015,-3.797
64871390,0.609,1.314,0.905,-2.432,-119.437,-23.975
64871400,-0.182,1.997,0.729,52.867,-71.505,-38.325
64871410,-0.243,1.997,0.591,88.41,-16.45,-35.315
64871420,-0.748,1.997,0.139,98.262,20.3,1.855
64871430,-0.635,1.997,-0.088,106.54,22.767,44.625
64871440,0.261,1.424,-0.264,88.777,30.677,103.95
64871450,0.763,0.202,-0.568,56.07,37.94,138.285
64871460,1.093,-0.51,-0.748,40.162,43.54,126.42
64871470,0.439,-1.866,1.26,18.147,20.51,116.305
64871480,-1.8,-1.998,0.34,48.037,-188.107,118.597
64871490,0.717,-0.732,0.232,406.315,-139.965,139.65
64871500,-1.406,1.997,1.998,544.057,-41.282,118.195
64871510,0.329,0.01,0.327,118.702,-250.6,-22.767
64871510,0.055,1.806,1.622,57.785,-43.697,-57.575
64871530,0.961,-1.379,0.558,-114.45,0.612,-48.177
64871530,0.199,-0.37,0.932,-51.677,43.592,-4.655
64871550,-0.303,-0.002,1.06,-30.03,52.885,6.877
64871550,-0.524,-0.757,0.84,-53.077,31.5,-8.417
64871570,-0.233,-0.493,0.839,-28.297,13.545,-24.482
64871570,0.004,-0.648,0.821,-18.9,-4.847,-28.962
64871580,-0.093,-0.373,0.951,-0.84,-10.5,-22.837
64871590,0.157,-0.334,0.972,-2.94,-14.262,-18.095
64871600,-0.012,-0.354,0.941,-9.275,-13.195,-10.045
64871610,0.029,-0.287,0.981,-11.147,-14.017,-8.085
64871620,0.062,-0.324,0.945,-14.665,-12.985,-8.172
64871630,0.138,-0.326,0.936,-14.367,-10.045,-7.63
64871640,0.245,-0.457,0.845,-14.332,-5.827,-3.937
64871650,0.216,-0.392,0.881,-9.45,-0.49,1.33
64871660,0.178,-0.37,0.879,-7.7,5.092,5.337
64871670,0.117,-0.398,0.888,-7.595,8.715,7.875
64871680,0.113,-0.321,0.93,-5.635,11.917,7.787
64871690,0.092,-0.397,0.881,-8.207,13.982,8.855
64871700,0.035,-0.437,0.87,-4.76,14.595,9.502
64871710,-0.013,-0.39,0.914,1.207,13.562,8.942
64871720,0.011,-0.344,0.939,3.535,11.427,7
64871730,0.063,-0.36,0.929,2.135,10.447,6.422
64871740,0.084,-0.363,0.925,0.997,11.707,8.4
64871750,-0.002,-0.342,0.947,0.63,13.02,10.675
64871760,-0.031,-0.313,0.976,-1.382,11.69,10.902
64871770,-0.015,-0.326,0.977,-5.88,9.082,9.747
64871780,0.013,-0.349,0.977,-10.99,6.702,9.485
64871790,0.03,-0.332,0.994,-15.452,4.952,10.272
64871800,0.072,-0.325,1.013,-21.892,4.375,11.83
64871810,0.105,-0.318,1.047,-30.345,5.197,14.49
64871820,0.068,-0.27,1.125,-40.985,8.557,17.605
