time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
43395870,0.4,-0.915,1.077,-189.437,-73.605,16.52
43395880,0.635,-0.673,0.663,-191.1,-56.49,41.387
43395890,0.086,-1.264,0.324,-144.585,-16.012,76.212
43395900,-0.057,-1.198,0.374,-66.447,-15.697,85.155
43395910,-0.395,-0.378,0.661,-18.182,-30.905,99.155
43395920,-0.585,-0.02,1.059,7.262,-33.687,73.36
43395930,-0.385,0.168,1.38,-7.052,-27.282,21.577
43395940,0.009,0.124,1.56,-52.377,-25.515,-18.742
43395950,0.453,0.246,1.689,-108.902,-17.01,-31.045
43395960,0.706,0.061,1.737,-179.095,9.975,-19.057
43395970,0.687,0.07,1.671,-238.052,34.387,6.055
43395980,0.585,0.057,1.455,-291.182,49.735,30.572
43395990,0.484,-0.106,1.23,-326.252,60.742,43.697
43396000,0.578,-0.47,1.12,-338.905,80.097,58.8
43396010,0.672,-0.503,1.105,-327.88,97.912,77.017
43396020,0.675,-0.9,1.165,-321.58,113.662,91.91
43396030,0.339,-1.292,1.434,-340.48,122.045,108.062
43396040,0.119,-1.904,1.726,-338.59,102.742,97.842
43396050,-0.066,-1.998,1.798,-297.797,41.965,80.202
43396060,-0.079,-1.996,1.103,-235.55,2.327,66.5
43396070,0.022,-1.987,0.256,-77.962,-20.667,58.782
43396080,-0.101,-1.237,-0.164,75.372,-69.405,46.305
43396080,0.15,-0.33,-0.704,149.31,-117.197,39.375
43396100,0.153,0.071,-0.618,96.337,-108.36,41.685
43396100,0.142,-0.083,-0.384,4.602,-95.9,10.465
43396120,0.105,-0.385,-0.102,-60.445,-75.477,-15.662
43396120,0.103,-0.411,0.056,-91.35,-47.372,-21.892
43396140,-0.063,-0.412,0.026,-72.712,-29.05,-23.712
43396140,-0.255,-0.167,-0.047,-25.392,-29.662,-31.535
43396160,-0.492,0.068,-0.12,-2.8,-31.657,-25.375
43396160,-0.647,0.117,-0.146,-0.017,-41.352,-13.352
43396170,-0.609,0.099,-0.146,0.7,-58.467,-6.912
43396180,-0.473,0.044,-0.15,2.397,-64.925,-2.852
43396190,-0.409,-0.021,-0.169,4.182,-54.687,3.517
43396200,-0.411,-0.059,-0.191,10.237,-40.355,4.077
43396210,-0.415,-0.078,-0.205,17.64,-25.917,-1.785
43396220,-0.407,-0.071,-0.186,23.012,-12.267,-10.15
43396230,-0.377,-0.056,-0.147,27.912,1.365,-19.67
43396240,-0.337,0.004,-0.159,35.857,12.005,-28.157
43396250,-0.354,0.1,-0.165,45.377,17.465,-36.907
43396260,-0.488,0.094,-0.147,45.272,16.502,-47.442
43396270,-0.51,0.084,-0.082,25.042,14.892,-43.54
43396280,-0.862,-0.188,-0.208,6.562,16.835,-9.695
43396290,-0.775,-0.007,-0.235,101.272,-35.805,-33.705
43396300,-0.243,0.125,-0.147,224.98,-89.53,-102.34
43396310,0.64,-0.41,-0.927,225.417,5.232,-116.515
43396320,-1.073,-1.88,1.151,-125.177,117.477,-207.217
43396330,0.482,-1.215,-1.689,242.042,87.902,-488.932
43396340,-0.425,1.997,-1.133,573.37,-265.055,-327.075
43396350,1.998,0.51,1.678,425.512,-9.397,-150.132
43396360,-0.601,-1.709,1.574,190.382,306.862,-128.607
43396370,1.85,1.965,1.86,486.045,132.16,8.435
43396380,-1.662,0.946,1.91,173.757,219.625,96.652
43396390,-0.97,1.573,1.859,25.06,45.535,103.425
43396400,-0.342,0.064,1.486,-146.807,-46.375,73.85
43396410,0.278,-0.124,0.983,-188.422,-63.91,48.212
43396420,-0.119,-0.624,0.675,-190.872,-40.145,34.86
