time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
40955830,-1.912,-0.526,0.247,291.865,-30.607,-316.627
40955840,-1.274,-0.238,-0.261,290.045,-146.405,-260.347
40955850,-0.779,-0.063,-0.587,269.972,-171.972,-204.995
40955860,-0.543,0.139,-0.88,260.277,-136.377,-153.142
40955870,-0.425,0.418,-1.071,262.937,-72.082,-78.382
40955880,-0.427,0.679,-1.083,237.755,-2.957,2.66
40955890,-0.596,0.708,-0.92,169.435,37.817,67.182
40955900,-0.809,0.471,-0.712,72.87,31.832,120.627
40955910,-0.792,0.126,-0.527,-25.147,2.082,167.772
40955920,-0.485,-0.202,-0.372,-100.8,-30.222,202.02
40955920,-0.145,-0.418,-0.195,-144.252,-59.08,208.145
40955940,0.316,-0.46,-0.065,-160.842,-79.38,185.622
40955940,0.88,-0.407,-0.018,-167.947,-70.98,155.802
40955960,1.307,-0.374,0.056,-175.157,-27.44,121.397
40955960,1.342,-0.355,0.136,-177.24,33.495,64.557
40955980,1.404,-0.636,-0.174,-182.262,75.827,-21.367
40955980,-0.54,-1.344,-0.136,17.57,90.58,-73.202
40956000,-1.981,-1.489,1.998,154,-19.215,-52.097
40956000,-0.22,-1.998,1.261,91.945,39.025,56.315
40956010,0.641,-0.936,-1.971,436.52,-30.66,175.595
40956020,0.332,1.897,1.644,368.462,23.887,125.457
40956030,-1.998,0.059,1.329,217.105,39.322,45.762
40956040,-1.305,-0.328,0.823,255.605,-53.445,27.877
40956050,-0.024,-0.992,1.243,193.62,-54.005,-42.227
40956060,-0.721,0.132,1.401,203.14,-45.08,-107.905
40956070,0.047,0.103,1.383,135.642,-41.72,-114.765
40956080,0.514,-0.614,1.163,51.87,-40.267,-92.382
40956090,0.278,-0.234,1.079,45.045,-37.345,-60.235
40956100,0.275,-0.508,0.838,19.652,-38.377,-27.107
40956110,0.124,-0.674,0.803,13.842,-31.902,-9.275
40956120,0.015,-0.411,1.038,16.345,-17.5,-7.735
40956130,0.113,-0.333,1.204,-10.5,-3.955,-10.15
40956140,0.1,-0.256,1.288,-49.245,10.745,-10.307
40956150,0.103,-0.262,1.324,-97.195,27.387,-10.727
40956160,0.116,-0.305,1.295,-152.967,47.617,-15.732
40956170,0.175,-0.53,1.194,-208.092,71.102,-24.202
40956180,-0.185,-0.286,1.389,-251.65,106.715,-26.705
40956190,-0.751,-0.027,1.466,-327.6,101.237,-64.365
40956200,-0.248,-0.925,1.571,-427.752,77.945,-95.725
40956210,0.695,-1.998,1.597,-516.372,139.212,-35.892
