time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
41098560,0.331,-0.37,0.803,-23.17,-3.08,-40.582
41098570,0.386,-0.452,1.066,-28.367,13.02,-19.477
41098580,0.298,-0.301,1.193,-40.39,22.89,-16.765
41098590,0.425,-0.194,1.261,-64.977,38.587,-10.552
41098600,0.468,-0.088,1.426,-98.245,60.357,-2.712
41098610,0.537,-0.231,1.527,-148.942,87.745,4.322
41098620,0.563,-0.235,1.442,-203,114.957,1.627
41098630,0.228,-0.161,1.437,-253.925,143.815,2.782
41098640,-0.275,-0.208,1.304,-294.595,147.07,-9.45
41098650,-0.116,-0.502,1.07,-324.73,127.225,-33.635
41098660,0.378,-0.797,1.042,-335.895,141.347,-33.477
41098670,0.425,-1.046,1.097,-321.79,206.57,-2.695
41098680,0.632,-1.778,0.829,-294.14,281.487,23.572
41098690,1.498,-1.998,1.121,-266.227,326.112,-38.412
41098700,0.406,-1.998,0.838,-154.56,344.54,-167.877
41098710,1.492,-1.998,0.34,8.645,314.282,-242.48
41098720,0.457,-1.926,0.209,188.09,252.332,-290.237
41098730,-0.574,-1.337,0.095,296.73,178.762,-349.44
41098740,-0.835,-0.839,-0.06,328.755,75.792,-347.567
41098750,-0.692,-0.668,-0.487,334.635,-14.892,-309.907
41098760,-0.838,-0.531,-0.943,338.835,-76.352,-250.39
41098770,-1.213,-0.325,-1.27,327.512,-119.157,-217.052
41098780,-0.584,-0.011,-1.442,291.112,-104.352,-185.307
41098790,-0.118,0.272,-1.33,220.115,-24.955,-117.915
41098800,-0.657,0.096,-1.02,114.73,56.245,-40.6
41098810,-1.118,-0.257,-0.574,9.975,90.37,31.36
41098820,-1.147,-0.673,-0.19,-60.06,78.592,127.312
41098830,-0.861,-1.047,0.069,-77.752,32.217,226.047
41098830,-0.724,-1.213,0.203,-52.797,-33.582,304.745
41098850,-0.631,-1.146,0.114,-23.817,-102.69,351.155
41098850,-0.129,-0.86,-0.007,-22.697,-149.817,361.952
41098870,0.528,-0.639,-0.144,-52.045,-151.917,354.62
41098870,1.197,-0.588,-0.093,-83.72,-97.877,339.29
41098890,1.271,-0.661,0.12,-116.602,-7.227,306.547
41098890,0.756,-0.803,0.433,-132.317,70.717,242.97
41098910,0.055,-0.809,0.655,-127.172,99.907,168.21
41098910,-0.395,-0.479,0.513,-107.555,70.612,92.61
41098920,-0.013,0.333,0.238,-85.452,18.777,18.515
41098930,0.594,0.745,-0.351,-70.787,-2.87,-42.7
41098940,0.37,0.413,1.361,46.305,-37.065,-91.455
41098950,-1.395,-1.9,0.762,312.41,-79.485,32.585
41098960,-1.771,-1.326,0.525,502.967,-306.81,11.042
41098970,1.263,1.661,1.212,484.575,-273.542,-181.055
41098980,0.014,1.292,1.986,434.805,-242.655,-231.315
41098990,1.382,-0.4,1.998,264.687,-233.835,-179.602
41099000,1.883,1.91,1.987,101.377,-151.322,-125.72
41099010,0.701,-0.21,1.501,-128.695,-33.11,-4.515
41099020,-0.261,-0.862,0.453,-164.605,-16.52,44.52
41099030,-0.318,-0.974,0.131,-106.61,-26.285,10.622
41099040,-0.485,-0.709,0.463,-8.12,22.575,-2.047
41099050,0.417,-0.628,1.051,-9.502,8.032,-59.955
41099060,0.783,-0.025,1.114,-35.245,15.522,-54.337
41099070,0.685,-0.173,1.18,-58.887,28.63,-27.405
41099080,0.695,-0.253,1.214,-85.82,34.037,17.5
41099090,0.506,-0.128,1.453,-116.865,46.795,43.417
41099100,0.349,-0.016,1.714,-160.265,58.887,57.05
41099110,0.174,0.046,1.768,-224.822,70.07,64.155
41099120,0.014,-0.022,1.66,-290.937,76.615,63.297
41099130,-0.387,-0.034,1.762,-341.53,69.335,54.495
41099140,-0.919,-0.156,1.766,-379.172,25.637,36.382
41099150,-0.656,-0.794,1.698,-404.215,-21.7,24.255
41099160,-0.441,-1.681,1.595,-414.715,-4.41,49.087
41099170,-0.317,-1.998,1.249,-377.37,18.392,77.07
41099170,-0.438,-1.998,0.432,-283.902,21.525,54.617
41099190,-1.6,-1.998,-0.321,-191.03,-1.19,22.19
41099190,-1.588,-1.961,-0.088,-74.707,-86.467,6.387
41099210,-0.287,-1.149,-0.108,82.932,-146.055,48.282
41099210,0.121,-0.313,-0.048,182.542,-127.82,136.57
41099230,0.403,-0.153,-0.09,180.81,-79.205,156.065
41099230,0.27,-0.05,-0.095,164.377,-62.755,149.222
41099250,0.34,-0.04,-0.107,143.255,-62.965,139.212
41099250,0.67,-0.128,-0.045,119.735,-63.752,129.027
41099260,0.936,-0.114,0.014,92.155,-54.915,100.887
41099270,0.871,-0.044,0.004,64.75,-40.407,54.617
41099280,0.754,0.075,0.012,53.76,-27.457,10.465
41099290,0.634,0.245,0.051,55.492,-13.23,-26.127
41099300,0.475,0.339,0.085,53.322,3.395,-59.325
41099310,0.207,0.32,0.116,44.345,17.535,-78.54
41099320,-0.096,0.154,0.135,40.705,19.495,-76.912
41099330,-0.298,-0.042,0.17,50.207,5.635,-63.787
41099340,-0.599,-0.21,0.099,70.105,-23.17,-42.035
41099350,-0.76,-0.319,-0.074,100.292,-65.065,-17.85
41099360,-0.717,-0.307,-0.365,131.565,-106.26,12.862
41099370,-0.436,-0.128,-0.685,149.257,-127.207,47.285
41099380,-0.013,0.031,-0.989,141.557,-110.145,89.6
41099390,0.334,-0.118,-0.978,108.587,-60.812,135.695
41099400,0.59,-0.128,-1.066,29.487,27.195,181.195
41099410,0.642,-1.212,-0.736,24.237,107.31,222.442
41099420,0.493,-1.647,-0.771,38.92,156.327,211.05
41099430,-0.239,-0.933,-1.11,73.43,129.5,175.332
41099440,-0.235,0.36,-1.064,35.087,57.47,102.322
41099450,-1.42,-1.651,1.187,-77.717,-33.88,10.937
41099460,-1.998,-1.998,0.67,103.827,-372.61,48.16
41099470,0.972,0.739,0.179,551.442,-526.925,-60.025
41099480,-0.882,1.447,1.998,492.38,-296.397,-204.82
41099490,1.574,-1.213,1.963,238.332,-314.247,-130.06
41099500,1.998,1.993,1.994,209.79,-236.705,-171.15
41099510,0.894,-1.383,1.45,-258.912,-11.812,11.567
41099520,0.286,-0.247,0.544,-254.957,21.787,12.18
41099530,0.322,-1.263,0.026,-167.615,48.247,34.002
41099540,-0.337,-0.702,0.859,-52.22,34.457,11.69
41099550,0.542,-1.115,0.853,-117.687,32.987,-56.84
41099560,0.395,0.144,1.174,-99.487,75.652,-73.395
41099570,0.993,-0.043,1.415,-134.662,93.187,-37.467
41099580,1.033,-0.03,1.778,-187.337,105.507,10.01
41099580,0.553,0.317,1.691,-246.12,101.85,52.43
